카테고리,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년08월_계_총인구수,"348,647","22,416","19,940","15,722","22,051","16,848","29,756","11,646","35,704","22,882","26,032","28,853","18,049","22,220","27,143","29,385"
2020년08월_계_연령구간인구수,"348,647","22,416","19,940","15,722","22,051","16,848","29,756","11,646","35,704","22,882","26,032","28,853","18,049","22,220","27,143","29,385"
2020년08월_계_0~9세,"20,287",413,915,798,"1,243",779,"1,562",580,"3,416","1,073","1,708","2,391",735,909,"1,843","1,922"
2020년08월_계_10~19세,"26,437",769,"1,083",776,"1,432","1,015","2,020",560,"5,564","1,532","1,934","2,644",901,"1,202","2,419","2,586"
2020년08월_계_20~29세,"62,707","9,420","4,430","2,758","3,941","2,710","4,544","2,420","4,152","4,342","3,935","3,990","2,727","4,842","3,735","4,761"
2020년08월_계_30~39세,"56,699","4,323","3,675","2,950","3,951","2,743","4,486","2,662","3,980","3,849","4,081","4,415","2,653","4,312","3,932","4,687"
2020년08월_계_40~49세,"53,260","2,190","2,611","2,228","3,040","2,395","4,291","1,638","7,805","3,435","4,125","4,648","2,538","3,234","4,478","4,604"
2020년08월_계_50~59세,"54,926","2,096","2,925","2,574","3,624","2,990","5,411","1,462","5,368","3,662","4,296","4,679","3,210","3,235","4,537","4,857"
2020년08월_계_60~69세,"41,831","1,671","2,342","2,036","2,775","2,367","4,273","1,242","2,983","2,793","3,569","3,523","2,953","2,422","3,433","3,449"
2020년08월_계_70~79세,"22,360","1,043","1,368","1,163","1,470","1,318","2,299",735,"1,479","1,539","1,684","1,596","1,633","1,422","1,934","1,677"
