,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년09월_계_총인구수,"9,542,256","145,512","122,858","224,145","287,820","341,112","337,846","388,554","432,628","300,887","318,718","513,053","474,062","306,249","369,903","449,010","575,875","397,506","230,644","377,536","387,117","488,029","416,285","533,359","659,385","464,163"
2021년09월_계_연령구간인구수,"9,542,256","145,512","122,858","224,145","287,820","341,112","337,846","388,554","432,628","300,887","318,718","513,053","474,062","306,249","369,903","449,010","575,875","397,506","230,644","377,536","387,117","488,029","416,285","533,359","659,385","464,163"
2021년09월_계_0~9세,"593,167","7,148","6,396","12,878","19,515","18,137","19,747","21,669","27,872","14,469","17,452","31,040","28,087","19,150","23,941","30,051","37,413","26,324","11,869","25,154","23,342","20,403","32,335","35,118","48,818","34,839"
2021년09월_계_10~19세,"761,868","10,565","6,592","14,874","19,166","25,071","22,979","25,714","36,397","21,063","24,574","50,924","37,450","22,808","27,896","49,608","43,695","29,325","14,115","23,744","27,222","27,551","44,741","59,153","57,666","38,975"
2021년09월_계_20~29세,"1,436,423","23,036","18,318","33,143","44,063","62,072","56,597","54,857","66,125","41,570","42,083","70,821","65,977","49,440","61,867","58,116","86,432","54,112","37,183","59,122","65,487","108,865","53,017","71,499","91,477","61,144"
2021년09월_계_30~39세,"1,444,106","19,517","19,943","37,774","47,234","54,791","48,994","56,905","58,861","37,401","39,409","63,273","66,957","44,304","63,757","56,059","97,941","61,057","36,090","69,313","61,102","85,613","60,534","78,233","107,301","71,743"
2021년09월_계_40~49세,"1,490,032","21,226","17,522","34,099","43,631","50,806","49,160","55,995","67,997","44,474","46,579","82,512","74,310","45,693","60,166","77,057","89,669","61,595","31,940","55,684","57,629","66,229","75,792","97,931","107,383","74,953"
2021년09월_계_50~59세,"1,506,315","24,921","20,161","36,268","46,340","53,759","52,220","67,843","69,157","51,619","56,024","87,054","77,026","48,569","54,820","76,111","84,429","62,301","39,312","56,220","57,906","67,066","62,769","81,230","101,328","71,862"
2021년09월_계_60~69세,"1,280,475","20,291","17,908","29,002","37,589","43,901","47,309","60,365","56,666","47,153","51,077","70,330","66,559","39,561","40,864","60,052","79,087","57,306","34,440","48,050","50,408","59,963","48,240","61,076","87,034","66,244"
2021년09월_계_70~79세,"696,015","11,727","10,273","16,139","20,171","21,998","27,409","31,107","32,634","29,390","27,469","37,224","38,628","23,429","23,535","28,978","39,192","31,865","17,932","26,912","29,652","36,726","26,907","34,379","40,995","31,344"
2021년09월_계_80~89세,"290,067","6,081","4,872","8,491","8,884","9,278","11,927","12,411","14,808","12,257","12,258","17,214","16,718","11,632","11,367","11,216","15,405","12,048","6,851","11,744","12,437","13,861","10,096","12,386","14,743","11,082"
2021년09월_계_90~99세,"41,236",943,812,"1,382","1,146","1,226","1,419","1,606","2,001","1,439","1,670","2,532","2,063","1,544","1,583","1,685","2,517","1,522",865,"1,526","1,776","1,644","1,738","2,221","2,522","1,854"
2021년09월_계_100세 이상,"2,552",57,61,95,81,73,85,82,110,52,123,129,287,119,107,77,95,51,47,67,156,108,116,133,118,123
2021년09월_남_총인구수,"4,636,069","70,666","59,853","107,801","140,290","164,553","167,083","191,832","208,592","146,613","155,212","247,118","226,833","146,388","174,119","220,075","277,388","196,027","116,588","186,414","187,286","245,220","199,068","255,264","317,784","228,002"
2021년09월_남_연령구간인구수,"4,636,069","70,666","59,853","107,801","140,290","164,553","167,083","191,832","208,592","146,613","155,212","247,118","226,833","146,388","174,119","220,075","277,388","196,027","116,588","186,414","187,286","245,220","199,068","255,264","317,784","228,002"
2021년09월_남_0~9세,"304,536","3,615","3,320","6,649","9,961","9,314","10,152","11,161","14,232","7,480","9,083","15,975","14,427","9,732","12,240","15,454","19,028","13,442","6,105","12,870","11,931","10,474","16,622","18,093","25,072","18,104"
2021년09월_남_10~19세,"390,354","5,251","3,255","7,505","9,549","12,695","11,620","13,059","18,475","10,802","12,619","26,449","19,169","11,381","14,042","25,828","22,355","15,055","7,144","12,347","13,973","14,060","22,775","30,853","29,508","20,585"
2021년09월_남_20~29세,"692,283","11,117","8,519","15,624","21,737","29,035","27,733","27,053","31,673","20,431","21,381","36,134","31,521","23,553","27,744","29,528","39,743","26,478","18,473","27,418","31,589","52,970","25,449","34,061","43,441","29,878"
2021년09월_남_30~39세,"721,531","9,717","9,955","18,724","23,177","27,172","25,287","29,283","29,407","19,537","20,137","31,528","32,893","21,854","30,138","27,682","49,396","31,197","19,959","35,409","30,907","47,502","27,842","35,963","51,275","35,590"
2021년09월_남_40~49세,"738,346","10,319","8,959","16,767","21,871","25,036","25,336","28,971","33,504","22,868","23,129","39,227","36,752","22,569","29,181","36,845","45,128","31,566","16,856","28,719","28,965","35,427","35,539","45,324","51,928","37,560"
2021년09월_남_50~59세,"742,021","12,540","10,219","17,916","22,969","26,303","26,497","33,586","34,082","25,475","26,765","42,206","37,132","23,674","26,934","37,850","40,577","30,847","19,761","28,675","27,870","33,913","31,024","40,804","49,127","35,275"
2021년09월_남_60~69세,"604,869","10,122","8,941","13,951","18,377","20,894","22,945","29,269","26,696","22,023","24,205","32,722","30,678","18,672","19,060","28,716","36,589","27,100","16,903","23,367","23,313","27,918","22,256","28,037","40,933","31,182"
2021년09월_남_70~79세,"316,961","5,209","4,649","7,059","8,976","10,073","12,420","14,175","14,221","12,686","12,618","16,190","16,906","10,024","9,915","13,675","18,362","15,079","8,427","12,389","13,197","16,736","12,590","16,255","19,994","15,136"
2021년09월_남_80~89세,"114,123","2,471","1,800","3,161","3,356","3,681","4,692","4,905","5,775","4,916","4,787","6,042","6,755","4,484","4,394","4,078","5,628","4,878","2,736","4,785","5,039","5,808","4,465","5,328","5,879","4,280"
2021년09월_남_90~99세,"10,415",287,219,417,288,331,380,349,501,380,451,623,556,410,437,402,556,371,211,418,462,391,476,517,603,379
2021년09월_남_100세 이상,630,18,17,28,29,19,21,21,26,15,37,22,44,35,34,17,26,14,13,17,40,21,30,29,24,33
2021년09월_여_총인구수,"4,906,187","74,846","63,005","116,344","147,530","176,559","170,763","196,722","224,036","154,274","163,506","265,935","247,229","159,861","195,784","228,935","298,487","201,479","114,056","191,122","199,831","242,809","217,217","278,095","341,601","236,161"
2021년09월_여_연령구간인구수,"4,906,187","74,846","63,005","116,344","147,530","176,559","170,763","196,722","224,036","154,274","163,506","265,935","247,229","159,861","195,784","228,935","298,487","201,479","114,056","191,122","199,831","242,809","217,217","278,095","341,601","236,161"
2021년09월_여_0~9세,"288,631","3,533","3,076","6,229","9,554","8,823","9,595","10,508","13,640","6,989","8,369","15,065","13,660","9,418","11,701","14,597","18,385","12,882","5,764","12,284","11,411","9,929","15,713","17,025","23,746","16,735"
2021년09월_여_10~19세,"371,514","5,314","3,337","7,369","9,617","12,376","11,359","12,655","17,922","10,261","11,955","24,475","18,281","11,427","13,854","23,780","21,340","14,270","6,971","11,397","13,249","13,491","21,966","28,300","28,158","18,390"
2021년09월_여_20~29세,"744,140","11,919","9,799","17,519","22,326","33,037","28,864","27,804","34,452","21,139","20,702","34,687","34,456","25,887","34,123","28,588","46,689","27,634","18,710","31,704","33,898","55,895","27,568","37,438","48,036","31,266"
