,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020년06월_계_총인구수,"232,250","21,574","42,453","19,158","24,823","15,801","33,989","22,194","11,290","21,074","19,894"
2020년06월_계_연령구간인구수,"232,250","21,574","42,453","19,158","24,823","15,801","33,989","22,194","11,290","21,074","19,894"
2020년06월_계_0~9세,"13,177",726,"3,322",952,"1,090",669,"1,998","1,650",591,"1,187",992
2020년06월_계_10~19세,"15,184",722,"2,362","1,278","1,430","1,019","2,381","2,181",752,"1,584","1,475"
2020년06월_계_20~29세,"36,679","5,638","7,509","2,821","3,922","2,377","4,983","2,572","1,490","2,799","2,568"
2020년06월_계_30~39세,"35,545","5,020","8,580","2,536","3,490","2,002","4,868","2,575","1,482","2,636","2,356"
2020년06월_계_40~49세,"33,521","2,688","6,227","2,682","3,403","2,223","5,107","3,578","1,593","3,075","2,945"
2020년06월_계_50~59세,"40,764","2,938","6,209","3,890","4,920","3,325","6,016","3,836","2,038","3,980","3,612"
2020년06월_계_60~69세,"32,300","2,276","4,690","2,942","3,795","2,429","4,713","3,162","1,890","3,325","3,078"
2020년06월_계_70~79세,"17,830","1,148","2,529","1,501","1,965","1,290","2,794","1,826","1,046","1,786","1,945"
2020년06월_계_80~89세,"6,262",361,912,470,685,399,958,674,361,619,823
2020년06월_계_90~99세,815,48,96,70,102,53,149,103,43,68,83
2020년06월_계_100세 이상,173,9,17,16,21,15,22,37,4,15,17
2020년06월_남_총인구수,"117,762","11,917","21,930","9,706","12,510","7,942","17,022","10,765","5,645","10,442","9,883"
2020년06월_남_연령구간인구수,"117,762","11,917","21,930","9,706","12,510","7,942","17,022","10,765","5,645","10,442","9,883"
2020년06월_남_0~9세,"6,731",355,"1,711",473,588,363,"1,018",825,301,587,510
2020년06월_남_10~19세,"7,695",368,"1,173",681,710,503,"1,286","1,073",371,799,731
2020년06월_남_20~29세,"18,728","2,718","3,801","1,499","1,988","1,192","2,544","1,348",783,"1,471","1,384"
2020년06월_남_30~39세,"19,685","3,114","4,806","1,358","1,934","1,090","2,632","1,270",812,"1,403","1,266"
2020년06월_남_40~49세,"17,491","1,664","3,380","1,355","1,763","1,116","2,602","1,746",829,"1,532","1,504"
2020년06월_남_50~59세,"20,518","1,711","3,140","1,976","2,457","1,691","2,973","1,826",985,"1,922","1,837"
2020년06월_남_60~69세,"15,860","1,248","2,371","1,446","1,840","1,194","2,258","1,543",905,"1,613","1,442"
2020년06월_남_70~79세,"8,320",573,"1,139",720,924,612,"1,298",826,505,842,881
2020년06월_남_80~89세,"2,472",153,384,175,275,165,359,265,146,246,304
2020년06월_남_90~99세,205,10,22,18,25,12,46,24,8,21,19
2020년06월_남_100세 이상,57,3,3,5,6,4,6,19,0,6,5
2020년06월_여_총인구수,"114,488","9,657","20,523","9,452","12,313","7,859","16,967","11,429","5,645","10,632","10,011"
2020년06월_여_연령구간인구수,"114,488","9,657","20,523","9,452","12,313","7,859","16,967","11,429","5,645","10,632","10,011"
2020년06월_여_0~9세,"6,446",371,"1,611",479,502,306,980,825,290,600,482
2020년06월_여_10~19세,"7,489",354,"1,189",597,720,516,"1,095","1,108",381,785,744
2020년06월_여_20~29세,"17,951","2,920","3,708","1,322","1,934","1,185","2,439","1,224",707,"1,328","1,184"
2020년06월_여_30~39세,"15,860","1,906","3,774","1,178","1,556",912,"2,236","1,305",670,"1,233","1,090"
2020년06월_여_40~49세,"16,030","1,024","2,847","1,327","1,640","1,107","2,505","1,832",764,"1,543","1,441"
2020년06월_여_50~59세,"20,246","1,227","3,069","1,914","2,463","1,634","3,043","2,010","1,053","2,058","1,775"
2020년06월_여_60~69세,"16,440","1,028","2,319","1,496","1,955","1,235","2,455","1,619",985,"1,712","1,636"
2020년06월_여_70~79세,"9,510",575,"1,390",781,"1,041",678,"1,496","1,000",541,944,"1,064"
2020년06월_여_80~89세,"3,790",208,528,295,410,234,599,409,215,373,519
2020년06월_여_90~99세,610,38,74,52,77,41,103,79,35,47,64
2020년06월_여_100세 이상,116,6,14,11,15,11,16,18,4,9,12
