,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2020년04월_계_총인구수,"350,439","35,462","34,114","40,087","22,304","25,127","36,635","25,516","27,377","28,249","29,033","46,535"
2020년04월_계_연령구간인구수,"350,439","35,462","34,114","40,087","22,304","25,127","36,635","25,516","27,377","28,249","29,033","46,535"
2020년04월_계_0~9세,"36,106","3,422","1,561","3,619","2,375","2,623","5,021","3,059","2,722","2,710","3,302","5,692"
2020년04월_계_10~19세,"38,820","3,494","1,570","3,327","3,078","3,552","4,478","2,962","3,356","3,227","4,635","5,141"
2020년04월_계_20~29세,"52,212","4,518","8,055","8,160","2,870","3,202","3,719","3,906","4,304","4,313","3,677","5,488"
2020년04월_계_30~39세,"56,692","4,664","6,515","6,512","3,303","3,242","6,336","5,195","4,479","4,251","4,039","8,156"
2020년04월_계_40~49세,"60,730","6,008","4,331","5,634","4,367","4,947","7,140","4,126","4,483","4,895","6,101","8,698"
2020년04월_계_50~59세,"53,712","6,292","5,601","6,049","3,245","3,923","4,977","3,433","4,461","4,647","4,291","6,793"
2020년04월_계_60~69세,"31,780","4,134","3,806","4,280","1,719","1,981","3,137","1,790","2,299","2,328","2,015","4,291"
2020년04월_계_70~79세,"13,072","1,886","1,721","1,644",862,"1,052","1,230",634,710,"1,148",637,"1,548"
2020년04월_계_80~89세,"6,239",908,795,740,414,521,515,359,461,633,284,609
2020년04월_계_90~99세,"1,021",126,137,116,70,83,79,51,99,93,51,116
2020년04월_계_100세 이상,55,10,22,6,1,1,3,1,3,4,1,3
2020년04월_남_총인구수,"176,924","18,037","17,603","20,817","11,016","12,364","18,023","13,359","13,995","14,475","14,866","22,369"
2020년04월_남_연령구간인구수,"176,924","18,037","17,603","20,817","11,016","12,364","18,023","13,359","13,995","14,475","14,866","22,369"
2020년04월_남_0~9세,"18,597","1,740",795,"1,823","1,221","1,337","2,545","1,588","1,467","1,396","1,738","2,947"
2020년04월_남_10~19세,"20,176","1,862",815,"1,742","1,592","1,828","2,298","1,572","1,706","1,659","2,428","2,674"
2020년04월_남_20~29세,"28,028","2,499","4,124","4,795","1,467","1,640","1,949","2,158","2,368","2,390","1,952","2,686"
2020년04월_남_30~39세,"29,317","2,402","3,736","3,477","1,614","1,610","3,010","2,822","2,403","2,301","2,064","3,878"
2020년04월_남_40~49세,"29,924","3,092","2,312","2,845","2,059","2,322","3,517","2,075","2,140","2,481","2,910","4,171"
2020년04월_남_50~59세,"26,681","3,139","2,771","2,903","1,661","1,990","2,397","1,766","2,191","2,404","2,332","3,127"
2020년04월_남_60~69세,"15,931","2,096","1,960","2,163",838,966,"1,527",943,"1,232","1,172","1,055","1,979"
2020년04월_남_70~79세,"5,998",892,764,780,388,468,580,324,330,460,304,708
2020년04월_남_80~89세,"2,037",293,283,257,155,186,182,99,129,192,73,188
2020년04월_남_90~99세,222,19,40,31,20,16,17,12,27,19,10,11
2020년04월_남_100세 이상,13,3,3,1,1,1,1,0,2,1,0,0
2020년04월_여_총인구수,"173,515","17,425","16,511","19,270","11,288","12,763","18,612","12,157","13,382","13,774","14,167","24,166"
2020년04월_여_연령구간인구수,"173,515","17,425","16,511","19,270","11,288","12,763","18,612","12,157","13,382","13,774","14,167","24,166"
2020년04월_여_0~9세,"17,509","1,682",766,"1,796","1,154","1,286","2,476","1,471","1,255","1,314","1,564","2,745"
2020년04월_여_10~19세,"18,644","1,632",755,"1,585","1,486","1,724","2,180","1,390","1,650","1,568","2,207","2,467"
2020년04월_여_20~29세,"24,184","2,019","3,931","3,365","1,403","1,562","1,770","1,748","1,936","1,923","1,725","2,802"
2020년04월_여_30~39세,"27,375","2,262","2,779","3,035","1,689","1,632","3,326","2,373","2,076","1,950","1,975","4,278"
2020년04월_여_40~49세,"30,806","2,916","2,019","2,789","2,308","2,625","3,623","2,051","2,343","2,414","3,191","4,527"
2020년04월_여_50~59세,"27,031","3,153","2,830","3,146","1,584","1,933","2,580","1,667","2,270","2,243","1,959","3,666"
2020년04월_여_60~69세,"15,849","2,038","1,846","2,117",881,"1,015","1,610",847,"1,067","1,156",960,"2,312"
2020년04월_여_70~79세,"7,074",994,957,864,474,584,650,310,380,688,333,840
2020년04월_여_80~89세,"4,202",615,512,483,259,335,333,260,332,441,211,421
2020년04월_여_90~99세,799,107,97,85,50,67,62,39,72,74,41,105
2020년04월_여_100세 이상,42,7,19,5,0,0,2,1,1,3,1,3
