,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2021년09월_계_총인구수,"69,302","22,661","7,973","4,872","7,105","4,530","4,290","3,037","4,011","1,845","3,245","2,865","2,218",385,265
2021년09월_계_연령구간인구수,"69,302","22,661","7,973","4,872","7,105","4,530","4,290","3,037","4,011","1,845","3,245","2,865","2,218",385,265
2021년09월_계_0~9세,"3,266","1,444",496,161,306,142,168,84,130,66,129,62,63,9,6
2021년09월_계_10~19세,"4,521","2,149",683,209,399,203,210,101,146,69,132,107,93,17,3
2021년09월_계_20~29세,"5,120","2,213",693,305,474,251,245,149,210,90,196,153,111,20,10
2021년09월_계_30~39세,"5,213","2,098",665,301,605,312,248,188,230,70,209,144,115,20,8
2021년09월_계_40~49세,"7,656","3,184","1,110",426,758,395,407,240,322,140,268,191,182,21,12
2021년09월_계_50~59세,"11,642","3,734","1,324",803,"1,313",754,728,504,625,320,544,512,371,65,45
2021년09월_계_60~69세,"15,120","3,850","1,514","1,311","1,738","1,209","1,036",812,980,450,739,691,602,103,85
2021년09월_계_70~79세,"9,987","2,453",892,774,948,777,714,598,772,361,603,581,385,69,60
2021년09월_계_80~89세,"5,887","1,367",508,486,472,403,456,325,539,247,375,374,255,51,29
2021년09월_계_90~99세,873,166,88,95,90,83,75,34,56,32,48,49,40,10,7
2021년09월_계_100세 이상,17,3,0,1,2,1,3,2,1,0,2,1,1,0,0
2021년09월_남_총인구수,"34,660","11,200","3,951","2,445","3,561","2,302","2,152","1,491","2,047",907,"1,622","1,478","1,160",198,146
2021년09월_남_연령구간인구수,"34,660","11,200","3,951","2,445","3,561","2,302","2,152","1,491","2,047",907,"1,622","1,478","1,160",198,146
2021년09월_남_0~9세,"1,714",778,230,75,153,71,95,54,73,35,69,33,40,5,3
2021년09월_남_10~19세,"2,310","1,074",351,105,203,115,109,49,78,31,66,58,59,10,2
2021년09월_남_20~29세,"2,942","1,243",395,173,285,145,143,85,133,53,111,96,63,11,6
2021년09월_남_30~39세,"2,721","1,088",334,155,306,179,133,98,117,32,117,80,66,10,6
2021년09월_남_40~49세,"4,148","1,617",568,246,430,235,228,133,188,77,162,128,113,14,9
2021년09월_남_50~59세,"6,009","1,915",673,413,646,359,386,250,335,181,302,285,200,38,26
2021년09월_남_60~69세,"7,536","1,846",746,660,863,626,528,394,516,224,361,349,325,49,49
2021년09월_남_70~79세,"4,732","1,093",435,404,463,378,328,289,369,164,289,276,174,42,28
2021년09월_남_80~89세,"2,332",503,199,191,197,170,181,128,227,104,132,158,111,16,15
2021년09월_남_90~99세,212,43,20,22,13,24,21,10,11,6,13,15,9,3,2
2021년09월_남_100세 이상,4,0,0,1,2,0,0,1,0,0,0,0,0,0,0
2021년09월_여_총인구수,"34,642","11,461","4,022","2,427","3,544","2,228","2,138","1,546","1,964",938,"1,623","1,387","1,058",187,119
2021년09월_여_연령구간인구수,"34,642","11,461","4,022","2,427","3,544","2,228","2,138","1,546","1,964",938,"1,623","1,387","1,058",187,119
2021년09월_여_0~9세,"1,552",666,266,86,153,71,73,30,57,31,60,29,23,4,3
2021년09월_여_10~19세,"2,211","1,075",332,104,196,88,101,52,68,38,66,49,34,7,1
2021년09월_여_20~29세,"2,178",970,298,132,189,106,102,64,77,37,85,57,48,9,4
2021년09월_여_30~39세,"2,492","1,010",331,146,299,133,115,90,113,38,92,64,49,10,2
2021년09월_여_40~49세,"3,508","1,567",542,180,328,160,179,107,134,63,106,63,69,7,3
2021년09월_여_50~59세,"5,633","1,819",651,390,667,395,342,254,290,139,242,227,171,27,19
2021년09월_여_60~69세,"7,584","2,004",768,651,875,583,508,418,464,226,378,342,277,54,36
2021년09월_여_70~79세,"5,255","1,360",457,370,485,399,386,309,403,197,314,305,211,27,32
2021년09월_여_80~89세,"3,555",864,309,295,275,233,275,197,312,143,243,216,144,35,14
2021년09월_여_90~99세,661,123,68,73,77,59,54,24,45,26,35,34,31,7,5
2021년09월_여_100세 이상,13,3,0,0,0,1,3,1,1,0,2,1,1,0,0
