카테고리,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2021년05월_계_총인구수,"69,212","22,670","7,872","4,911","7,042","4,528","4,274","3,041","3,976","1,870","3,238","2,883","2,248",390,269
2021년05월_계_연령구간인구수,"69,212","22,670","7,872","4,911","7,042","4,528","4,274","3,041","3,976","1,870","3,238","2,883","2,248",390,269
2021년05월_계_0~9세,"3,300","1,473",498,170,298,141,167,79,122,65,129,73,69,9,7
2021년05월_계_10~19세,"4,547","2,175",670,213,390,203,215,105,145,72,130,104,105,17,3
2021년05월_계_20~29세,"5,196","2,245",690,315,485,253,241,159,213,88,201,161,114,23,8
2021년05월_계_30~39세,"5,295","2,109",661,326,611,321,270,178,230,76,217,148,119,21,8
2021년05월_계_40~49세,"7,669","3,196","1,099",421,742,388,403,257,325,143,273,194,193,22,13
2021년05월_계_50~59세,"11,770","3,753","1,319",832,"1,309",764,733,516,620,333,553,526,393,73,46
2021년05월_계_60~69세,"14,811","3,758","1,476","1,280","1,715","1,207","1,020",798,964,452,710,673,572,101,85
2021년05월_계_70~79세,"9,979","2,470",869,779,951,775,706,595,765,366,595,583,396,66,63
2021년05월_계_80~89세,"5,780","1,326",504,477,452,401,439,323,537,244,376,374,249,49,29
2021년05월_계_90~99세,846,161,86,96,87,75,76,29,54,31,52,46,37,9,7
2021년05월_계_100세 이상,19,4,0,2,2,0,4,2,1,0,2,1,1,0,0
2021년05월_남_총인구수,"34,626","11,199","3,907","2,472","3,532","2,301","2,137","1,500","2,030",917,"1,626","1,486","1,174",199,146
2021년05월_남_연령구간인구수,"34,626","11,199","3,907","2,472","3,532","2,301","2,137","1,500","2,030",917,"1,626","1,486","1,174",199,146
2021년05월_남_0~9세,"1,737",796,236,82,151,67,90,49,68,33,69,42,45,5,4
2021년05월_남_10~19세,"2,336","1,091",340,109,197,122,113,54,79,34,65,55,66,10,1
2021년05월_남_20~29세,"2,936","1,245",386,178,287,141,139,91,135,51,111,97,62,9,4
2021년05월_남_30~39세,"2,783","1,089",333,169,312,186,148,95,119,35,126,84,71,11,5
2021년05월_남_40~49세,"4,169","1,634",563,245,420,231,225,145,187,78,170,128,118,15,10
2021년05월_남_50~59세,"6,045","1,917",684,421,638,359,388,253,333,186,308,286,204,43,25
2021년05월_남_60~69세,"7,405","1,799",728,649,861,627,519,394,507,228,339,346,309,49,50
2021년05월_남_70~79세,"4,717","1,100",421,405,464,376,323,284,367,164,291,274,180,38,30
2021년05월_남_80~89세,"2,292",488,197,188,187,171,171,125,227,103,132,160,112,16,15
2021년05월_남_90~99세,200,39,19,24,13,21,21,9,8,5,15,14,7,3,2
2021년05월_남_100세 이상,6,1,0,2,2,0,0,1,0,0,0,0,0,0,0
2021년05월_여_총인구수,"34,586","11,471","3,965","2,439","3,510","2,227","2,137","1,541","1,946",953,"1,612","1,397","1,074",191,123
2021년05월_여_연령구간인구수,"34,586","11,471","3,965","2,439","3,510","2,227","2,137","1,541","1,946",953,"1,612","1,397","1,074",191,123
2021년05월_여_0~9세,"1,563",677,262,88,147,74,77,30,54,32,60,31,24,4,3
2021년05월_여_10~19세,"2,211","1,084",330,104,193,81,102,51,66,38,65,49,39,7,2
2021년05월_여_20~29세,"2,260","1,000",304,137,198,112,102,68,78,37,90,64,52,14,4
2021년05월_여_30~39세,"2,512","1,020",328,157,299,135,122,83,111,41,91,64,48,10,3
2021년05월_여_40~49세,"3,500","1,562",536,176,322,157,178,112,138,65,103,66,75,7,3
2021년05월_여_50~59세,"5,725","1,836",635,411,671,405,345,263,287,147,245,240,189,30,21
2021년05월_여_60~69세,"7,406","1,959",748,631,854,580,501,404,457,224,371,327,263,52,35
2021년05월_여_70~79세,"5,262","1,370",448,374,487,399,383,311,398,202,304,309,216,28,33
2021년05월_여_80~89세,"3,488",838,307,289,265,230,268,198,310,141,244,214,137,33,14
2021년05월_여_90~99세,646,122,67,72,74,54,55,20,46,26,37,32,30,6,5
2021년05월_여_100세 이상,13,3,0,0,0,0,4,1,1,0,2,1,1,0,0
