카테고리,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020년05월_계_총인구수,"826,093","64,977","90,868","42,305","132,464","87,470","82,987","56,965","96,889","85,363","85,805"
2020년05월_계_연령구간인구수,"826,093","64,977","90,868","42,305","132,464","87,470","82,987","56,965","96,889","85,363","85,805"
2020년05월_계_0~9세,"60,032","3,203","5,960","2,873","10,331","8,349","4,997","3,817","10,279","4,845","5,378"
2020년05월_계_10~19세,"72,698","4,083","7,508","3,967","11,775","10,186","6,557","4,549","9,218","7,536","7,319"
2020년05월_계_20~29세,"118,924","10,253","12,997","6,286","19,845","12,413","11,870","7,936","11,558","12,819","12,947"
2020년05월_계_30~39세,"119,007","9,705","12,433","5,561","22,124","12,919","11,638","8,156","15,270","10,058","11,143"
2020년05월_계_40~49세,"131,495","9,866","14,143","6,523","20,846","15,590","12,675","8,036","17,100","13,321","13,395"
2020년05월_계_50~59세,"149,944","11,957","16,878","7,945","23,273","15,437","15,011","10,391","14,521","17,204","17,327"
2020년05월_계_60~69세,"105,866","9,459","12,556","5,648","15,603","8,267","12,012","8,593","11,155","11,402","11,171"
2020년05월_계_70~79세,"45,581","4,479","5,709","2,318","5,606","2,863","5,584","3,766","5,111","5,358","4,787"
2020년05월_계_80~89세,"19,311","1,704","2,325",995,"2,579","1,214","2,267","1,468","2,281","2,453","2,025"
2020년05월_계_90~99세,"2,990",235,325,175,462,228,345,227,360,340,293
2020년05월_계_100세 이상,245,33,34,14,20,4,31,26,36,27,20
2020년05월_남_총인구수,"410,257","32,976","45,602","20,891","64,184","42,991","41,102","28,213","47,564","42,769","43,965"
2020년05월_남_연령구간인구수,"410,257","32,976","45,602","20,891","64,184","42,991","41,102","28,213","47,564","42,769","43,965"
2020년05월_남_0~9세,"30,772","1,679","3,062","1,477","5,324","4,247","2,602","1,956","5,216","2,429","2,780"
2020년05월_남_10~19세,"37,388","2,092","3,915","2,089","5,968","5,203","3,411","2,293","4,630","3,903","3,884"
2020년05월_남_20~29세,"61,401","5,181","6,843","3,192","9,799","6,347","6,187","4,143","5,950","6,821","6,938"
2020년05월_남_30~39세,"61,032","5,350","6,459","2,827","10,894","6,158","6,171","4,337","7,468","5,379","5,989"
2020년05월_남_40~49세,"66,184","5,356","7,372","3,208","9,922","7,367","6,415","4,001","8,743","6,722","7,078"
2020년05월_남_50~59세,"72,990","6,021","8,357","3,821","10,854","7,540","7,112","4,908","6,955","8,644","8,778"
2020년05월_남_60~69세,"52,442","4,528","6,115","2,812","7,947","4,362","5,749","4,166","5,361","5,705","5,697"
2020년05월_남_70~79세,"20,956","2,126","2,596","1,101","2,604","1,345","2,551","1,831","2,373","2,308","2,121"
2020년05월_남_80~89세,"6,370",599,789,319,768,376,828,516,772,773,630
2020년05월_남_90~99세,663,37,83,41,99,45,68,58,85,80,67
2020년05월_남_100세 이상,59,7,11,4,5,1,8,4,11,5,3
2020년05월_여_총인구수,"415,836","32,001","45,266","21,414","68,280","44,479","41,885","28,752","49,325","42,594","41,840"
2020년05월_여_연령구간인구수,"415,836","32,001","45,266","21,414","68,280","44,479","41,885","28,752","49,325","42,594","41,840"
2020년05월_여_0~9세,"29,260","1,524","2,898","1,396","5,007","4,102","2,395","1,861","5,063","2,416","2,598"
2020년05월_여_10~19세,"35,310","1,991","3,593","1,878","5,807","4,983","3,146","2,256","4,588","3,633","3,435"
2020년05월_여_20~29세,"57,523","5,072","6,154","3,094","10,046","6,066","5,683","3,793","5,608","5,998","6,009"
2020년05월_여_30~39세,"57,975","4,355","5,974","2,734","11,230","6,761","5,467","3,819","7,802","4,679","5,154"
2020년05월_여_40~49세,"65,311","4,510","6,771","3,315","10,924","8,223","6,260","4,035","8,357","6,599","6,317"
2020년05월_여_50~59세,"76,954","5,936","8,521","4,124","12,419","7,897","7,899","5,483","7,566","8,560","8,549"
2020년05월_여_60~69세,"53,424","4,931","6,441","2,836","7,656","3,905","6,263","4,427","5,794","5,697","5,474"
2020년05월_여_70~79세,"24,625","2,353","3,113","1,217","3,002","1,518","3,033","1,935","2,738","3,050","2,666"
2020년05월_여_80~89세,"12,941","1,105","1,536",676,"1,811",838,"1,439",952,"1,509","1,680","1,395"
2020년05월_여_90~99세,"2,327",198,242,134,363,183,277,169,275,260,226
2020년05월_여_100세 이상,186,26,23,10,15,3,23,22,25,22,17
