,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2021년03월_계_총인구수,"102,467","4,526","3,853","10,550","7,837","8,827","10,373","4,383","4,674","3,187","7,987","11,798","7,940","16,532"
2021년03월_계_연령구간인구수,"102,467","4,526","3,853","10,550","7,837","8,827","10,373","4,383","4,674","3,187","7,987","11,798","7,940","16,532"
2021년03월_계_0~9세,"7,118",64,87,884,727,547,606,185,202,85,746,617,532,"1,836"
2021년03월_계_10~19세,"7,300",138,203,625,708,632,812,338,360,138,558,950,643,"1,195"
2021년03월_계_20~29세,"14,704","1,098",764,"1,340",882,"1,200","1,341",895,927,855,"1,102","1,364",925,"2,011"
2021년03월_계_30~39세,"13,278",619,425,"1,775",938,"1,140","1,075",461,421,388,"1,118","1,083",987,"2,848"
2021년03월_계_40~49세,"13,948",508,486,"1,465","1,178","1,235","1,364",574,597,338,"1,119","1,479","1,091","2,514"
2021년03월_계_50~59세,"15,540",648,511,"1,666","1,097","1,456","1,743",624,735,413,"1,186","1,839","1,256","2,366"
2021년03월_계_60~69세,"14,825",751,573,"1,465","1,005","1,235","1,678",609,630,465,"1,020","2,030","1,313","2,051"
2021년03월_계_70~79세,"10,287",478,518,914,836,903,"1,164",446,490,325,773,"1,503",814,"1,123"
2021년03월_계_80~89세,"4,757",187,247,354,417,422,536,215,267,157,325,810,324,496
2021년03월_계_90~99세,663,33,37,57,46,55,53,30,42,20,37,116,53,84
2021년03월_계_100세 이상,47,2,2,5,3,2,1,6,3,3,3,7,2,8
2021년03월_남_총인구수,"50,577","2,314","1,930","5,511","3,783","4,385","5,055","2,223","2,400","1,666","3,832","5,593","3,842","8,043"
2021년03월_남_연령구간인구수,"50,577","2,314","1,930","5,511","3,783","4,385","5,055","2,223","2,400","1,666","3,832","5,593","3,842","8,043"
2021년03월_남_0~9세,"3,687",36,40,451,379,282,306,115,119,43,396,311,286,923
2021년03월_남_10~19세,"3,771",63,107,331,377,336,419,174,201,60,269,503,329,602
2021년03월_남_20~29세,"7,544",431,391,712,479,631,687,480,514,448,534,721,472,"1,044"
2021년03월_남_30~39세,"6,889",349,246,967,465,599,550,265,227,226,548,545,500,"1,402"
2021년03월_남_40~49세,"7,258",318,255,806,564,658,711,300,313,203,590,705,564,"1,271"
2021년03월_남_50~59세,"7,673",374,265,921,531,735,831,311,375,230,572,849,581,"1,098"
2021년03월_남_60~69세,"7,003",391,277,729,458,587,779,282,307,226,457,915,614,981
2021년03월_남_70~79세,"4,556",256,216,440,333,384,520,194,206,147,328,655,360,517
2021년03월_남_80~89세,"1,997",86,125,142,180,158,234,93,122,74,127,348,122,186
2021년03월_남_90~99세,186,10,8,12,16,15,18,6,15,7,10,38,14,17
2021년03월_남_100세 이상,13,0,0,0,1,0,0,3,1,2,1,3,0,2
2021년03월_여_총인구수,"51,890","2,212","1,923","5,039","4,054","4,442","5,318","2,160","2,274","1,521","4,155","6,205","4,098","8,489"
2021년03월_여_연령구간인구수,"51,890","2,212","1,923","5,039","4,054","4,442","5,318","2,160","2,274","1,521","4,155","6,205","4,098","8,489"
2021년03월_여_0~9세,"3,431",28,47,433,348,265,300,70,83,42,350,306,246,913
2021년03월_여_10~19세,"3,529",75,96,294,331,296,393,164,159,78,289,447,314,593
2021년03월_여_20~29세,"7,160",667,373,628,403,569,654,415,413,407,568,643,453,967
2021년03월_여_30~39세,"6,389",270,179,808,473,541,525,196,194,162,570,538,487,"1,446"
2021년03월_여_40~49세,"6,690",190,231,659,614,577,653,274,284,135,529,774,527,"1,243"
2021년03월_여_50~59세,"7,867",274,246,745,566,721,912,313,360,183,614,990,675,"1,268"
2021년03월_여_60~69세,"7,822",360,296,736,547,648,899,327,323,239,563,"1,115",699,"1,070"
2021년03월_여_70~79세,"5,731",222,302,474,503,519,644,252,284,178,445,848,454,606
2021년03월_여_80~89세,"2,760",101,122,212,237,264,302,122,145,83,198,462,202,310
2021년03월_여_90~99세,477,23,29,45,30,40,35,24,27,13,27,78,39,67
2021년03월_여_100세 이상,34,2,2,5,2,2,1,3,2,1,2,4,2,6
