,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년08월_계_총인구수,"1,792,476","657,577","337,747","319,830","266,026","279,517","107,169","79,933","81,347","91,223","25,063","23,834","21,811","26,873","27,120","53,739","51,244"
2021년08월_계_연령구간인구수,"1,792,476","657,577","337,747","319,830","266,026","279,517","107,169","79,933","81,347","91,223","25,063","23,834","21,811","26,873","27,120","53,739","51,244"
2021년08월_계_0~9세,"122,405","52,240","23,719","28,521","19,946","17,995","5,991","4,741","4,040","6,492","1,190","1,103","1,059","1,292","1,353","2,522","2,441"
2021년08월_계_10~19세,"171,386","70,378","35,084","35,294","26,304","27,311","9,400","7,166","6,078","8,173","1,642","1,794","1,649","1,618","2,146","4,145","3,582"
2021년08월_계_20~29세,"209,061","93,119","49,129","43,990","29,420","35,508","10,398","7,440","7,004","8,843","1,841","1,724","1,579","1,956","1,960","4,130","4,139"
2021년08월_계_30~39세,"184,140","81,366","39,545","41,821","29,533","27,638","8,508","6,158","6,342","8,977","1,538","1,645","1,454","1,811","1,836","3,647","3,687"
2021년08월_계_40~49세,"261,996","105,488","52,040","53,448","42,783","40,740","14,270","10,299","9,656","13,305","2,569","2,759","2,458","2,694","3,175","5,936","5,864"
2021년08월_계_50~59세,"298,043","106,805","57,204","49,601","43,984","48,454","18,141","13,556","13,342","15,180","4,416","4,125","3,628","4,554","4,382","8,814","8,662"
2021년08월_계_60~69세,"265,736","80,097","44,013","36,084","38,731","42,104","17,625","13,456","14,982","14,633","5,127","4,600","4,360","5,188","4,986","10,021","9,826"
2021년08월_계_70~79세,"170,813","44,690","24,263","20,427","23,266","24,892","13,181","9,740","11,348","9,311","3,788","3,298","3,113","4,240","4,055","8,218","7,673"
2021년08월_계_80~89세,"93,996","20,353","11,003","9,350","10,370","12,715","8,383","6,317","7,278","5,437","2,545","2,424","2,195","3,042","2,816","5,417","4,704"
2021년08월_계_90~99세,"14,369","2,947","1,687","1,260","1,634","2,087","1,209","1,028","1,234",843,390,340,305,462,389,857,644
2021년08월_계_100세 이상,531,94,60,34,55,73,63,32,43,29,17,22,11,16,22,32,22
2021년08월_남_총인구수,"891,776","323,515","164,490","159,025","134,677","139,265","53,242","39,220","40,383","46,887","12,683","11,866","10,882","13,748","13,266","26,676","25,466"
2021년08월_남_연령구간인구수,"891,776","323,515","164,490","159,025","134,677","139,265","53,242","39,220","40,383","46,887","12,683","11,866","10,882","13,748","13,266","26,676","25,466"
2021년08월_남_0~9세,"62,816","26,740","12,198","14,542","10,163","9,262","3,071","2,509","2,103","3,219",585,594,554,683,704,"1,345","1,284"
2021년08월_남_10~19세,"88,743","36,367","18,268","18,099","13,594","13,977","4,994","3,698","3,089","4,285",874,909,836,857,"1,110","2,285","1,868"
2021년08월_남_20~29세,"113,075","48,844","25,433","23,411","16,225","19,357","5,756","4,157","3,886","4,968","1,056",951,897,"1,147","1,105","2,374","2,352"
2021년08월_남_30~39세,"95,077","41,191","20,066","21,125","15,443","14,434","4,542","3,155","3,396","4,654",748,907,751,"1,004",898,"1,968","1,986"
2021년08월_남_40~49세,"134,785","51,618","24,936","26,682","22,428","20,797","7,501","5,261","5,414","7,301","1,497","1,531","1,390","1,622","1,794","3,356","3,275"
2021년08월_남_50~59세,"154,876","52,612","27,686","24,926","23,190","24,726","9,781","7,253","7,353","8,472","2,502","2,278","2,051","2,583","2,396","4,868","4,811"
2021년08월_남_60~69세,"131,399","38,056","20,713","17,343","19,124","20,837","8,803","6,732","7,572","7,624","2,738","2,383","2,231","2,846","2,557","5,008","4,888"
2021년08월_남_70~79세,"75,991","19,951","10,824","9,127","10,576","11,211","5,749","4,133","4,992","4,341","1,748","1,389","1,381","1,873","1,683","3,606","3,358"
2021년08월_남_80~89세,"31,778","7,443","3,976","3,467","3,595","4,191","2,781","2,075","2,296","1,830",846,846,717,"1,022",913,"1,716","1,507"
2021년08월_남_90~99세,"3,150",678,379,299,330,459,254,241,276,187,84,74,73,107,104,148,135
2021년08월_남_100세 이상,86,15,11,4,9,14,10,6,6,6,5,4,1,4,2,2,2
2021년08월_여_총인구수,"900,700","334,062","173,257","160,805","131,349","140,252","53,927","40,713","40,964","44,336","12,380","11,968","10,929","13,125","13,854","27,063","25,778"
2021년08월_여_연령구간인구수,"900,700","334,062","173,257","160,805","131,349","140,252","53,927","40,713","40,964","44,336","12,380","11,968","10,929","13,125","13,854","27,063","25,778"
2021년08월_여_0~9세,"59,589","25,500","11,521","13,979","9,783","8,733","2,920","2,232","1,937","3,273",605,509,505,609,649,"1,177","1,157"
2021년08월_여_10~19세,"82,643","34,011","16,816","17,195","12,710","13,334","4,406","3,468","2,989","3,888",768,885,813,761,"1,036","1,860","1,714"
2021년08월_여_20~29세,"95,986","44,275","23,696","20,579","13,195","16,151","4,642","3,283","3,118","3,875",785,773,682,809,855,"1,756","1,787"
2021년08월_여_30~39세,"89,063","40,175","19,479","20,696","14,090","13,204","3,966","3,003","2,946","4,323",790,738,703,807,938,"1,679","1,701"
2021년08월_여_40~49세,"127,211","53,870","27,104","26,766","20,355","19,943","6,769","5,038","4,242","6,004","1,072","1,228","1,068","1,072","1,381","2,580","2,589"
2021년08월_여_50~59세,"143,167","54,193","29,518","24,675","20,794","23,728","8,360","6,303","5,989","6,708","1,914","1,847","1,577","1,971","1,986","3,946","3,851"
2021년08월_여_60~69세,"134,337","42,041","23,300","18,741","19,607","21,267","8,822","6,724","7,410","7,009","2,389","2,217","2,129","2,342","2,429","5,013","4,938"
2021년08월_여_70~79세,"94,822","24,739","13,439","11,300","12,690","13,681","7,432","5,607","6,356","4,970","2,040","1,909","1,732","2,367","2,372","4,612","4,315"
2021년08월_여_80~89세,"62,218","12,910","7,027","5,883","6,775","8,524","5,602","4,242","4,982","3,607","1,699","1,578","1,478","2,020","1,903","3,701","3,197"
2021년08월_여_90~99세,"11,219","2,269","1,308",961,"1,304","1,628",955,787,958,656,306,266,232,355,285,709,509
2021년08월_여_100세 이상,445,79,49,30,46,59,53,26,37,23,12,18,10,12,20,30,20
