,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020년09월_계_총인구수,"822,000","64,618","90,315","42,102","132,186","87,025","82,338","57,319","96,619","84,512","84,966"
2020년09월_계_연령구간인구수,"822,000","64,618","90,315","42,102","132,186","87,025","82,338","57,319","96,619","84,512","84,966"
2020년09월_계_0~9세,"58,490","3,108","5,760","2,842","10,112","8,192","4,838","3,823","9,989","4,644","5,182"
2020년09월_계_10~19세,"71,585","4,020","7,346","3,934","11,603","10,058","6,444","4,459","9,227","7,323","7,171"
2020년09월_계_20~29세,"117,954","10,197","12,926","6,193","19,751","12,265","11,718","7,942","11,546","12,671","12,745"
2020년09월_계_30~39세,"117,319","9,596","12,135","5,492","21,844","12,806","11,390","8,307","14,931","9,878","10,940"
2020년09월_계_40~49세,"130,403","9,794","14,041","6,466","20,841","15,452","12,531","8,032","17,164","12,985","13,097"
2020년09월_계_50~59세,"148,558","11,760","16,717","7,836","23,053","15,367","14,831","10,326","14,510","17,060","17,098"
2020년09월_계_60~69세,"108,556","9,636","12,838","5,786","16,113","8,513","12,232","8,841","11,376","11,682","11,539"
2020년09월_계_70~79세,"46,215","4,519","5,802","2,358","5,756","2,897","5,682","3,838","5,163","5,403","4,797"
2020년09월_계_80~89세,"19,599","1,701","2,397",998,"2,596","1,240","2,296","1,503","2,306","2,484","2,078"
2020년09월_계_90~99세,"3,074",253,319,183,497,231,346,226,367,357,295
2020년09월_계_100세 이상,247,34,34,14,20,4,30,22,40,25,24
2020년09월_남_총인구수,"407,881","32,775","45,241","20,767","64,033","42,741","40,764","28,300","47,452","42,359","43,449"
2020년09월_남_연령구간인구수,"407,881","32,775","45,241","20,767","64,033","42,741","40,764","28,300","47,452","42,359","43,449"
2020년09월_남_0~9세,"29,979","1,636","2,950","1,447","5,240","4,154","2,514","1,945","5,093","2,334","2,666"
2020년09월_남_10~19세,"36,760","2,064","3,829","2,082","5,863","5,128","3,334","2,242","4,632","3,799","3,787"
2020년09월_남_20~29세,"60,861","5,173","6,805","3,135","9,701","6,273","6,123","4,146","5,959","6,715","6,831"
2020년09월_남_30~39세,"60,203","5,272","6,289","2,790","10,811","6,127","6,052","4,394","7,294","5,294","5,880"
2020년09월_남_40~49세,"65,607","5,331","7,309","3,170","9,917","7,279","6,356","3,998","8,761","6,565","6,921"
2020년09월_남_50~59세,"72,271","5,909","8,273","3,788","10,725","7,491","7,045","4,856","6,968","8,577","8,639"
2020년09월_남_60~69세,"53,623","4,605","6,211","2,864","8,186","4,493","5,839","4,273","5,441","5,851","5,860"
2020년09월_남_70~79세,"21,283","2,141","2,652","1,118","2,686","1,363","2,577","1,857","2,412","2,338","2,139"
2020년09월_남_80~89세,"6,537",597,827,323,795,382,849,529,786,797,652
2020년09월_남_90~99세,698,40,86,46,105,50,68,56,93,84,70
2020년09월_남_100세 이상,59,7,10,4,4,1,7,4,13,5,4
2020년09월_여_총인구수,"414,119","31,843","45,074","21,335","68,153","44,284","41,574","29,019","49,167","42,153","41,517"
2020년09월_여_연령구간인구수,"414,119","31,843","45,074","21,335","68,153","44,284","41,574","29,019","49,167","42,153","41,517"
2020년09월_여_0~9세,"28,511","1,472","2,810","1,395","4,872","4,038","2,324","1,878","4,896","2,310","2,516"
2020년09월_여_10~19세,"34,825","1,956","3,517","1,852","5,740","4,930","3,110","2,217","4,595","3,524","3,384"
2020년09월_여_20~29세,"57,093","5,024","6,121","3,058","10,050","5,992","5,595","3,796","5,587","5,956","5,914"
2020년09월_여_30~39세,"57,116","4,324","5,846","2,702","11,033","6,679","5,338","3,913","7,637","4,584","5,060"
2020년09월_여_40~49세,"64,796","4,463","6,732","3,296","10,924","8,173","6,175","4,034","8,403","6,420","6,176"
2020년09월_여_50~59세,"76,287","5,851","8,444","4,048","12,328","7,876","7,786","5,470","7,542","8,483","8,459"
2020년09월_여_60~69세,"54,933","5,031","6,627","2,922","7,927","4,020","6,393","4,568","5,935","5,831","5,679"
2020년09월_여_70~79세,"24,932","2,378","3,150","1,240","3,070","1,534","3,105","1,981","2,751","3,065","2,658"
2020년09월_여_80~89세,"13,062","1,104","1,570",675,"1,801",858,"1,447",974,"1,520","1,687","1,426"
2020년09월_여_90~99세,"2,376",213,233,137,392,181,278,170,274,273,225
2020년09월_여_100세 이상,188,27,24,10,16,3,23,18,27,20,20
