카테고리,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020년12월_계_총인구수,"102,897","4,546","3,873","10,323","7,859","8,850","10,401","4,412","4,745","3,230","8,167","11,897","8,000","16,594"
2020년12월_계_연령구간인구수,"102,897","4,546","3,873","10,323","7,859","8,850","10,401","4,412","4,745","3,230","8,167","11,897","8,000","16,594"
2020년12월_계_0~9세,"7,173",64,95,853,732,550,602,199,209,80,770,641,536,"1,842"
2020년12월_계_10~19세,"7,324",151,212,587,698,635,828,340,386,138,554,947,650,"1,198"
2020년12월_계_20~29세,"14,836","1,089",741,"1,305",921,"1,212","1,337",868,926,871,"1,163","1,411",953,"2,039"
2020년12월_계_30~39세,"13,416",595,415,"1,749",929,"1,156","1,090",488,435,380,"1,151","1,092","1,021","2,915"
2020년12월_계_40~49세,"14,000",517,511,"1,430","1,185","1,256","1,358",575,615,341,"1,134","1,504","1,091","2,483"
2020년12월_계_50~59세,"15,665",653,509,"1,636","1,115","1,448","1,770",628,746,430,"1,203","1,848","1,296","2,383"
2020년12월_계_60~69세,"14,773",763,588,"1,462","1,002","1,218","1,664",617,629,470,"1,038","2,028","1,270","2,024"
2020년12월_계_70~79세,"10,296",489,517,891,835,894,"1,176",447,491,333,780,"1,510",817,"1,116"
2020년12월_계_80~89세,"4,695",190,244,351,396,421,524,212,265,162,324,802,314,490
2020년12월_계_90~99세,652,30,38,55,43,55,49,32,40,22,39,107,50,92
2020년12월_계_100세 이상,67,5,3,4,3,5,3,6,3,3,11,7,2,12
2020년12월_남_총인구수,"50,810","2,314","1,928","5,406","3,817","4,409","5,070","2,230","2,444","1,681","3,900","5,642","3,875","8,094"
2020년12월_남_연령구간인구수,"50,810","2,314","1,928","5,406","3,817","4,409","5,070","2,230","2,444","1,681","3,900","5,642","3,875","8,094"
2020년12월_남_0~9세,"3,711",36,46,443,385,282,304,126,118,40,407,317,289,918
2020년12월_남_10~19세,"3,813",71,112,311,367,344,428,176,223,66,260,508,333,614
2020년12월_남_20~29세,"7,585",418,365,702,509,632,684,457,531,447,555,744,484,"1,057"
2020년12월_남_30~39세,"7,000",336,240,954,463,614,558,279,230,228,573,547,523,"1,455"
2020년12월_남_40~49세,"7,305",326,269,789,566,674,713,300,328,207,594,721,567,"1,251"
2020년12월_남_50~59세,"7,709",373,265,908,546,723,840,317,369,236,581,848,594,"1,109"
2020년12월_남_60~69세,"6,981",398,284,724,459,585,771,283,303,227,468,917,593,969
2020년12월_남_70~79세,"4,544",259,213,424,334,383,525,189,208,147,326,658,363,515
2020년12월_남_80~89세,"1,961",88,123,139,172,155,230,94,121,74,123,343,115,184
2020년12월_남_90~99세,185,9,11,12,15,16,17,6,13,7,11,35,14,19
2020년12월_남_100세 이상,16,0,0,0,1,1,0,3,0,2,2,4,0,3
2020년12월_여_총인구수,"52,087","2,232","1,945","4,917","4,042","4,441","5,331","2,182","2,301","1,549","4,267","6,255","4,125","8,500"
2020년12월_여_연령구간인구수,"52,087","2,232","1,945","4,917","4,042","4,441","5,331","2,182","2,301","1,549","4,267","6,255","4,125","8,500"
2020년12월_여_0~9세,"3,462",28,49,410,347,268,298,73,91,40,363,324,247,924
2020년12월_여_10~19세,"3,511",80,100,276,331,291,400,164,163,72,294,439,317,584
2020년12월_여_20~29세,"7,251",671,376,603,412,580,653,411,395,424,608,667,469,982
2020년12월_여_30~39세,"6,416",259,175,795,466,542,532,209,205,152,578,545,498,"1,460"
2020년12월_여_40~49세,"6,695",191,242,641,619,582,645,275,287,134,540,783,524,"1,232"
2020년12월_여_50~59세,"7,956",280,244,728,569,725,930,311,377,194,622,"1,000",702,"1,274"
2020년12월_여_60~69세,"7,792",365,304,738,543,633,893,334,326,243,570,"1,111",677,"1,055"
2020년12월_여_70~79세,"5,752",230,304,467,501,511,651,258,283,186,454,852,454,601
2020년12월_여_80~89세,"2,734",102,121,212,224,266,294,118,144,88,201,459,199,306
2020년12월_여_90~99세,467,21,27,43,28,39,32,26,27,15,28,72,36,73
2020년12월_여_100세 이상,51,5,3,4,2,4,3,3,3,1,9,3,2,9
