,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020년09월_계_총인구수,"150,848","48,879","2,147","3,049","2,815","2,848","2,796","1,800","1,672","58,153","12,536","12,326","1,827"
2020년09월_계_연령구간인구수,"150,848","48,879","2,147","3,049","2,815","2,848","2,796","1,800","1,672","58,153","12,536","12,326","1,827"
2020년09월_계_0~9세,"13,607","4,529",70,91,61,75,63,47,37,"6,683",988,905,58
2020년09월_계_10~19세,"16,048","5,160",137,132,113,123,86,92,64,"7,391","1,204","1,418",128
2020년09월_계_20~29세,"19,914","6,190",188,252,248,208,198,113,128,"8,257","1,718","2,214",200
2020년09월_계_30~39세,"18,636","6,048",140,161,173,160,166,101,129,"8,780","1,330","1,316",132
2020년09월_계_40~49세,"23,900","8,042",208,266,261,225,263,163,173,"10,657","1,995","1,439",208
2020년09월_계_50~59세,"28,811","8,483",436,662,572,550,510,351,315,"10,731","2,867","2,934",400
2020년09월_계_60~69세,"16,485","5,726",385,598,573,576,578,400,309,"3,766","1,585","1,661",328
2020년09월_계_70~79세,"8,066","2,884",312,488,459,507,536,297,280,"1,231",559,304,209
2020년09월_계_80~89세,"4,622","1,549",227,346,308,364,323,210,205,578,254,113,145
2020년09월_계_90~99세,736,258,43,51,46,58,71,25,31,76,36,22,19
2020년09월_계_100세 이상,23,10,1,2,1,2,2,1,1,3,0,0,0
2020년09월_남_총인구수,"78,570","25,006","1,111","1,503","1,431","1,426","1,384",900,918,"30,523","6,649","6,710","1,009"
2020년09월_남_연령구간인구수,"78,570","25,006","1,111","1,503","1,431","1,426","1,384",900,918,"30,523","6,649","6,710","1,009"
2020년09월_남_0~9세,"6,912","2,293",45,43,31,34,27,20,19,"3,374",517,476,33
2020년09월_남_10~19세,"8,303","2,706",81,67,58,70,47,50,36,"3,810",603,703,72
2020년09월_남_20~29세,"11,560","3,411",109,157,150,135,121,66,82,"4,716","1,016","1,465",132
2020년09월_남_30~39세,"9,973","3,092",84,83,103,91,99,56,80,"4,685",739,771,90
2020년09월_남_40~49세,"12,183","4,240",128,140,150,135,162,106,120,"5,250","1,051",565,136
2020년09월_남_50~59세,"15,817","4,495",251,387,317,318,302,196,207,"5,947","1,552","1,608",237
2020년09월_남_60~69세,"8,676","2,964",198,303,301,292,284,208,165,"2,026",846,911,178
2020년09월_남_70~79세,"3,568","1,276",133,206,201,219,228,115,128,531,260,180,91
2020년09월_남_80~89세,"1,445",478,69,106,112,124,106,79,75,172,60,26,38
2020년09월_남_90~99세,128,50,12,10,8,8,8,4,6,10,5,5,2
2020년09월_남_100세 이상,5,1,1,1,0,0,0,0,0,2,0,0,0
2020년09월_여_총인구수,"72,278","23,873","1,036","1,546","1,384","1,422","1,412",900,754,"27,630","5,887","5,616",818
2020년09월_여_연령구간인구수,"72,278","23,873","1,036","1,546","1,384","1,422","1,412",900,754,"27,630","5,887","5,616",818
2020년09월_여_0~9세,"6,695","2,236",25,48,30,41,36,27,18,"3,309",471,429,25
2020년09월_여_10~19세,"7,745","2,454",56,65,55,53,39,42,28,"3,581",601,715,56
2020년09월_여_20~29세,"8,354","2,779",79,95,98,73,77,47,46,"3,541",702,749,68
2020년09월_여_30~39세,"8,663","2,956",56,78,70,69,67,45,49,"4,095",591,545,42
2020년09월_여_40~49세,"11,717","3,802",80,126,111,90,101,57,53,"5,407",944,874,72
2020년09월_여_50~59세,"12,994","3,988",185,275,255,232,208,155,108,"4,784","1,315","1,326",163
2020년09월_여_60~69세,"7,809","2,762",187,295,272,284,294,192,144,"1,740",739,750,150
2020년09월_여_70~79세,"4,498","1,608",179,282,258,288,308,182,152,700,299,124,118
2020년09월_여_80~89세,"3,177","1,071",158,240,196,240,217,131,130,406,194,87,107
2020년09월_여_90~99세,608,208,31,41,38,50,63,21,25,66,31,17,17
2020년09월_여_100세 이상,18,9,0,1,1,2,2,1,1,1,0,0,0
