,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년10월_계_총인구수,"113,909","10,933","4,170","8,889","9,198","7,333","5,271","6,733","18,512","28,828","3,575","10,467"
2020년10월_계_연령구간인구수,"113,909","10,933","4,170","8,889","9,198","7,333","5,271","6,733","18,512","28,828","3,575","10,467"
2020년10월_계_0~9세,"5,264",410,186,412,221,370,154,355,"1,059","1,558",183,356
2020년10월_계_10~19세,"7,501",546,255,582,510,428,271,450,"1,446","2,259",189,565
2020년10월_계_20~29세,"12,071","1,062",456,901,813,741,495,607,"1,968","3,487",613,928
2020년10월_계_30~39세,"10,769","1,074",382,832,655,760,395,655,"1,869","2,893",343,911
2020년10월_계_40~49세,"15,322","1,433",553,"1,131","1,138",977,689,975,"2,652","4,059",442,"1,273"
2020년10월_계_50~59세,"19,689","1,932",711,"1,532","1,680","1,195",925,"1,089","3,230","5,058",490,"1,847"
2020년10월_계_60~69세,"22,053","2,213",836,"1,705","1,869","1,450","1,065","1,244","3,407","5,206",678,"2,380"
2020년10월_계_70~79세,"14,562","1,538",547,"1,202","1,541",906,901,928,"1,997","3,005",455,"1,542"
2020년10월_계_80~89세,"5,810",632,211,505,678,419,337,359,769,"1,156",152,592
2020년10월_계_90~99세,736,84,24,75,81,57,31,59,100,131,28,66
2020년10월_계_100세 이상,132,9,9,12,12,30,8,12,15,16,2,7
2020년10월_남_총인구수,"56,128","5,459","2,022","4,316","4,615","3,595","2,620","3,265","9,194","14,057","1,893","5,092"
2020년10월_남_연령구간인구수,"56,128","5,459","2,022","4,316","4,615","3,595","2,620","3,265","9,194","14,057","1,893","5,092"
2020년10월_남_0~9세,"2,659",208,99,208,129,185,71,179,527,775,102,176
2020년10월_남_10~19세,"3,881",277,136,310,269,215,143,239,762,"1,148",94,288
2020년10월_남_20~29세,"6,605",555,250,502,431,389,279,310,"1,066","1,918",385,520
2020년10월_남_30~39세,"5,821",584,207,437,392,410,233,339,"1,021","1,509",198,491
2020년10월_남_40~49세,"8,037",804,278,560,649,533,393,505,"1,353","2,010",255,697
2020년10월_남_50~59세,"10,021","1,072",355,754,941,619,494,562,"1,627","2,407",262,928
2020년10월_남_60~69세,"10,539","1,064",372,813,907,684,488,586,"1,612","2,510",334,"1,169"
2020년10월_남_70~79세,"6,344",659,236,522,638,398,375,407,927,"1,349",200,633
2020년10월_남_80~89세,"2,041",223,81,188,244,142,132,122,275,404,52,178
2020년10월_남_90~99세,147,11,4,19,10,16,8,13,18,27,10,11
2020년10월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년10월_여_총인구수,"57,781","5,474","2,148","4,573","4,583","3,738","2,651","3,468","9,318","14,771","1,682","5,375"
2020년10월_여_연령구간인구수,"57,781","5,474","2,148","4,573","4,583","3,738","2,651","3,468","9,318","14,771","1,682","5,375"
2020년10월_여_0~9세,"2,605",202,87,204,92,185,83,176,532,783,81,180
2020년10월_여_10~19세,"3,620",269,119,272,241,213,128,211,684,"1,111",95,277
2020년10월_여_20~29세,"5,466",507,206,399,382,352,216,297,902,"1,569",228,408
2020년10월_여_30~39세,"4,948",490,175,395,263,350,162,316,848,"1,384",145,420
2020년10월_여_40~49세,"7,285",629,275,571,489,444,296,470,"1,299","2,049",187,576
2020년10월_여_50~59세,"9,668",860,356,778,739,576,431,527,"1,603","2,651",228,919
2020년10월_여_60~69세,"11,514","1,149",464,892,962,766,577,658,"1,795","2,696",344,"1,211"
2020년10월_여_70~79세,"8,218",879,311,680,903,508,526,521,"1,070","1,656",255,909
2020년10월_여_80~89세,"3,769",409,130,317,434,277,205,237,494,752,100,414
2020년10월_여_90~99세,589,73,20,56,71,41,23,46,82,104,18,55
2020년10월_여_100세 이상,99,7,5,9,7,26,4,9,9,16,1,6
