카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021년06월_계_총인구수,"220,904","14,548","36,089","14,084","11,315","6,374","15,306","14,459","4,416","4,674","2,634","17,067","54,715","14,916","10,307"
2021년06월_계_연령구간인구수,"220,904","14,548","36,089","14,084","11,315","6,374","15,306","14,459","4,416","4,674","2,634","17,067","54,715","14,916","10,307"
2021년06월_계_0~9세,"18,306",929,"3,164","1,076",767,310,"1,523","1,173",139,156,54,930,"6,604",902,579
2021년06월_계_10~19세,"23,149","1,331","4,432","1,164",855,826,"1,681","1,177",255,219,118,"1,511","7,897",911,772
2021년06월_계_20~29세,"30,553","1,516","5,125","1,632","1,333",712,"2,230","2,600",374,394,172,"2,811","7,034","3,103","1,517"
2021년06월_계_30~39세,"30,434","1,461","5,021","1,854","1,247",678,"2,669","2,486",354,352,150,"2,190","8,154","2,476","1,342"
2021년06월_계_40~49세,"34,742","1,976","6,659","1,980","1,614",717,"2,087","2,095",482,492,231,"2,543","10,565","1,850","1,451"
2021년06월_계_50~59세,"35,128","2,422","5,534","2,590","2,156","1,087","2,071","1,947",829,848,417,"2,849","8,148","2,272","1,958"
2021년06월_계_60~69세,"27,552","2,563","3,617","2,188","1,831","1,110","1,672","1,632",999,"1,058",706,"2,527","4,047","1,980","1,622"
2021년06월_계_70~79세,"13,088","1,417","1,629","1,030",888,575,874,862,564,662,398,"1,122","1,437",916,714
2021년06월_계_80~89세,"6,972",827,815,484,525,313,431,423,374,424,339,523,736,443,315
2021년06월_계_90~99세,947,102,90,83,96,45,65,63,44,63,47,60,93,60,36
2021년06월_계_100세 이상,33,4,3,3,3,1,3,1,2,6,2,1,0,3,1
2021년06월_남_총인구수,"114,471","7,400","18,966","7,370","5,763","3,437","8,365","7,354","2,365","2,472","1,365","8,503","27,357","8,487","5,267"
2021년06월_남_연령구간인구수,"114,471","7,400","18,966","7,370","5,763","3,437","8,365","7,354","2,365","2,472","1,365","8,503","27,357","8,487","5,267"
2021년06월_남_0~9세,"9,460",464,"1,614",541,394,157,800,603,80,74,33,486,"3,428",470,316
2021년06월_남_10~19세,"12,118",708,"2,293",653,454,478,885,593,152,114,64,769,"4,123",474,358
2021년06월_남_20~29세,"17,311",908,"3,037",866,732,398,"1,363","1,297",232,239,103,"1,503","3,718","2,137",778
2021년06월_남_30~39세,"16,377",778,"2,664","1,009",643,405,"1,525","1,317",219,219,93,"1,241","3,906","1,583",775
2021년06월_남_40~49세,"17,962","1,012","3,408","1,081",848,421,"1,193","1,136",275,300,151,"1,251","5,106","1,016",764
2021년06월_남_50~59세,"18,295","1,276","2,987","1,354","1,089",614,"1,135","1,030",452,476,220,"1,352","4,134","1,177",999
2021년06월_남_60~69세,"14,125","1,266","1,888","1,169",961,575,871,829,532,556,372,"1,180","2,084","1,000",842
2021년06월_남_70~79세,"6,042",662,761,492,406,264,415,393,269,316,188,519,607,436,314
2021년06월_남_80~89세,"2,553",304,295,186,210,116,159,141,143,164,129,184,235,176,111
2021년06월_남_90~99세,221,22,19,18,26,9,17,15,11,12,11,18,16,17,10
2021년06월_남_100세 이상,7,0,0,1,0,0,2,0,0,2,1,0,0,1,0
2021년06월_여_총인구수,"106,433","7,148","17,123","6,714","5,552","2,937","6,941","7,105","2,051","2,202","1,269","8,564","27,358","6,429","5,040"
2021년06월_여_연령구간인구수,"106,433","7,148","17,123","6,714","5,552","2,937","6,941","7,105","2,051","2,202","1,269","8,564","27,358","6,429","5,040"
2021년06월_여_0~9세,"8,846",465,"1,550",535,373,153,723,570,59,82,21,444,"3,176",432,263
2021년06월_여_10~19세,"11,031",623,"2,139",511,401,348,796,584,103,105,54,742,"3,774",437,414
2021년06월_여_20~29세,"13,242",608,"2,088",766,601,314,867,"1,303",142,155,69,"1,308","3,316",966,739
2021년06월_여_30~39세,"14,057",683,"2,357",845,604,273,"1,144","1,169",135,133,57,949,"4,248",893,567
2021년06월_여_40~49세,"16,780",964,"3,251",899,766,296,894,959,207,192,80,"1,292","5,459",834,687
2021년06월_여_50~59세,"16,833","1,146","2,547","1,236","1,067",473,936,917,377,372,197,"1,497","4,014","1,095",959
2021년06월_여_60~69세,"13,427","1,297","1,729","1,019",870,535,801,803,467,502,334,"1,347","1,963",980,780
2021년06월_여_70~79세,"7,046",755,868,538,482,311,459,469,295,346,210,603,830,480,400
2021년06월_여_80~89세,"4,419",523,520,298,315,197,272,282,231,260,210,339,501,267,204
2021년06월_여_90~99세,726,80,71,65,70,36,48,48,33,51,36,42,77,43,26
2021년06월_여_100세 이상,26,4,3,2,3,1,1,1,2,4,1,1,0,2,1
