카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동
2020년07월_계_총인구수,"378,723","111,278","44,522","22,920","9,206","14,732","1,495","2,652","43,379","61,205","67,334"
2020년07월_계_연령구간인구수,"378,723","111,278","44,522","22,920","9,206","14,732","1,495","2,652","43,379","61,205","67,334"
2020년07월_계_0~9세,"35,731","11,419","3,736","1,423",492,"1,065",42,151,"4,089","5,057","8,257"
2020년07월_계_10~19세,"33,847","8,777","4,935","1,849",623,"1,207",69,214,"3,983","5,696","6,494"
2020년07월_계_20~29세,"44,710","13,377","5,281","2,862",970,"1,121",114,174,"5,720","7,813","7,278"
2020년07월_계_30~39세,"58,584","20,452","5,810","2,774",964,"1,450",92,238,"6,610","8,578","11,616"
2020년07월_계_40~49세,"65,855","19,589","7,895","3,595","1,349","2,363",158,391,"7,364","10,566","12,585"
2020년07월_계_50~59세,"62,740","17,048","7,623","4,561","1,797","2,518",260,494,"7,364","11,176","9,899"
2020년07월_계_60~69세,"46,302","12,442","5,470","3,330","1,710","2,803",376,502,"5,015","7,637","7,017"
2020년07월_계_70~79세,"21,636","5,787","2,575","1,620",829,"1,546",236,300,"2,304","3,366","3,073"
2020년07월_계_80~89세,"8,002","2,042","1,046",780,398,558,130,158,803,"1,131",956
2020년07월_계_90~99세,"1,218",329,146,107,65,95,18,28,111,164,155
2020년07월_계_100세 이상,98,16,5,19,9,6,0,2,16,21,4
2020년07월_남_총인구수,"193,796","56,489","23,158","12,230","5,074","7,504",776,"1,418","22,048","31,006","34,093"
2020년07월_남_연령구간인구수,"193,796","56,489","23,158","12,230","5,074","7,504",776,"1,418","22,048","31,006","34,093"
2020년07월_남_0~9세,"18,364","5,888","1,937",723,260,544,20,74,"2,159","2,536","4,223"
2020년07월_남_10~19세,"17,348","4,525","2,506",968,331,642,41,115,"2,011","2,858","3,351"
2020년07월_남_20~29세,"23,613","7,020","2,807","1,590",561,620,60,86,"2,979","4,134","3,756"
2020년07월_남_30~39세,"30,599","10,677","3,078","1,556",557,735,46,134,"3,392","4,599","5,825"
2020년07월_남_40~49세,"34,884","10,456","4,203","1,953",814,"1,301",90,223,"3,822","5,451","6,571"
2020년07월_남_50~59세,"31,983","8,304","4,122","2,539","1,013","1,283",142,281,"3,755","5,549","4,995"
2020년07월_남_60~69세,"23,210","6,020","2,853","1,782",950,"1,355",203,283,"2,525","3,802","3,437"
2020년07월_남_70~79세,"10,499","2,756","1,233",795,416,796,113,147,"1,085","1,614","1,544"
2020년07월_남_80~89세,"3,003",761,389,292,153,205,54,70,299,419,361
2020년07월_남_90~99세,270,78,29,26,17,22,7,5,15,41,30
2020년07월_남_100세 이상,23,4,1,6,2,1,0,0,6,3,0
2020년07월_여_총인구수,"184,927","54,789","21,364","10,690","4,132","7,228",719,"1,234","21,331","30,199","33,241"
2020년07월_여_연령구간인구수,"184,927","54,789","21,364","10,690","4,132","7,228",719,"1,234","21,331","30,199","33,241"
2020년07월_여_0~9세,"17,367","5,531","1,799",700,232,521,22,77,"1,930","2,521","4,034"
2020년07월_여_10~19세,"16,499","4,252","2,429",881,292,565,28,99,"1,972","2,838","3,143"
2020년07월_여_20~29세,"21,097","6,357","2,474","1,272",409,501,54,88,"2,741","3,679","3,522"
2020년07월_여_30~39세,"27,985","9,775","2,732","1,218",407,715,46,104,"3,218","3,979","5,791"
2020년07월_여_40~49세,"30,971","9,133","3,692","1,642",535,"1,062",68,168,"3,542","5,115","6,014"
2020년07월_여_50~59세,"30,757","8,744","3,501","2,022",784,"1,235",118,213,"3,609","5,627","4,904"
2020년07월_여_60~69세,"23,092","6,422","2,617","1,548",760,"1,448",173,219,"2,490","3,835","3,580"
2020년07월_여_70~79세,"11,137","3,031","1,342",825,413,750,123,153,"1,219","1,752","1,529"
2020년07월_여_80~89세,"4,999","1,281",657,488,245,353,76,88,504,712,595
2020년07월_여_90~99세,948,251,117,81,48,73,11,23,96,123,125
2020년07월_여_100세 이상,75,12,4,13,7,5,0,2,10,18,4
