카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020년01월_계_총인구수,"153,335","49,746","2,216","3,156","2,948","2,978","2,901","1,824","1,774","58,659","12,526","12,723","1,884"
2020년01월_계_연령구간인구수,"153,335","49,746","2,216","3,156","2,948","2,978","2,901","1,824","1,774","58,659","12,526","12,723","1,884"
2020년01월_계_0~9세,"14,203","4,670",77,102,76,79,72,56,47,"6,969","1,011",982,62
2020년01월_계_10~19세,"16,748","5,369",160,142,124,149,104,97,75,"7,584","1,268","1,550",126
2020년01월_계_20~29세,"20,913","6,565",210,289,279,230,239,121,152,"8,503","1,737","2,371",217
2020년01월_계_30~39세,"19,258","6,328",135,174,196,195,181,112,140,"8,957","1,352","1,347",141
2020년01월_계_40~49세,"24,596","8,156",224,314,303,237,276,180,196,"10,881","2,050","1,558",221
2020년01월_계_50~59세,"28,857","8,591",474,699,613,593,539,373,336,"10,467","2,830","2,914",428
2020년01월_계_60~69세,"15,609","5,465",357,555,558,579,571,374,306,"3,469","1,472","1,587",316
2020년01월_계_70~79세,"7,929","2,827",306,493,459,501,537,289,289,"1,213",520,284,211
2020년01월_계_80~89세,"4,524","1,513",229,334,301,367,319,196,210,546,251,109,149
2020년01월_계_90~99세,676,252,43,53,38,47,61,24,22,67,35,21,13
2020년01월_계_100세 이상,22,10,1,1,1,1,2,2,1,3,0,0,0
2020년01월_남_총인구수,"79,710","25,379","1,153","1,562","1,500","1,499","1,433",919,966,"30,723","6,630","6,920","1,026"
2020년01월_남_연령구간인구수,"79,710","25,379","1,153","1,562","1,500","1,499","1,433",919,966,"30,723","6,630","6,920","1,026"
2020년01월_남_0~9세,"7,228","2,369",50,48,39,36,32,25,25,"3,544",519,509,32
2020년01월_남_10~19세,"8,641","2,770",93,75,63,82,57,59,42,"3,924",641,765,70
2020년01월_남_20~29세,"12,067","3,570",125,166,172,151,134,68,94,"4,827","1,026","1,593",141
2020년01월_남_30~39세,"10,296","3,275",80,88,106,107,112,64,88,"4,751",763,767,95
2020년01월_남_40~49세,"12,440","4,288",138,180,177,149,170,118,133,"5,276","1,082",585,144
2020년01월_남_50~59세,"15,811","4,528",274,410,338,332,311,200,214,"5,841","1,509","1,612",242
2020년01월_남_60~69세,"8,222","2,823",180,273,291,295,278,191,158,"1,874",787,901,171
2020년01월_남_70~79세,"3,464","1,238",125,212,201,212,229,111,135,511,241,156,93
2020년01월_남_80~89세,"1,412",470,75,97,105,128,102,78,72,164,57,28,36
2020년01월_남_90~99세,124,46,13,12,8,7,8,5,5,9,5,4,2
2020년01월_남_100세 이상,5,2,0,1,0,0,0,0,0,2,0,0,0
2020년01월_여_총인구수,"73,625","24,367","1,063","1,594","1,448","1,479","1,468",905,808,"27,936","5,896","5,803",858
2020년01월_여_연령구간인구수,"73,625","24,367","1,063","1,594","1,448","1,479","1,468",905,808,"27,936","5,896","5,803",858
2020년01월_여_0~9세,"6,975","2,301",27,54,37,43,40,31,22,"3,425",492,473,30
2020년01월_여_10~19세,"8,107","2,599",67,67,61,67,47,38,33,"3,660",627,785,56
2020년01월_여_20~29세,"8,846","2,995",85,123,107,79,105,53,58,"3,676",711,778,76
2020년01월_여_30~39세,"8,962","3,053",55,86,90,88,69,48,52,"4,206",589,580,46
2020년01월_여_40~49세,"12,156","3,868",86,134,126,88,106,62,63,"5,605",968,973,77
2020년01월_여_50~59세,"13,046","4,063",200,289,275,261,228,173,122,"4,626","1,321","1,302",186
2020년01월_여_60~69세,"7,387","2,642",177,282,267,284,293,183,148,"1,595",685,686,145
2020년01월_여_70~79세,"4,465","1,589",181,281,258,289,308,178,154,702,279,128,118
2020년01월_여_80~89세,"3,112","1,043",154,237,196,239,217,118,138,382,194,81,113
2020년01월_여_90~99세,552,206,30,41,30,40,53,19,17,58,30,17,11
2020년01월_여_100세 이상,17,8,1,0,1,1,2,2,1,1,0,0,0
