카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020년11월_계_총인구수,"150,680","48,806","2,160","3,056","2,832","2,836","2,792","1,806","1,647","58,058","12,551","12,318","1,818"
2020년11월_계_연령구간인구수,"150,680","48,806","2,160","3,056","2,832","2,836","2,792","1,806","1,647","58,058","12,551","12,318","1,818"
2020년11월_계_0~9세,"13,401","4,453",71,87,63,67,67,43,34,"6,566",976,915,59
2020년11월_계_10~19세,"16,005","5,122",138,142,115,124,84,92,68,"7,362","1,218","1,409",131
2020년11월_계_20~29세,"19,904","6,186",193,253,258,207,188,119,124,"8,291","1,705","2,187",193
2020년11월_계_30~39세,"18,458","5,969",140,156,169,158,158,104,128,"8,671","1,338","1,333",134
2020년11월_계_40~49세,"23,734","8,037",210,262,256,220,261,157,166,"10,589","1,977","1,398",201
2020년11월_계_50~59세,"28,882","8,485",437,660,570,546,505,348,314,"10,821","2,856","2,943",397
2020년11월_계_60~69세,"16,755","5,805",387,610,586,582,594,407,304,"3,848","1,623","1,681",328
2020년11월_계_70~79세,"8,137","2,910",312,485,458,512,535,297,274,"1,248",572,321,213
2020년11월_계_80~89세,"4,649","1,571",228,346,313,357,328,211,207,583,252,110,143
2020년11월_계_90~99세,731,257,43,53,43,60,70,27,28,76,34,21,19
2020년11월_계_100세 이상,24,11,1,2,1,3,2,1,0,3,0,0,0
2020년11월_남_총인구수,"78,550","24,981","1,122","1,512","1,450","1,415","1,384",905,915,"30,517","6,659","6,686","1,004"
2020년11월_남_연령구간인구수,"78,550","24,981","1,122","1,512","1,450","1,415","1,384",905,915,"30,517","6,659","6,686","1,004"
2020년11월_남_0~9세,"6,800","2,254",45,39,33,29,30,18,16,"3,320",511,473,32
2020년11월_남_10~19세,"8,277","2,683",85,71,59,69,45,50,40,"3,785",620,697,73
2020년11월_남_20~29세,"11,584","3,413",112,157,155,130,119,69,80,"4,760","1,014","1,444",131
2020년11월_남_30~39세,"9,887","3,061",83,83,100,88,97,60,79,"4,632",739,777,88
2020년11월_남_40~49세,"12,137","4,236",131,140,148,133,161,104,117,"5,235","1,047",550,135
2020년11월_남_50~59세,"15,841","4,500",250,384,322,316,298,195,212,"5,977","1,542","1,613",232
2020년11월_남_60~69세,"8,816","2,997",200,314,310,297,292,213,164,"2,079",857,913,180
2020년11월_남_70~79세,"3,609","1,294",133,205,201,224,225,114,126,542,264,189,92
2020년11월_남_80~89세,"1,466",493,70,108,114,119,109,78,75,176,60,25,39
2020년11월_남_90~99세,128,49,12,10,8,10,8,4,6,9,5,5,2
2020년11월_남_100세 이상,5,1,1,1,0,0,0,0,0,2,0,0,0
2020년11월_여_총인구수,"72,130","23,825","1,038","1,544","1,382","1,421","1,408",901,732,"27,541","5,892","5,632",814
2020년11월_여_연령구간인구수,"72,130","23,825","1,038","1,544","1,382","1,421","1,408",901,732,"27,541","5,892","5,632",814
2020년11월_여_0~9세,"6,601","2,199",26,48,30,38,37,25,18,"3,246",465,442,27
2020년11월_여_10~19세,"7,728","2,439",53,71,56,55,39,42,28,"3,577",598,712,58
2020년11월_여_20~29세,"8,320","2,773",81,96,103,77,69,50,44,"3,531",691,743,62
2020년11월_여_30~39세,"8,571","2,908",57,73,69,70,61,44,49,"4,039",599,556,46
2020년11월_여_40~49세,"11,597","3,801",79,122,108,87,100,53,49,"5,354",930,848,66
2020년11월_여_50~59세,"13,041","3,985",187,276,248,230,207,153,102,"4,844","1,314","1,330",165
2020년11월_여_60~69세,"7,939","2,808",187,296,276,285,302,194,140,"1,769",766,768,148
2020년11월_여_70~79세,"4,528","1,616",179,280,257,288,310,183,148,706,308,132,121
2020년11월_여_80~89세,"3,183","1,078",158,238,199,238,219,133,132,407,192,85,104
2020년11월_여_90~99세,603,208,31,43,35,50,62,23,22,67,29,16,17
2020년11월_여_100세 이상,19,10,0,1,1,3,2,1,0,1,0,0,0
