,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2021년09월_계_총인구수,"236,028","26,318","5,851","6,909","11,914","10,763","5,266","50,129","9,694","27,230","27,366","54,588"
2021년09월_계_연령구간인구수,"236,028","26,318","5,851","6,909","11,914","10,763","5,266","50,129","9,694","27,230","27,366","54,588"
2021년09월_계_0~9세,"19,921","1,264",146,385,604,506,206,"4,520",631,"1,879","2,182","7,598"
2021년09월_계_10~19세,"24,315","2,459",295,372,850,504,263,"6,940",710,"2,616","3,364","5,942"
2021년09월_계_20~29세,"27,783","3,226",660,798,"1,255","1,131",542,"5,503","1,507","3,410","3,906","5,845"
2021년09월_계_30~39세,"28,294","2,289",447,765,"1,120","1,096",428,"5,111","1,198","2,895","2,956","9,989"
2021년09월_계_40~49세,"39,986","3,844",640,798,"1,629","1,166",599,"10,021","1,318","4,273","4,848","10,850"
2021년09월_계_50~59세,"39,228","5,128","1,222","1,188","2,461","1,846","1,023","7,728","1,756","5,402","4,769","6,705"
2021년09월_계_60~69세,"31,089","4,498","1,397","1,456","2,305","2,323","1,123","5,366","1,433","3,955","2,655","4,578"
2021년09월_계_70~79세,"16,551","2,291",658,697,"1,054","1,330",680,"3,378",740,"1,883","1,624","2,216"
2021년09월_계_80~89세,"7,718","1,154",335,374,553,693,352,"1,382",341,827,945,762
2021년09월_계_90~99세,"1,099",160,51,74,82,164,49,174,46,90,111,98
2021년09월_계_100세 이상,44,5,0,2,1,4,1,6,14,0,6,5
2021년09월_남_총인구수,"119,717","13,326","3,339","3,863","6,455","5,535","2,771","24,514","5,111","13,793","13,559","27,451"
2021년09월_남_연령구간인구수,"119,717","13,326","3,339","3,863","6,455","5,535","2,771","24,514","5,111","13,793","13,559","27,451"
2021년09월_남_0~9세,"10,166",609,73,189,311,269,105,"2,269",323,976,"1,132","3,910"
2021년09월_남_10~19세,"12,396","1,282",162,183,468,275,147,"3,526",381,"1,345","1,712","2,915"
2021년09월_남_20~29세,"14,895","1,762",392,523,738,697,311,"2,778",859,"1,799","2,042","2,994"
2021년09월_남_30~39세,"14,575","1,234",290,453,635,602,242,"2,491",666,"1,529","1,482","4,951"
2021년09월_남_40~49세,"20,630","1,972",402,496,931,634,338,"4,930",700,"2,205","2,382","5,640"
2021년09월_남_50~59세,"20,550","2,672",750,696,"1,370",939,539,"4,009",944,"2,768","2,454","3,409"
2021년09월_남_60~69세,"15,635","2,287",793,822,"1,258","1,141",636,"2,403",747,"2,017","1,305","2,226"
2021년09월_남_70~79세,"7,701","1,064",342,347,514,665,309,"1,524",344,831,646,"1,115"
2021년09월_남_80~89세,"2,924",417,124,138,212,279,134,540,133,305,368,274
2021년09월_남_90~99세,234,27,11,16,18,32,10,44,10,18,31,17
2021년09월_남_100세 이상,11,0,0,0,0,2,0,0,4,0,5,0
2021년09월_여_총인구수,"116,311","12,992","2,512","3,046","5,459","5,228","2,495","25,615","4,583","13,437","13,807","27,137"
2021년09월_여_연령구간인구수,"116,311","12,992","2,512","3,046","5,459","5,228","2,495","25,615","4,583","13,437","13,807","27,137"
2021년09월_여_0~9세,"9,755",655,73,196,293,237,101,"2,251",308,903,"1,050","3,688"
2021년09월_여_10~19세,"11,919","1,177",133,189,382,229,116,"3,414",329,"1,271","1,652","3,027"
2021년09월_여_20~29세,"12,888","1,464",268,275,517,434,231,"2,725",648,"1,611","1,864","2,851"
2021년09월_여_30~39세,"13,719","1,055",157,312,485,494,186,"2,620",532,"1,366","1,474","5,038"
2021년09월_여_40~49세,"19,356","1,872",238,302,698,532,261,"5,091",618,"2,068","2,466","5,210"
2021년09월_여_50~59세,"18,678","2,456",472,492,"1,091",907,484,"3,719",812,"2,634","2,315","3,296"
2021년09월_여_60~69세,"15,454","2,211",604,634,"1,047","1,182",487,"2,963",686,"1,938","1,350","2,352"
2021년09월_여_70~79세,"8,850","1,227",316,350,540,665,371,"1,854",396,"1,052",978,"1,101"
2021년09월_여_80~89세,"4,794",737,211,236,341,414,218,842,208,522,577,488
2021년09월_여_90~99세,865,133,40,58,64,132,39,130,36,72,80,81
2021년09월_여_100세 이상,33,5,0,2,1,2,1,6,10,0,1,5
