카테고리,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2021년06월_계_총인구수,"51,672,400","9,565,990","3,364,358","2,397,646","2,936,367","1,442,647","1,456,107","1,126,369","362,995","13,500,688","1,535,530","1,597,503","2,117,400","1,794,345","1,840,921","2,632,401","3,325,840","675,293"
2021년06월_계_연령구간인구수,"51,672,400","9,565,990","3,364,358","2,397,646","2,936,367","1,442,647","1,456,107","1,126,369","362,995","13,500,688","1,535,530","1,597,503","2,117,400","1,794,345","1,840,921","2,632,401","3,325,840","675,293"
2021년06월_계_0~9세,"3,859,229","602,526","225,716","172,618","221,908","116,423","110,671","94,865","46,977","1,122,836","103,005","120,162","167,531","123,823","127,868","183,713","259,234","59,353"
2021년06월_계_10~19세,"4,741,570","766,572","268,079","221,070","271,701","154,106","143,914","110,623","44,072","1,325,609","135,269","147,347","201,249","172,059","164,787","223,840","321,067","70,206"
2021년06월_계_20~29세,"6,745,313","1,443,208","424,072","316,026","395,569","207,952","210,976","141,167","38,205","1,810,989","177,090","197,067","240,486","209,721","197,783","281,131","371,865","82,006"
2021년06월_계_30~39세,"6,775,108","1,452,328","411,026","288,200","400,817","182,779","191,188","147,880","61,194","1,899,205","163,395","192,382","262,958","185,117","181,555","284,647","388,900","81,537"
2021년06월_계_40~49세,"8,216,263","1,501,071","505,849","377,140","480,627","237,840","233,637","185,339","70,646","2,296,204","220,674","238,483","326,497","263,566","255,665","379,324","531,783","111,918"
2021년06월_계_50~59세,"8,590,314","1,506,232","557,505","420,147","508,561","233,886","239,229","206,852","46,583","2,246,038","263,924","269,456","337,494","297,676","311,925","454,391","576,740","113,675"
2021년06월_계_60~69세,"7,001,815","1,269,804","542,673","336,363","386,075","168,355","186,847","151,599","32,165","1,614,361","252,215","235,661","292,701","263,759","279,676","424,980","482,382","82,199"
2021년06월_계_70~79세,"3,694,311","696,049","294,173","175,664","177,988","93,901","91,567","61,411","14,506","768,438","133,698","119,763","171,223","170,487","191,213","241,299","247,401","45,530"
2021년06월_계_80~89세,"1,782,343","284,923","119,680","80,372","80,076","41,202","41,935","23,433","7,331","361,517","74,448","67,491","101,957","93,460","113,054","138,893","128,001","24,570"
2021년06월_계_90~99세,"255,357","40,808","14,827","9,677","12,507","5,968","5,941","3,118","1,278","53,180","11,350","9,376","14,785","14,150","16,800","19,532","17,961","4,099"
2021년06월_계_100세 이상,"10,777","2,469",758,369,538,235,202,82,38,"2,311",462,315,519,527,595,651,506,200
2021년06월_남_총인구수,"25,770,033","4,649,442","1,647,291","1,182,380","1,470,544","713,793","726,666","578,924","181,328","6,795,088","772,949","810,225","1,082,113","892,670","926,398","1,326,844","1,674,612","338,766"
2021년06월_남_연령구간인구수,"25,770,033","4,649,442","1,647,291","1,182,380","1,470,544","713,793","726,666","578,924","181,328","6,795,088","772,949","810,225","1,082,113","892,670","926,398","1,326,844","1,674,612","338,766"
2021년06월_남_0~9세,"1,978,771","309,269","115,835","88,391","113,942","59,751","56,962","48,733","24,022","574,897","52,777","61,409","85,753","63,532","65,169","94,589","133,219","30,521"
2021년06월_남_10~19세,"2,449,936","392,686","138,191","115,414","139,687","79,838","74,318","58,175","22,149","681,461","70,294","76,584","104,445","89,124","85,428","117,595","167,798","36,749"
2021년06월_남_20~29세,"3,540,716","696,930","220,483","168,478","206,203","108,529","110,659","79,565","19,567","953,842","99,587","109,588","132,940","113,402","110,693","159,442","207,472","43,336"
2021년06월_남_30~39세,"3,494,615","725,714","210,610","150,467","207,430","93,495","100,001","78,655","29,883","980,546","85,957","102,402","141,673","95,558","95,564","152,096","203,469","41,095"
2021년06월_남_40~49세,"4,176,614","743,762","255,059","186,244","245,973","118,137","116,445","94,670","35,923","1,168,087","113,209","123,619","174,199","135,742","136,627","197,774","273,671","57,473"
2021년06월_남_50~59세,"4,342,584","741,675","271,283","205,925","254,123","116,153","119,425","105,071","24,343","1,138,575","136,165","138,719","178,810","154,496","167,868","235,663","295,138","59,152"
2021년06월_남_60~69세,"3,428,229","599,745","256,452","160,010","191,282","80,209","90,680","76,386","15,943","802,781","125,765","118,278","146,907","130,429","141,267","211,530","239,755","40,810"
2021년06월_남_70~79세,"1,669,307","317,147","132,793","76,951","81,391","41,692","41,670","29,261","6,724","349,795","60,109","54,198","78,117","75,718","84,573","108,283","110,174","20,711"
2021년06월_남_80~89세,"630,683","111,573","43,316","28,376","27,762","14,694","15,109","7,882","2,502","132,036","26,493","23,310","35,737","31,483","35,828","45,830","40,465","8,287"
2021년06월_남_90~99세,"56,358","10,322","3,120","2,054","2,624","1,267","1,363",515,263,"12,513","2,478","2,048","3,443","3,101","3,319","3,948","3,362",618
2021년06월_남_100세 이상,"2,220",619,149,70,127,28,34,11,9,555,115,70,89,85,62,94,89,14
2021년06월_여_총인구수,"25,902,367","4,916,548","1,717,067","1,215,266","1,465,823","728,854","729,441","547,445","181,667","6,705,600","762,581","787,278","1,035,287","901,675","914,523","1,305,557","1,651,228","336,527"
2021년06월_여_연령구간인구수,"25,902,367","4,916,548","1,717,067","1,215,266","1,465,823","728,854","729,441","547,445","181,667","6,705,600","762,581","787,278","1,035,287","901,675","914,523","1,305,557","1,651,228","336,527"
2021년06월_여_0~9세,"1,880,458","293,257","109,881","84,227","107,966","56,672","53,709","46,132","22,955","547,939","50,228","58,753","81,778","60,291","62,699","89,124","126,015","28,832"
2021년06월_여_10~19세,"2,291,634","373,886","129,888","105,656","132,014","74,268","69,596","52,448","21,923","644,148","64,975","70,763","96,804","82,935","79,359","106,245","153,269","33,457"
2021년06월_여_20~29세,"3,204,597","746,278","203,589","147,548","189,366","99,423","100,317","61,602","18,638","857,147","77,503","87,479","107,546","96,319","87,090","121,689","164,393","38,670"
2021년06월_여_30~39세,"3,280,493","726,614","200,416","137,733","193,387","89,284","91,187","69,225","31,311","918,659","77,438","89,980","121,285","89,559","85,991","132,551","185,431","40,442"
2021년06월_여_40~49세,"4,039,649","757,309","250,790","190,896","234,654","119,703","117,192","90,669","34,723","1,128,117","107,465","114,864","152,298","127,824","119,038","181,550","258,112","54,445"
2021년06월_여_50~59세,"4,247,730","764,557","286,222","214,222","254,438","117,733","119,804","101,781","22,240","1,107,463","127,759","130,737","158,684","143,180","144,057","218,728","281,602","54,523"
2021년06월_여_60~69세,"3,573,586","670,059","286,221","176,353","194,793","88,146","96,167","75,213","16,222","811,580","126,450","117,383","145,794","133,330","138,409","213,450","242,627","41,389"
2021년06월_여_70~79세,"2,025,004","378,902","161,380","98,713","96,597","52,209","49,897","32,150","7,782","418,643","73,589","65,565","93,106","94,769","106,640","133,016","137,227","24,819"
2021년06월_여_80~89세,"1,151,660","173,350","76,364","51,996","52,314","26,508","26,826","15,551","4,829","229,481","47,955","44,181","66,220","61,977","77,226","93,063","87,536","16,283"
2021년06월_여_90~99세,"198,999","30,486","11,707","7,623","9,883","4,701","4,578","2,603","1,015","40,667","8,872","7,328","11,342","11,049","13,481","15,584","14,599","3,481"
2021년06월_여_100세 이상,"8,557","1,850",609,299,411,207,168,71,29,"1,756",347,245,430,442,533,557,417,186
