,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2021년02월_계_총인구수,"107,824","4,510","7,579","7,782","13,799","8,637","7,855","7,849","7,025","4,639","10,106","5,056","9,549","13,438"
2021년02월_계_연령구간인구수,"107,824","4,510","7,579","7,782","13,799","8,637","7,855","7,849","7,025","4,639","10,106","5,056","9,549","13,438"
2021년02월_계_0~9세,"5,564",210,333,424,"1,123",604,621,445,93,120,491,129,332,639
2021년02월_계_10~19세,"7,249",273,503,527,"1,100",833,773,573,303,181,524,192,505,962
2021년02월_계_20~29세,"13,436",569,762,"1,194","1,725","1,019",931,"1,562",764,418,"1,409",464,879,"1,740"
2021년02월_계_30~39세,"11,049",467,633,873,"1,860",894,833,962,540,361,"1,178",451,748,"1,249"
2021년02월_계_40~49세,"14,667",586,995,"1,058","2,157","1,336","1,244","1,044",813,601,"1,323",590,"1,210","1,710"
2021년02월_계_50~59세,"17,838",755,"1,307","1,125","2,088","1,423","1,280","1,124","1,221",825,"1,729",923,"1,671","2,367"
2021년02월_계_60~69세,"19,246",805,"1,448","1,324","1,860","1,341","1,159","1,156","1,549",984,"1,764","1,150","2,087","2,619"
2021년02월_계_70~79세,"12,414",524,"1,036",810,"1,254",765,653,617,"1,094",743,"1,159",788,"1,485","1,486"
2021년02월_계_80~89세,"5,497",281,495,378,542,369,313,307,546,350,458,319,554,585
2021년02월_계_90~99세,740,36,63,60,85,50,43,51,73,46,57,43,66,67
2021년02월_계_100세 이상,124,4,4,9,5,3,5,8,29,10,14,7,12,14
2021년02월_남_총인구수,"52,194","2,152","3,692","3,658","6,508","3,989","3,807","3,737","3,556","2,332","4,810","2,569","4,773","6,611"
2021년02월_남_연령구간인구수,"52,194","2,152","3,692","3,658","6,508","3,989","3,807","3,737","3,556","2,332","4,810","2,569","4,773","6,611"
2021년02월_남_0~9세,"2,912",110,175,220,577,321,342,227,47,62,254,67,176,334
2021년02월_남_10~19세,"3,666",128,241,256,561,387,396,291,164,90,268,98,276,510
2021년02월_남_20~29세,"6,615",292,415,547,818,484,486,697,402,227,616,255,477,899
2021년02월_남_30~39세,"5,690",250,330,456,887,422,396,475,305,209,607,261,415,677
2021년02월_남_40~49세,"7,597",313,523,530,"1,062",624,594,523,469,361,679,354,659,906
2021년02월_남_50~59세,"9,107",380,643,553,"1,021",660,624,575,683,461,888,504,922,"1,193"
2021년02월_남_60~69세,"8,988",351,690,598,840,618,554,546,773,474,815,541,"1,001","1,187"
2021년02월_남_70~79세,"5,399",223,458,348,535,337,284,270,481,326,479,350,643,665
2021년02월_남_80~89세,"2,011",95,206,131,186,123,122,121,202,106,180,127,191,221
2021년02월_남_90~99세,173,10,10,17,19,13,8,9,20,13,20,10,11,13
2021년02월_남_100세 이상,36,0,1,2,2,0,1,3,10,3,4,2,2,6
2021년02월_여_총인구수,"55,630","2,358","3,887","4,124","7,291","4,648","4,048","4,112","3,469","2,307","5,296","2,487","4,776","6,827"
2021년02월_여_연령구간인구수,"55,630","2,358","3,887","4,124","7,291","4,648","4,048","4,112","3,469","2,307","5,296","2,487","4,776","6,827"
2021년02월_여_0~9세,"2,652",100,158,204,546,283,279,218,46,58,237,62,156,305
2021년02월_여_10~19세,"3,583",145,262,271,539,446,377,282,139,91,256,94,229,452
2021년02월_여_20~29세,"6,821",277,347,647,907,535,445,865,362,191,793,209,402,841
2021년02월_여_30~39세,"5,359",217,303,417,973,472,437,487,235,152,571,190,333,572
2021년02월_여_40~49세,"7,070",273,472,528,"1,095",712,650,521,344,240,644,236,551,804
2021년02월_여_50~59세,"8,731",375,664,572,"1,067",763,656,549,538,364,841,419,749,"1,174"
2021년02월_여_60~69세,"10,258",454,758,726,"1,020",723,605,610,776,510,949,609,"1,086","1,432"
2021년02월_여_70~79세,"7,015",301,578,462,719,428,369,347,613,417,680,438,842,821
2021년02월_여_80~89세,"3,486",186,289,247,356,246,191,186,344,244,278,192,363,364
2021년02월_여_90~99세,567,26,53,43,66,37,35,42,53,33,37,33,55,54
2021년02월_여_100세 이상,88,4,3,7,3,3,4,5,19,7,10,5,10,8
