,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2021년06월_계_총인구수,"2,397,646","74,727","340,693","167,773","145,105","437,333","419,979","551,490","260,546"
2021년06월_계_연령구간인구수,"2,397,646","74,727","340,693","167,773","145,105","437,333","419,979","551,490","260,546"
2021년06월_계_0~9세,"172,618","4,869","24,375","7,176","6,664","32,819","29,294","38,392","29,029"
2021년06월_계_10~19세,"221,070","4,965","26,314","10,458","9,206","42,403","49,884","53,738","24,102"
2021년06월_계_20~29세,"316,026","11,540","41,195","20,929","20,261","61,716","54,234","77,439","28,712"
2021년06월_계_30~39세,"288,200","10,476","43,264","17,058","16,971","52,937","42,182","64,384","40,928"
2021년06월_계_40~49세,"377,140","10,507","50,896","22,111","19,843","71,111","71,326","87,306","44,040"
2021년06월_계_50~59세,"420,147","11,037","56,380","33,153","24,571","77,639","74,596","102,118","40,653"
2021년06월_계_60~69세,"336,363","10,201","52,867","31,830","24,265","56,071","53,303","76,303","31,523"
2021년06월_계_70~79세,"175,664","7,148","30,274","17,177","14,904","28,479","28,843","34,626","14,213"
2021년06월_계_80~89세,"80,372","3,438","13,558","7,123","7,449","12,653","14,348","15,309","6,494"
2021년06월_계_90~99세,"9,677",474,"1,519",726,950,"1,455","1,904","1,818",831
2021년06월_계_100세 이상,369,72,51,32,21,50,65,57,21
2021년06월_남_총인구수,"1,182,380","35,922","167,668","83,975","69,755","217,669","203,195","271,953","132,243"
2021년06월_남_연령구간인구수,"1,182,380","35,922","167,668","83,975","69,755","217,669","203,195","271,953","132,243"
2021년06월_남_0~9세,"88,391","2,498","12,437","3,702","3,441","16,797","15,098","19,622","14,796"
2021년06월_남_10~19세,"115,414","2,558","13,813","5,411","4,839","22,036","26,311","27,881","12,565"
2021년06월_남_20~29세,"168,478","5,516","21,952","11,513","10,079","33,321","29,035","41,263","15,799"
2021년06월_남_30~39세,"150,467","5,432","22,903","9,687","8,967","27,805","20,657","33,641","21,375"
2021년06월_남_40~49세,"186,244","5,317","26,109","11,886","10,057","34,923","32,561","42,405","22,986"
2021년06월_남_50~59세,"205,925","5,477","27,509","16,747","12,016","38,561","36,071","49,298","20,246"
2021년06월_남_60~69세,"160,010","4,722","24,517","14,920","11,118","27,215","25,164","36,741","15,613"
2021년06월_남_70~79세,"76,951","3,020","13,221","7,503","6,345","12,289","12,547","15,443","6,583"
2021년06월_남_80~89세,"28,376","1,255","4,874","2,482","2,686","4,427","5,280","5,256","2,116"
2021년06월_남_90~99세,"2,054",113,321,119,204,287,455,394,161
2021년06월_남_100세 이상,70,14,12,5,3,8,16,9,3
2021년06월_여_총인구수,"1,215,266","38,805","173,025","83,798","75,350","219,664","216,784","279,537","128,303"
2021년06월_여_연령구간인구수,"1,215,266","38,805","173,025","83,798","75,350","219,664","216,784","279,537","128,303"
2021년06월_여_0~9세,"84,227","2,371","11,938","3,474","3,223","16,022","14,196","18,770","14,233"
2021년06월_여_10~19세,"105,656","2,407","12,501","5,047","4,367","20,367","23,573","25,857","11,537"
2021년06월_여_20~29세,"147,548","6,024","19,243","9,416","10,182","28,395","25,199","36,176","12,913"
2021년06월_여_30~39세,"137,733","5,044","20,361","7,371","8,004","25,132","21,525","30,743","19,553"
2021년06월_여_40~49세,"190,896","5,190","24,787","10,225","9,786","36,188","38,765","44,901","21,054"
2021년06월_여_50~59세,"214,222","5,560","28,871","16,406","12,555","39,078","38,525","52,820","20,407"
2021년06월_여_60~69세,"176,353","5,479","28,350","16,910","13,147","28,856","28,139","39,562","15,910"
2021년06월_여_70~79세,"98,713","4,128","17,053","9,674","8,559","16,190","16,296","19,183","7,630"
2021년06월_여_80~89세,"51,996","2,183","8,684","4,641","4,763","8,226","9,068","10,053","4,378"
2021년06월_여_90~99세,"7,623",361,"1,198",607,746,"1,168","1,449","1,424",670
2021년06월_여_100세 이상,299,58,39,27,18,42,49,48,18
