,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021년12월_계_총인구수,"150,531","48,325","2,147","3,034","4,979","2,736","2,747","1,755","3,732","56,257","11,717","11,398","1,704"
2021년12월_계_연령구간인구수,"150,531","48,325","2,147","3,034","4,979","2,736","2,747","1,755","3,732","56,257","11,717","11,398","1,704"
2021년12월_계_0~9세,"12,656","4,120",63,68,264,53,71,38,537,"5,794",819,779,50
2021년12월_계_10~19세,"15,648","5,060",129,131,268,114,80,85,218,"7,141","1,097","1,218",107
2021년12월_계_20~29세,"19,258","5,893",172,245,605,175,185,112,380,"7,886","1,465","1,961",179
2021년12월_계_30~39세,"18,061","5,637",143,143,497,155,139,87,824,"7,912","1,194","1,208",122
2021년12월_계_40~49세,"23,102","7,737",189,244,533,193,239,146,446,"10,157","1,768","1,280",170
2021년12월_계_50~59세,"29,443","8,584",440,619,"1,145",527,468,319,461,"11,109","2,719","2,691",361
2021년12월_계_60~69세,"18,319","6,301",428,662,802,561,602,432,354,"4,302","1,771","1,757",347
2021년12월_계_70~79세,"8,388","3,044",299,479,494,506,548,288,271,"1,291",589,374,205
2021년12월_계_80~89세,"4,789","1,642",231,370,321,381,338,218,199,581,252,113,143
2021년12월_계_90~99세,849,304,53,71,50,69,75,27,40,81,42,17,20
2021년12월_계_100세 이상,18,3,0,2,0,2,2,3,2,3,1,0,0
2021년12월_남_총인구수,"78,626","24,763","1,115","1,499","2,565","1,382","1,365",881,"1,998","29,637","6,197","6,286",938
2021년12월_남_연령구간인구수,"78,626","24,763","1,115","1,499","2,565","1,382","1,365",881,"1,998","29,637","6,197","6,286",938
2021년12월_남_0~9세,"6,437","2,081",45,35,137,24,33,19,268,"2,961",418,393,23
2021년12월_남_10~19세,"8,125","2,660",77,64,137,76,41,42,120,"3,658",553,642,55
2021년12월_남_20~29세,"11,207","3,241",107,147,354,111,111,78,219,"4,539",857,"1,322",121
2021년12월_남_30~39세,"9,717","2,911",84,72,285,84,82,43,447,"4,240",672,710,87
2021년12월_남_40~49세,"11,993","4,075",106,124,259,116,155,92,262,"5,150",951,589,114
2021년12월_남_50~59세,"15,977","4,555",255,353,622,314,290,181,285,"6,001","1,486","1,422",213
2021년12월_남_60~69세,"9,646","3,267",226,368,420,292,290,230,185,"2,308",917,951,192
2021년12월_남_70~79세,"3,852","1,403",125,205,226,224,242,115,134,591,276,222,89
2021년12월_남_80~89세,"1,532",515,77,115,118,131,111,77,71,180,63,32,42
2021년12월_남_90~99세,140,55,13,16,7,10,10,4,7,9,4,3,2
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"71,905","23,562","1,032","1,535","2,414","1,354","1,382",874,"1,734","26,620","5,520","5,112",766
2021년12월_여_연령구간인구수,"71,905","23,562","1,032","1,535","2,414","1,354","1,382",874,"1,734","26,620","5,520","5,112",766
2021년12월_여_0~9세,"6,219","2,039",18,33,127,29,38,19,269,"2,833",401,386,27
2021년12월_여_10~19세,"7,523","2,400",52,67,131,38,39,43,98,"3,483",544,576,52
2021년12월_여_20~29세,"8,051","2,652",65,98,251,64,74,34,161,"3,347",608,639,58
2021년12월_여_30~39세,"8,344","2,726",59,71,212,71,57,44,377,"3,672",522,498,35
2021년12월_여_40~49세,"11,109","3,662",83,120,274,77,84,54,184,"5,007",817,691,56
2021년12월_여_50~59세,"13,466","4,029",185,266,523,213,178,138,176,"5,108","1,233","1,269",148
2021년12월_여_60~69세,"8,673","3,034",202,294,382,269,312,202,169,"1,994",854,806,155
2021년12월_여_70~79세,"4,536","1,641",174,274,268,282,306,173,137,700,313,152,116
2021년12월_여_80~89세,"3,257","1,127",154,255,203,250,227,141,128,401,189,81,101
2021년12월_여_90~99세,709,249,40,55,43,59,65,23,33,72,38,14,18
2021년12월_여_100세 이상,18,3,0,2,0,2,2,3,2,3,1,0,0
