,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021년07월_계_총인구수,"147,855","45,212","8,664","4,594","7,578","12,370","2,152","4,767","9,380","6,260","8,158","2,745","2,718","18,741","14,516"
2021년07월_계_연령구간인구수,"147,855","45,212","8,664","4,594","7,578","12,370","2,152","4,767","9,380","6,260","8,158","2,745","2,718","18,741","14,516"
2021년07월_계_0~9세,"8,230","2,888",577,104,198,605,42,168,457,518,592,51,185,"1,178",667
2021년07월_계_10~19세,"11,876","4,894",557,184,384,917,66,226,681,353,434,141,147,"1,775","1,117"
2021년07월_계_20~29세,"17,980","6,009",940,438,761,"1,447",184,412,947,851,957,229,305,"2,503","1,997"
2021년07월_계_30~39세,"14,594","4,476","1,110",342,626,"1,181",130,278,849,900,950,119,337,"1,927","1,369"
2021년07월_계_40~49세,"19,950","7,179","1,116",513,812,"1,611",190,485,"1,183",624,832,240,269,"2,704","2,192"
2021년07월_계_50~59세,"29,023","9,183","1,592","1,117","1,823","2,438",373,962,"1,532",866,"1,234",519,446,"3,630","3,308"
2021년07월_계_60~69세,"26,133","6,446","1,583","1,087","1,752","2,436",598,"1,156","1,926","1,086","1,535",684,547,"2,920","2,377"
2021년07월_계_70~79세,"12,326","2,592",717,496,704,"1,063",340,661,"1,072",680,958,472,279,"1,355",937
2021년07월_계_80~89세,"6,734","1,349",406,276,444,570,207,366,617,344,572,262,176,656,489
2021년07월_계_90~99세,972,189,66,36,72,96,21,51,112,37,92,27,26,89,58
2021년07월_계_100세 이상,37,7,0,1,2,6,1,2,4,1,2,1,1,4,5
2021년07월_남_총인구수,"78,351","23,061","4,657","2,648","4,448","6,811","1,205","2,583","4,888","3,428","4,405","1,435","1,438","9,490","7,854"
2021년07월_남_연령구간인구수,"78,351","23,061","4,657","2,648","4,448","6,811","1,205","2,583","4,888","3,428","4,405","1,435","1,438","9,490","7,854"
2021년07월_남_0~9세,"4,222","1,473",287,62,95,323,28,88,234,257,310,22,89,588,366
2021년07월_남_10~19세,"6,236","2,551",284,101,200,509,39,117,366,172,220,67,67,952,591
2021년07월_남_20~29세,"10,425","3,230",553,273,449,870,126,248,590,598,661,145,176,"1,367","1,139"
2021년07월_남_30~39세,"8,176","2,297",622,214,396,697,89,164,500,543,579,83,190,"1,043",759
2021년07월_남_40~49세,"10,734","3,585",619,318,537,874,111,305,677,367,481,146,159,"1,339","1,216"
2021년07월_남_50~59세,"15,975","4,849",885,663,"1,141","1,435",224,568,814,460,695,275,244,"1,863","1,859"
2021년07월_남_60~69세,"14,124","3,367",885,651,"1,066","1,353",332,639,972,578,798,363,309,"1,503","1,308"
2021년07월_남_70~79세,"5,753","1,191",363,240,366,504,161,303,500,321,416,224,139,585,440
2021년07월_남_80~89세,"2,452",480,146,117,182,217,87,130,204,122,219,103,58,227,160
2021년07월_남_90~99세,240,35,13,8,15,28,8,20,30,9,24,6,7,22,15
2021년07월_남_100세 이상,14,3,0,1,1,1,0,1,1,1,2,1,0,1,1
2021년07월_여_총인구수,"69,504","22,151","4,007","1,946","3,130","5,559",947,"2,184","4,492","2,832","3,753","1,310","1,280","9,251","6,662"
2021년07월_여_연령구간인구수,"69,504","22,151","4,007","1,946","3,130","5,559",947,"2,184","4,492","2,832","3,753","1,310","1,280","9,251","6,662"
2021년07월_여_0~9세,"4,008","1,415",290,42,103,282,14,80,223,261,282,29,96,590,301
2021년07월_여_10~19세,"5,640","2,343",273,83,184,408,27,109,315,181,214,74,80,823,526
2021년07월_여_20~29세,"7,555","2,779",387,165,312,577,58,164,357,253,296,84,129,"1,136",858
2021년07월_여_30~39세,"6,418","2,179",488,128,230,484,41,114,349,357,371,36,147,884,610
2021년07월_여_40~49세,"9,216","3,594",497,195,275,737,79,180,506,257,351,94,110,"1,365",976
2021년07월_여_50~59세,"13,048","4,334",707,454,682,"1,003",149,394,718,406,539,244,202,"1,767","1,449"
2021년07월_여_60~69세,"12,009","3,079",698,436,686,"1,083",266,517,954,508,737,321,238,"1,417","1,069"
2021년07월_여_70~79세,"6,573","1,401",354,256,338,559,179,358,572,359,542,248,140,770,497
2021년07월_여_80~89세,"4,282",869,260,159,262,353,120,236,413,222,353,159,118,429,329
2021년07월_여_90~99세,732,154,53,28,57,68,13,31,82,28,68,21,19,67,43
2021년07월_여_100세 이상,23,4,0,0,1,5,1,1,3,0,0,0,1,3,4
