,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년10월_계_총인구수,"372,905","25,550","38,506","21,806","21,805","14,378","12,075","23,263","24,814","25,175","18,314","20,854","19,085","15,672","19,475","40,575","31,558"
2020년10월_계_연령구간인구수,"372,905","25,550","38,506","21,806","21,805","14,378","12,075","23,263","24,814","25,175","18,314","20,854","19,085","15,672","19,475","40,575","31,558"
2020년10월_계_0~9세,"25,247","2,788","2,280","1,508","2,268",669,914,"1,707","1,904",851,"1,161","1,097","1,214",641,"1,010","2,598","2,637"
2020년10월_계_10~19세,"28,544","1,650","2,385","1,622","2,005",910,"1,152","1,917","1,751","1,232",961,"1,325","1,590",830,"1,498","3,514","4,202"
2020년10월_계_20~29세,"62,029","3,152","6,543","3,017","2,274","3,346","1,800","3,540","4,666","6,158","3,586","3,499","2,935","3,223","3,181","6,800","4,309"
2020년10월_계_30~39세,"64,802","5,153","6,548","3,674","3,757","2,360","1,882","3,803","4,200","5,337","3,778","3,936","2,959","3,135","3,416","6,798","4,066"
2020년10월_계_40~49세,"61,205","4,201","5,649","3,210","4,409","2,105","2,139","3,911","4,030","3,725","2,667","3,268","3,295","2,366","3,360","6,620","6,250"
2020년10월_계_50~59세,"54,332","3,853","6,519","3,521","2,932","2,046","1,779","3,564","3,663","3,122","2,379","2,973","2,812","2,030","2,867","5,792","4,480"
2020년10월_계_60~69세,"39,313","2,718","4,442","2,662","2,150","1,474","1,146","2,471","2,411","2,286","1,919","2,401","2,170","1,713","2,182","4,204","2,964"
2020년10월_계_70~79세,"24,400","1,213","2,649","1,574","1,282",911,816,"1,558","1,411","1,556","1,226","1,626","1,470","1,114","1,344","2,901","1,749"
2020년10월_계_80~89세,"11,017",657,"1,283",844,632,447,386,660,665,745,532,635,550,513,545,"1,147",776
2020년10월_계_90~99세,"1,678",113,169,147,85,85,49,112,97,136,86,87,72,88,58,186,108
2020년10월_계_100세 이상,338,52,39,27,11,25,12,20,16,27,19,7,18,19,14,15,17
2020년10월_남_총인구수,"175,699","11,957","18,178","10,433","10,286","6,951","5,811","11,322","11,828","11,496","8,519","9,797","9,003","7,379","9,165","18,483","15,091"
2020년10월_남_연령구간인구수,"175,699","11,957","18,178","10,433","10,286","6,951","5,811","11,322","11,828","11,496","8,519","9,797","9,003","7,379","9,165","18,483","15,091"
2020년10월_남_0~9세,"12,784","1,334","1,193",810,"1,087",353,456,877,976,424,610,563,620,306,485,"1,301","1,389"
2020년10월_남_10~19세,"14,420",782,"1,179",861,983,477,575,"1,040",883,596,458,647,771,452,757,"1,842","2,117"
2020년10월_남_20~29세,"28,051","1,396","2,872","1,442","1,063","1,513",869,"1,797","2,237","2,611","1,596","1,615","1,374","1,489","1,492","2,730","1,955"
2020년10월_남_30~39세,"30,665","2,393","3,191","1,772","1,729","1,203",910,"1,842","1,972","2,473","1,799","1,880","1,388","1,513","1,651","3,096","1,853"
2020년10월_남_40~49세,"29,770","2,105","2,792","1,539","2,137","1,055","1,081","1,831","1,943","1,817","1,291","1,587","1,621","1,180","1,592","3,186","3,013"
2020년10월_남_50~59세,"26,688","1,854","3,203","1,695","1,448","1,071",891,"1,791","1,756","1,515","1,126","1,470","1,395",964,"1,368","2,825","2,316"
2020년10월_남_60~69세,"18,214","1,293","2,137","1,256","1,031",702,539,"1,194","1,163","1,014",870,"1,078",948,773,990,"1,884","1,342"
2020년10월_남_70~79세,"10,307",494,"1,110",704,543,376,317,640,601,675,540,700,635,465,579,"1,155",773
2020년10월_남_80~89세,"4,243",262,447,313,239,175,156,265,269,322,199,229,221,197,228,418,303
2020년10월_남_90~99세,476,30,45,36,23,22,15,39,27,39,27,28,24,34,18,41,28
2020년10월_남_100세 이상,81,14,9,5,3,4,2,6,1,10,3,0,6,6,5,5,2
2020년10월_여_총인구수,"197,206","13,593","20,328","11,373","11,519","7,427","6,264","11,941","12,986","13,679","9,795","11,057","10,082","8,293","10,310","22,092","16,467"
