카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2020년03월_계_총인구수,"350,055","35,537","33,972","40,030","22,327","25,189","36,367","25,412","27,427","28,229","29,002","46,563"
2020년03월_계_연령구간인구수,"350,055","35,537","33,972","40,030","22,327","25,189","36,367","25,412","27,427","28,229","29,002","46,563"
2020년03월_계_0~9세,"36,198","3,443","1,560","3,624","2,401","2,612","5,005","3,043","2,734","2,723","3,316","5,737"
2020년03월_계_10~19세,"38,877","3,518","1,574","3,358","3,077","3,584","4,436","2,962","3,372","3,254","4,646","5,096"
2020년03월_계_20~29세,"52,084","4,537","8,004","8,078","2,870","3,226","3,682","3,899","4,317","4,293","3,645","5,533"
2020년03월_계_30~39세,"56,577","4,693","6,488","6,502","3,311","3,244","6,285","5,169","4,454","4,245","4,026","8,160"
2020년03월_계_40~49세,"60,786","6,019","4,336","5,643","4,375","4,956","7,104","4,110","4,523","4,900","6,127","8,693"
2020년03월_계_50~59세,"53,626","6,289","5,587","6,056","3,237","3,933","4,943","3,432","4,455","4,641","4,255","6,798"
2020년03월_계_60~69세,"31,588","4,115","3,751","4,279","1,724","1,980","3,098","1,759","2,294","2,306","2,007","4,275"
2020년03월_계_70~79세,"13,035","1,887","1,722","1,638",850,"1,050","1,225",630,711,"1,146",636,"1,540"
2020년03월_계_80~89세,"6,212",897,791,732,411,521,506,358,465,626,291,614
2020년03월_계_90~99세,"1,017",129,136,114,70,82,80,49,99,91,52,115
2020년03월_계_100세 이상,55,10,23,6,1,1,3,1,3,4,1,2
2020년03월_남_총인구수,"176,785","18,095","17,548","20,775","11,015","12,393","17,919","13,319","14,007","14,455","14,851","22,408"
2020년03월_남_연령구간인구수,"176,785","18,095","17,548","20,775","11,015","12,393","17,919","13,319","14,007","14,455","14,851","22,408"
2020년03월_남_0~9세,"18,672","1,750",796,"1,823","1,231","1,340","2,544","1,585","1,471","1,405","1,750","2,977"
2020년03월_남_10~19세,"20,214","1,873",814,"1,761","1,597","1,841","2,267","1,575","1,723","1,669","2,431","2,663"
2020년03월_남_20~29세,"27,943","2,518","4,106","4,738","1,455","1,651","1,943","2,155","2,356","2,372","1,939","2,710"
2020년03월_남_30~39세,"29,293","2,421","3,732","3,483","1,619","1,607","2,993","2,814","2,395","2,290","2,050","3,889"
2020년03월_남_40~49세,"29,948","3,102","2,316","2,835","2,061","2,326","3,496","2,064","2,153","2,490","2,932","4,173"
2020년03월_남_50~59세,"26,655","3,138","2,753","2,912","1,659","1,995","2,394","1,768","2,190","2,406","2,313","3,127"
2020년03월_남_60~69세,"15,822","2,092","1,939","2,163",828,968,"1,499",927,"1,231","1,158","1,050","1,967"
2020년03월_남_70~79세,"5,972",888,764,775,390,461,586,321,329,457,299,702
2020년03월_남_80~89세,"2,029",290,284,253,154,186,179,99,130,188,77,189
2020년03월_남_90~99세,224,20,41,31,20,17,17,11,27,19,10,11
2020년03월_남_100세 이상,13,3,3,1,1,1,1,0,2,1,0,0
2020년03월_여_총인구수,"173,270","17,442","16,424","19,255","11,312","12,796","18,448","12,093","13,420","13,774","14,151","24,155"
2020년03월_여_연령구간인구수,"173,270","17,442","16,424","19,255","11,312","12,796","18,448","12,093","13,420","13,774","14,151","24,155"
2020년03월_여_0~9세,"17,526","1,693",764,"1,801","1,170","1,272","2,461","1,458","1,263","1,318","1,566","2,760"
2020년03월_여_10~19세,"18,663","1,645",760,"1,597","1,480","1,743","2,169","1,387","1,649","1,585","2,215","2,433"
2020년03월_여_20~29세,"24,141","2,019","3,898","3,340","1,415","1,575","1,739","1,744","1,961","1,921","1,706","2,823"
2020년03월_여_30~39세,"27,284","2,272","2,756","3,019","1,692","1,637","3,292","2,355","2,059","1,955","1,976","4,271"
2020년03월_여_40~49세,"30,838","2,917","2,020","2,808","2,314","2,630","3,608","2,046","2,370","2,410","3,195","4,520"
2020년03월_여_50~59세,"26,971","3,151","2,834","3,144","1,578","1,938","2,549","1,664","2,265","2,235","1,942","3,671"
2020년03월_여_60~69세,"15,766","2,023","1,812","2,116",896,"1,012","1,599",832,"1,063","1,148",957,"2,308"
2020년03월_여_70~79세,"7,063",999,958,863,460,589,639,309,382,689,337,838
2020년03월_여_80~89세,"4,183",607,507,479,257,335,327,259,335,438,214,425
2020년03월_여_90~99세,793,109,95,83,50,65,63,38,72,72,42,104
2020년03월_여_100세 이상,42,7,20,5,0,0,2,1,1,3,1,2
