,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020년09월_계_총인구수,"344,416","31,137","25,079","30,238","19,277","29,158","29,509","38,680","33,050","20,738","10,403","13,632","24,418","18,507","20,590"
2020년09월_계_연령구간인구수,"344,416","31,137","25,079","30,238","19,277","29,158","29,509","38,680","33,050","20,738","10,403","13,632","24,418","18,507","20,590"
2020년09월_계_0~9세,"21,150","1,316","1,053","1,900","1,269","2,752","1,855","2,597","2,959",864,458,797,"1,283",732,"1,315"
2020년09월_계_10~19세,"24,157","1,457","1,423","1,970","1,762","2,011","2,038","2,641","2,847","1,170",731,791,"2,127","1,329","1,860"
2020년09월_계_20~29세,"56,360","6,071","4,438","4,660","2,384","4,029","3,960","5,281","3,891","2,467","3,125","3,187","5,315","4,697","2,855"
2020년09월_계_30~39세,"50,498","5,327","3,282","4,390","2,362","5,345","4,499","6,363","5,189","2,372","1,458","2,167","3,044","2,156","2,544"
2020년09월_계_40~49세,"51,161","4,269","3,170","4,382","3,080","4,703","4,346","6,422","5,788","2,687","1,334","1,726","3,545","2,465","3,244"
2020년09월_계_50~59세,"53,604","4,703","3,868","4,933","3,277","4,313","4,994","6,087","4,971","3,672","1,217","1,983","3,552","2,618","3,416"
2020년09월_계_60~69세,"46,053","4,080","3,904","4,195","2,703","3,216","4,197","5,338","4,251","3,837",973,"1,523","2,926","2,164","2,746"
2020년09월_계_70~79세,"28,198","2,606","2,621","2,533","1,620","1,877","2,500","2,860","2,270","2,467",706,978,"1,821","1,534","1,805"
2020년09월_계_80~89세,"11,328","1,124","1,139","1,087",736,778,978,913,757,"1,021",329,407,681,682,696
2020년09월_계_90~99세,"1,600",159,154,145,73,103,121,151,111,152,60,63,112,95,101
2020년09월_계_100세 이상,307,25,27,43,11,31,21,27,16,29,12,10,12,35,8
2020년09월_남_총인구수,"170,748","15,827","12,881","15,175","9,291","14,139","14,359","19,220","16,560","10,359","4,967","6,628","12,140","9,199","10,003"
2020년09월_남_연령구간인구수,"170,748","15,827","12,881","15,175","9,291","14,139","14,359","19,220","16,560","10,359","4,967","6,628","12,140","9,199","10,003"
2020년09월_남_0~9세,"10,845",676,554,976,644,"1,397",941,"1,321","1,546",440,243,414,672,358,663
2020년09월_남_10~19세,"12,215",767,730,"1,002",870,"1,031","1,009","1,350","1,519",607,340,395,992,673,930
2020년09월_남_20~29세,"28,133","2,935","2,432","2,364","1,210","1,884","1,975","2,507","2,028","1,312","1,476","1,420","2,857","2,355","1,378"
2020년09월_남_30~39세,"26,094","2,772","1,820","2,270","1,188","2,536","2,297","3,289","2,602","1,281",765,"1,133","1,632","1,225","1,284"
2020년09월_남_40~49세,"26,443","2,340","1,742","2,281","1,486","2,437","2,215","3,363","2,959","1,413",663,896,"1,756","1,261","1,631"
2020년09월_남_50~59세,"26,950","2,510","2,030","2,535","1,596","2,106","2,420","2,999","2,497","1,866",610,998,"1,736","1,347","1,700"
2020년09월_남_60~69세,"22,259","2,080","1,887","2,116","1,266","1,563","1,980","2,592","2,030","1,896",429,744,"1,370",999,"1,307"
2020년09월_남_70~79세,"12,762","1,224","1,188","1,139",685,856,"1,127","1,380","1,057","1,107",295,430,826,654,794
2020년09월_남_80~89세,"4,491",462,444,437,317,290,364,366,291,388,126,174,250,295,287
2020년09월_남_90~99세,463,54,47,41,24,28,21,45,26,45,18,18,44,25,27
2020년09월_남_100세 이상,93,7,7,14,5,11,10,8,5,4,2,6,5,7,2
2020년09월_여_총인구수,"173,668","15,310","12,198","15,063","9,986","15,019","15,150","19,460","16,490","10,379","5,436","7,004","12,278","9,308","10,587"
2020년09월_여_연령구간인구수,"173,668","15,310","12,198","15,063","9,986","15,019","15,150","19,460","16,490","10,379","5,436","7,004","12,278","9,308","10,587"
2020년09월_여_0~9세,"10,305",640,499,924,625,"1,355",914,"1,276","1,413",424,215,383,611,374,652
2020년09월_여_10~19세,"11,942",690,693,968,892,980,"1,029","1,291","1,328",563,391,396,"1,135",656,930
2020년09월_여_20~29세,"28,227","3,136","2,006","2,296","1,174","2,145","1,985","2,774","1,863","1,155","1,649","1,767","2,458","2,342","1,477"
2020년09월_여_30~39세,"24,404","2,555","1,462","2,120","1,174","2,809","2,202","3,074","2,587","1,091",693,"1,034","1,412",931,"1,260"
2020년09월_여_40~49세,"24,718","1,929","1,428","2,101","1,594","2,266","2,131","3,059","2,829","1,274",671,830,"1,789","1,204","1,613"
2020년09월_여_50~59세,"26,654","2,193","1,838","2,398","1,681","2,207","2,574","3,088","2,474","1,806",607,985,"1,816","1,271","1,716"
2020년09월_여_60~69세,"23,794","2,000","2,017","2,079","1,437","1,653","2,217","2,746","2,221","1,941",544,779,"1,556","1,165","1,439"
2020년09월_여_70~79세,"15,436","1,382","1,433","1,394",935,"1,021","1,373","1,480","1,213","1,360",411,548,995,880,"1,011"
2020년09월_여_80~89세,"6,837",662,695,650,419,488,614,547,466,633,203,233,431,387,409
2020년09월_여_90~99세,"1,137",105,107,104,49,75,100,106,85,107,42,45,68,70,74
2020년09월_여_100세 이상,214,18,20,29,6,20,11,19,11,25,10,4,7,28,6
