카테고리,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2021년07월_계_총인구수,"175,722","13,888","12,204","14,812","27,520","11,168","25,818","18,724","9,419","13,699","28,470"
2021년07월_계_연령구간인구수,"175,722","13,888","12,204","14,812","27,520","11,168","25,818","18,724","9,419","13,699","28,470"
2021년07월_계_0~9세,"10,118",705,860,579,"1,664",646,"1,184","1,062",265,913,"2,240"
2021년07월_계_10~19세,"11,554","1,172","1,167",659,"1,904",788,"1,546","1,245",392,917,"1,764"
2021년07월_계_20~29세,"23,998","1,823","1,301","1,789","3,008","1,194","5,113","2,876","1,858","1,745","3,291"
2021년07월_계_30~39세,"23,618","1,588","1,235","1,728","3,288","1,360","4,121","2,776","1,394","2,042","4,086"
2021년07월_계_40~49세,"25,164","2,003","1,942","1,885","3,771","1,660","3,485","2,833","1,157","2,113","4,315"
2021년07월_계_50~59세,"27,155","2,451","2,153","2,261","4,227","1,844","3,528","2,711","1,311","2,086","4,583"
2021년07월_계_60~69세,"29,021","2,151","1,956","2,989","5,193","2,000","3,676","2,677","1,610","2,057","4,712"
2021년07월_계_70~79세,"17,120","1,259","1,097","1,968","3,002","1,195","2,181","1,757","1,000","1,207","2,454"
2021년07월_계_80~89세,"7,033",630,412,848,"1,290",429,860,706,393,566,899
2021년07월_계_90~99세,906,104,73,101,172,51,118,73,38,51,125
2021년07월_계_100세 이상,35,2,8,5,1,1,6,8,1,2,1
2021년07월_남_총인구수,"83,010","6,406","5,677","7,109","13,150","5,512","12,035","8,694","4,481","6,219","13,727"
2021년07월_남_연령구간인구수,"83,010","6,406","5,677","7,109","13,150","5,512","12,035","8,694","4,481","6,219","13,727"
2021년07월_남_0~9세,"5,202",334,430,308,878,338,621,533,135,485,"1,140"
2021년07월_남_10~19세,"5,937",593,594,347,978,424,830,626,198,454,893
2021년07월_남_20~29세,"11,630",901,663,892,"1,567",669,"2,223","1,317",832,815,"1,751"
2021년07월_남_30~39세,"11,766",779,583,906,"1,627",731,"2,059","1,362",726,970,"2,023"
2021년07월_남_40~49세,"12,434",931,870,"1,018","1,888",856,"1,724","1,394",597,956,"2,200"
2021년07월_남_50~59세,"12,577","1,132",954,"1,080","1,946",895,"1,608","1,253",657,930,"2,122"
2021년07월_남_60~69세,"12,859",947,894,"1,310","2,310",896,"1,612","1,165",752,858,"2,115"
2021년07월_남_70~79세,"7,657",519,510,895,"1,397",518,996,739,427,531,"1,125"
2021년07월_남_80~89세,"2,701",235,166,330,504,179,324,280,147,208,328
2021년07월_남_90~99세,239,34,11,23,55,6,36,22,10,12,30
2021년07월_남_100세 이상,8,1,2,0,0,0,2,3,0,0,0
2021년07월_여_총인구수,"92,712","7,482","6,527","7,703","14,370","5,656","13,783","10,030","4,938","7,480","14,743"
2021년07월_여_연령구간인구수,"92,712","7,482","6,527","7,703","14,370","5,656","13,783","10,030","4,938","7,480","14,743"
2021년07월_여_0~9세,"4,916",371,430,271,786,308,563,529,130,428,"1,100"
2021년07월_여_10~19세,"5,617",579,573,312,926,364,716,619,194,463,871
2021년07월_여_20~29세,"12,368",922,638,897,"1,441",525,"2,890","1,559","1,026",930,"1,540"
2021년07월_여_30~39세,"11,852",809,652,822,"1,661",629,"2,062","1,414",668,"1,072","2,063"
2021년07월_여_40~49세,"12,730","1,072","1,072",867,"1,883",804,"1,761","1,439",560,"1,157","2,115"
2021년07월_여_50~59세,"14,578","1,319","1,199","1,181","2,281",949,"1,920","1,458",654,"1,156","2,461"
2021년07월_여_60~69세,"16,162","1,204","1,062","1,679","2,883","1,104","2,064","1,512",858,"1,199","2,597"
2021년07월_여_70~79세,"9,463",740,587,"1,073","1,605",677,"1,185","1,018",573,676,"1,329"
2021년07월_여_80~89세,"4,332",395,246,518,786,250,536,426,246,358,571
2021년07월_여_90~99세,667,70,62,78,117,45,82,51,28,39,95
2021년07월_여_100세 이상,27,1,6,5,1,1,4,5,1,2,1
