,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년07월_계_총인구수,"238,149","16,580","14,747","13,726","14,173","4,772","16,038","5,502","6,858","9,910","10,516","13,805","26,628","6,745","13,981","23,041","13,035","28,092"
2020년07월_계_연령구간인구수,"238,149","16,580","14,747","13,726","14,173","4,772","16,038","5,502","6,858","9,910","10,516","13,805","26,628","6,745","13,981","23,041","13,035","28,092"
2020년07월_계_0~9세,"15,860",937,"1,546",785,"1,000",181,761,183,319,553,671,"1,269","2,060",355,917,"2,022",673,"1,628"
2020년07월_계_10~19세,"22,479","1,070","2,455","1,294","1,119",299,"1,180",264,479,773,789,"1,671","3,189",370,"1,039","2,957","1,150","2,381"
2020년07월_계_20~29세,"31,290","2,880","1,617","1,698","2,421",502,"1,870",982,772,"1,826","1,507","1,530","3,108",875,"1,808","2,848","1,622","3,424"
2020년07월_계_30~39세,"26,920","2,490","1,619","1,418","1,987",475,"1,658",592,666,"1,274","1,302","1,650","2,542",896,"1,641","2,576","1,315","2,819"
2020년07월_계_40~49세,"37,544","2,562","3,263","2,205","2,167",608,"2,147",647,932,"1,467","1,524","2,508","4,526",976,"1,958","4,047","1,935","4,072"
2020년07월_계_50~59세,"40,150","2,765","2,057","2,464","2,052",865,"2,922",942,"1,307","1,514","1,727","2,211","4,469","1,224","2,271","3,539","2,439","5,382"
2020년07월_계_60~69세,"33,015","2,162","1,167","2,029","1,789",852,"2,879",887,"1,189","1,171","1,398","1,506","3,450","1,141","2,219","2,516","1,968","4,692"
2020년07월_계_70~79세,"20,503","1,133",681,"1,187","1,083",646,"1,864",640,763,872,961,"1,006","2,166",623,"1,423","1,696","1,229","2,530"
2020년07월_계_80~89세,"9,044",491,298,565,461,303,667,316,361,399,551,409,970,250,609,740,634,"1,020"
2020년07월_계_90~99세,"1,261",83,39,77,87,39,83,42,66,54,85,45,139,33,89,96,67,137
2020년07월_계_100세 이상,83,7,5,4,7,2,7,7,4,7,1,0,9,2,7,4,3,7
2020년07월_남_총인구수,"117,592","8,594","7,064","6,640","6,984","2,496","8,087","2,716","3,440","4,740","4,959","6,706","12,836","3,570","6,865","11,159","6,367","14,369"
2020년07월_남_연령구간인구수,"117,592","8,594","7,064","6,640","6,984","2,496","8,087","2,716","3,440","4,740","4,959","6,706","12,836","3,570","6,865","11,159","6,367","14,369"
2020년07월_남_0~9세,"8,119",454,775,382,539,98,393,110,183,271,338,678,"1,059",192,459,"1,040",333,815
2020년07월_남_10~19세,"11,565",550,"1,213",693,603,168,593,144,249,342,392,825,"1,623",217,550,"1,532",614,"1,257"
2020년07월_남_20~29세,"16,083","1,379",810,894,"1,108",277,"1,025",454,399,837,756,781,"1,664",492,917,"1,432",923,"1,935"
2020년07월_남_30~39세,"13,868","1,343",720,743,990,279,953,337,377,680,633,785,"1,219",494,870,"1,217",713,"1,515"
2020년07월_남_40~49세,"19,049","1,460","1,527","1,113","1,157",358,"1,153",356,505,748,723,"1,211","2,119",571,"1,001","1,908",961,"2,178"
2020년07월_남_50~59세,"20,242","1,545","1,098","1,205","1,051",503,"1,462",485,653,777,837,"1,112","2,171",639,"1,102","1,745","1,163","2,694"
2020년07월_남_60~69세,"15,699","1,126",511,907,859,422,"1,384",405,565,550,641,723,"1,560",573,"1,017","1,196",923,"2,337"
2020년07월_남_70~79세,"9,223",533,281,499,470,277,856,277,348,376,416,437,"1,013",285,677,754,509,"1,215"
2020년07월_남_80~89세,"3,416",177,120,184,182,104,250,134,143,143,205,146,368,100,247,312,215,386
2020년07월_남_90~99세,308,24,8,20,23,9,18,11,16,12,18,8,39,7,23,22,13,37
2020년07월_남_100세 이상,20,3,1,0,2,1,0,3,2,4,0,0,1,0,2,1,0,0
2020년07월_여_총인구수,"120,557","7,986","7,683","7,086","7,189","2,276","7,951","2,786","3,418","5,170","5,557","7,099","13,792","3,175","7,116","11,882","6,668","13,723"
2020년07월_여_연령구간인구수,"120,557","7,986","7,683","7,086","7,189","2,276","7,951","2,786","3,418","5,170","5,557","7,099","13,792","3,175","7,116","11,882","6,668","13,723"
2020년07월_여_0~9세,"7,741",483,771,403,461,83,368,73,136,282,333,591,"1,001",163,458,982,340,813
2020년07월_여_10~19세,"10,914",520,"1,242",601,516,131,587,120,230,431,397,846,"1,566",153,489,"1,425",536,"1,124"
2020년07월_여_20~29세,"15,207","1,501",807,804,"1,313",225,845,528,373,989,751,749,"1,444",383,891,"1,416",699,"1,489"
2020년07월_여_30~39세,"13,052","1,147",899,675,997,196,705,255,289,594,669,865,"1,323",402,771,"1,359",602,"1,304"
2020년07월_여_40~49세,"18,495","1,102","1,736","1,092","1,010",250,994,291,427,719,801,"1,297","2,407",405,957,"2,139",974,"1,894"
2020년07월_여_50~59세,"19,908","1,220",959,"1,259","1,001",362,"1,460",457,654,737,890,"1,099","2,298",585,"1,169","1,794","1,276","2,688"
2020년07월_여_60~69세,"17,316","1,036",656,"1,122",930,430,"1,495",482,624,621,757,783,"1,890",568,"1,202","1,320","1,045","2,355"
2020년07월_여_70~79세,"11,280",600,400,688,613,369,"1,008",363,415,496,545,569,"1,153",338,746,942,720,"1,315"
2020년07월_여_80~89세,"5,628",314,178,381,279,199,417,182,218,256,346,263,602,150,362,428,419,634
2020년07월_여_90~99세,953,59,31,57,64,30,65,31,50,42,67,37,100,26,66,74,54,100
2020년07월_여_100세 이상,63,4,4,4,5,1,7,4,2,3,1,0,8,2,5,3,3,7
