카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020년10월_계_총인구수,"258,642","48,523","4,659","13,913","51,042","38,612","29,715","25,402","23,543","7,990","3,696","11,547"
2020년10월_계_연령구간인구수,"258,642","48,523","4,659","13,913","51,042","38,612","29,715","25,402","23,543","7,990","3,696","11,547"
2020년10월_계_0~9세,"29,592","3,366",261,864,"6,070","6,342","5,384","2,682","2,525",417,113,"1,568"
2020년10월_계_10~19세,"23,861","4,629",179,"1,492","5,913","3,407","3,376","1,766","1,731",506,123,739
2020년10월_계_20~29세,"29,099","6,456",477,"1,924","5,779","4,012","2,467","2,712","3,205",674,293,"1,100"
2020년10월_계_30~39세,"41,778","5,318",585,"1,417","7,444","8,579","6,367","4,099","4,557",671,278,"2,463"
2020년10월_계_40~49세,"43,213","7,242",565,"2,627","9,556","6,948","5,870","3,633","3,643",968,329,"1,832"
2020년10월_계_50~59세,"40,836","9,829",938,"3,032","7,963","4,957","2,908","4,329","3,267","1,381",830,"1,402"
2020년10월_계_60~69세,"29,357","6,965",885,"1,523","5,054","2,901","2,122","3,662","2,565","1,640",835,"1,205"
2020년10월_계_70~79세,"13,897","3,237",482,656,"2,310","1,072",809,"1,725","1,353","1,014",515,724
2020년10월_계_80~89세,"6,197","1,293",254,336,845,351,360,716,624,609,344,465
2020년10월_계_90~99세,783,178,32,38,108,41,50,78,70,106,34,48
2020년10월_계_100세 이상,29,10,1,4,0,2,2,0,3,4,2,1
2020년10월_남_총인구수,"131,388","24,213","2,532","7,356","25,242","19,742","15,067","12,851","12,294","3,974","1,997","6,120"
2020년10월_남_연령구간인구수,"131,388","24,213","2,532","7,356","25,242","19,742","15,067","12,851","12,294","3,974","1,997","6,120"
2020년10월_남_0~9세,"15,070","1,757",133,421,"3,037","3,229","2,776","1,386","1,277",213,52,789
2020년10월_남_10~19세,"12,485","2,394",89,784,"3,095","1,786","1,749",940,915,272,64,397
2020년10월_남_20~29세,"16,022","3,568",281,"1,166","3,065","2,127","1,322","1,476","1,822",385,181,629
2020년10월_남_30~39세,"21,769","2,802",349,756,"3,658","4,392","3,165","2,138","2,603",343,165,"1,398"
2020년10월_남_40~49세,"22,554","3,488",354,"1,405","4,742","3,744","3,075","1,934","2,006",509,207,"1,090"
2020년10월_남_50~59세,"20,337","4,754",518,"1,651","3,802","2,421","1,447","2,120","1,639",738,489,758
2020년10월_남_60~69세,"14,611","3,470",503,808,"2,411","1,449","1,022","1,807","1,268",794,486,593
2020년10월_남_70~79세,"6,348","1,451",214,263,"1,102",494,392,801,568,496,245,322
2020년10월_남_80~89세,"2,018",478,86,98,306,96,101,232,182,199,102,138
2020년10월_남_90~99세,165,46,5,4,24,4,17,17,13,24,5,6
2020년10월_남_100세 이상,9,5,0,0,0,0,1,0,1,1,1,0
2020년10월_여_총인구수,"127,254","24,310","2,127","6,557","25,800","18,870","14,648","12,551","11,249","4,016","1,699","5,427"
2020년10월_여_연령구간인구수,"127,254","24,310","2,127","6,557","25,800","18,870","14,648","12,551","11,249","4,016","1,699","5,427"
2020년10월_여_0~9세,"14,522","1,609",128,443,"3,033","3,113","2,608","1,296","1,248",204,61,779
2020년10월_여_10~19세,"11,376","2,235",90,708,"2,818","1,621","1,627",826,816,234,59,342
2020년10월_여_20~29세,"13,077","2,888",196,758,"2,714","1,885","1,145","1,236","1,383",289,112,471
2020년10월_여_30~39세,"20,009","2,516",236,661,"3,786","4,187","3,202","1,961","1,954",328,113,"1,065"
2020년10월_여_40~49세,"20,659","3,754",211,"1,222","4,814","3,204","2,795","1,699","1,637",459,122,742
2020년10월_여_50~59세,"20,499","5,075",420,"1,381","4,161","2,536","1,461","2,209","1,628",643,341,644
2020년10월_여_60~69세,"14,746","3,495",382,715,"2,643","1,452","1,100","1,855","1,297",846,349,612
2020년10월_여_70~79세,"7,549","1,786",268,393,"1,208",578,417,924,785,518,270,402
2020년10월_여_80~89세,"4,179",815,168,238,539,255,259,484,442,410,242,327
2020년10월_여_90~99세,618,132,27,34,84,37,33,61,57,82,29,42
2020년10월_여_100세 이상,20,5,1,4,0,2,1,0,2,3,1,1
