카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년08월_계_총인구수,"81,062","3,864","2,620","1,160","2,070","1,855","2,339","1,643","1,674","1,544",955,"1,556","1,903","2,295","1,919","2,124","2,736","3,577","3,437","6,223","6,821","4,193","7,325","17,229"
2020년08월_계_연령구간인구수,"81,062","3,864","2,620","1,160","2,070","1,855","2,339","1,643","1,674","1,544",955,"1,556","1,903","2,295","1,919","2,124","2,736","3,577","3,437","6,223","6,821","4,193","7,325","17,229"
2020년08월_계_0~9세,"5,159",159,97,48,66,71,83,53,66,57,26,70,70,98,95,91,122,192,182,598,597,235,432,"1,651"
2020년08월_계_10~19세,"7,416",201,168,52,120,98,123,75,97,60,35,75,93,164,118,186,203,370,258,619,793,332,658,"2,518"
2020년08월_계_20~29세,"7,623",284,225,78,147,122,124,76,99,119,60,101,129,178,114,143,169,380,371,696,630,477,801,"2,100"
2020년08월_계_30~39세,"6,566",220,147,61,128,80,120,70,97,79,62,64,100,135,104,100,148,290,276,728,678,405,632,"1,842"
2020년08월_계_40~49세,"10,912",359,303,114,178,170,242,143,148,120,62,151,175,225,171,272,306,480,481,953,"1,106",532,"1,024","3,197"
2020년08월_계_50~59세,"13,776",696,489,180,381,305,353,244,305,274,165,242,335,423,319,490,538,626,547,992,"1,039",690,"1,341","2,802"
2020년08월_계_60~69세,"12,772",784,519,227,396,368,487,350,351,274,214,262,359,412,390,348,583,542,586,783,956,690,"1,145","1,746"
2020년08월_계_70~79세,"9,797",627,401,194,335,342,454,310,263,297,186,305,344,332,344,284,413,452,477,565,675,530,785,882
2020년08월_계_80~89세,"6,056",454,225,172,272,256,308,272,207,233,128,249,262,278,221,190,216,221,221,258,298,255,439,421
2020년08월_계_90~99세,943,77,42,34,45,42,44,48,40,29,17,33,33,48,40,19,36,24,37,29,47,45,66,68
2020년08월_계_100세 이상,42,3,4,0,2,1,1,2,1,2,0,4,3,2,3,1,2,0,1,2,2,2,2,2
2020년08월_남_총인구수,"39,728","1,843","1,323",572,"1,021",916,"1,114",784,837,788,479,780,951,"1,137",942,"1,035","1,347","1,698","1,623","3,010","3,292","2,038","3,714","8,484"
2020년08월_남_연령구간인구수,"39,728","1,843","1,323",572,"1,021",916,"1,114",784,837,788,479,780,951,"1,137",942,"1,035","1,347","1,698","1,623","3,010","3,292","2,038","3,714","8,484"
2020년08월_남_0~9세,"2,740",84,56,23,31,40,34,33,37,34,20,34,39,55,57,47,64,104,93,316,306,126,222,885
2020년08월_남_10~19세,"3,836",97,72,30,62,57,66,38,50,35,18,38,55,90,62,92,117,186,120,297,386,193,341,"1,334"
2020년08월_남_20~29세,"4,250",146,141,42,85,78,73,39,57,70,35,53,78,97,63,79,110,212,206,383,368,270,440,"1,125"
2020년08월_남_30~39세,"3,334",119,73,34,74,47,68,40,56,37,35,36,54,73,63,57,67,146,141,366,311,221,335,881
2020년08월_남_40~49세,"5,602",196,168,76,104,106,154,93,92,73,40,102,107,121,104,130,166,226,244,454,564,266,528,"1,488"
2020년08월_남_50~59세,"7,303",369,270,96,211,182,192,137,173,174,96,143,197,239,180,275,284,310,279,509,525,326,739,"1,397"
2020년08월_남_60~69세,"6,381",416,269,121,224,189,247,181,189,141,111,129,185,230,197,184,284,239,255,373,458,326,581,852
2020년08월_남_70~79세,"4,100",248,186,90,136,123,175,128,116,133,78,147,153,133,140,115,169,188,199,224,263,218,364,374
2020년08월_남_80~89세,"1,948",156,73,51,85,84,96,83,59,81,40,87,75,87,64,54,79,78,73,81,99,81,145,137
2020년08월_남_90~99세,223,11,15,9,9,10,9,11,7,10,6,8,7,12,11,2,7,9,13,6,11,10,19,11
2020년08월_남_100세 이상,11,1,0,0,0,0,0,1,1,0,0,3,1,0,1,0,0,0,0,1,1,1,0,0
2020년08월_여_총인구수,"41,334","2,021","1,297",588,"1,049",939,"1,225",859,837,756,476,776,952,"1,158",977,"1,089","1,389","1,879","1,814","3,213","3,529","2,155","3,611","8,745"
2020년08월_여_연령구간인구수,"41,334","2,021","1,297",588,"1,049",939,"1,225",859,837,756,476,776,952,"1,158",977,"1,089","1,389","1,879","1,814","3,213","3,529","2,155","3,611","8,745"
2020년08월_여_0~9세,"2,419",75,41,25,35,31,49,20,29,23,6,36,31,43,38,44,58,88,89,282,291,109,210,766
2020년08월_여_10~19세,"3,580",104,96,22,58,41,57,37,47,25,17,37,38,74,56,94,86,184,138,322,407,139,317,"1,184"
2020년08월_여_20~29세,"3,373",138,84,36,62,44,51,37,42,49,25,48,51,81,51,64,59,168,165,313,262,207,361,975
2020년08월_여_30~39세,"3,232",101,74,27,54,33,52,30,41,42,27,28,46,62,41,43,81,144,135,362,367,184,297,961
2020년08월_여_40~49세,"5,310",163,135,38,74,64,88,50,56,47,22,49,68,104,67,142,140,254,237,499,542,266,496,"1,709"
2020년08월_여_50~59세,"6,473",327,219,84,170,123,161,107,132,100,69,99,138,184,139,215,254,316,268,483,514,364,602,"1,405"
2020년08월_여_60~69세,"6,391",368,250,106,172,179,240,169,162,133,103,133,174,182,193,164,299,303,331,410,498,364,564,894
