,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년09월_계_총인구수,"404,726","10,935","6,592","15,379","4,598","32,882","29,026","10,949","15,793","7,438","27,411","43,425","18,500","31,066","77,530","25,787","2,126","1,883","4,085","2,199","2,030","35,092"
2021년09월_계_연령구간인구수,"404,726","10,935","6,592","15,379","4,598","32,882","29,026","10,949","15,793","7,438","27,411","43,425","18,500","31,066","77,530","25,787","2,126","1,883","4,085","2,199","2,030","35,092"
2021년09월_계_0~9세,"38,052",652,315,"1,380",298,"3,796","2,331",671,"1,028",681,"1,964","3,674","2,002","2,732","9,567","3,118",53,43,130,47,31,"3,539"
2021년09월_계_10~19세,"51,475","1,096",362,"1,582",393,"3,695","2,147","1,084","1,920",779,"3,397","5,488","2,794","3,810","13,626","3,403",113,68,139,117,94,"5,368"
2021년09월_계_20~29세,"58,845","1,714","1,031","2,135",583,"4,019","4,355","1,857","2,440",870,"5,027","7,915","2,629","4,661","9,682","3,420",156,165,416,163,147,"5,460"
2021년09월_계_30~39세,"53,338","1,175",879,"2,077",537,"5,315","4,608","1,234","1,728",895,"3,413","5,761","2,294","3,885","9,850","3,833",115,140,462,142,124,"4,871"
2021년09월_계_40~49세,"75,297","1,798",820,"2,641",691,"6,113","4,233","1,571","2,695","1,407","4,248","7,834","3,821","5,690","17,840","5,244",179,170,488,201,213,"7,400"
2021년09월_계_50~59세,"65,745","1,852","1,108","2,466",788,"4,636","5,106","2,182","3,052","1,406","5,524","7,792","2,905","5,598","10,417","3,739",384,307,648,364,314,"5,157"
2021년09월_계_60~69세,"35,443","1,364",933,"1,598",640,"3,182","3,650","1,475","1,799",743,"2,511","3,066","1,186","2,627","4,126","2,051",470,413,821,471,391,"1,926"
2021년09월_계_70~79세,"17,224",897,783,"1,021",459,"1,386","1,608",575,777,403,834,"1,178",614,"1,374","1,741",660,336,358,571,360,354,935
2021년09월_계_80~89세,"8,062",338,312,419,177,646,852,259,316,226,413,631,220,619,579,268,262,189,345,293,312,386
2021년09월_계_90~99세,"1,193",46,43,58,29,89,136,41,36,28,78,83,34,66,100,49,57,27,62,39,48,44
2021년09월_계_100세 이상,52,3,6,2,3,5,0,0,2,0,2,3,1,4,2,2,1,3,3,2,2,6
2021년09월_남_총인구수,"203,928","5,542","3,288","7,766","2,335","16,800","14,751","5,548","7,971","3,937","13,597","21,883","9,413","15,211","38,219","13,279","1,101",963,"2,280","1,143","1,012","17,889"
2021년09월_남_연령구간인구수,"203,928","5,542","3,288","7,766","2,335","16,800","14,751","5,548","7,971","3,937","13,597","21,883","9,413","15,211","38,219","13,279","1,101",963,"2,280","1,143","1,012","17,889"
