,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2021년07월_계_총인구수,"2,395,749","74,433","340,426","167,270","144,889","437,083","420,048","550,640","260,960"
2021년07월_계_연령구간인구수,"2,395,749","74,433","340,426","167,270","144,889","437,083","420,048","550,640","260,960"
2021년07월_계_0~9세,"171,893","4,823","24,264","7,119","6,614","32,656","29,273","38,113","29,031"
2021년07월_계_10~19세,"220,577","4,943","26,264","10,411","9,164","42,252","49,824","53,555","24,164"
2021년07월_계_20~29세,"315,051","11,474","41,086","20,762","20,225","61,610","54,058","77,175","28,661"
2021년07월_계_30~39세,"287,590","10,436","43,088","16,975","16,954","52,822","42,282","64,137","40,896"
2021년07월_계_40~49세,"376,422","10,460","50,848","22,020","19,790","70,923","71,232","87,015","44,134"
2021년07월_계_50~59세,"419,517","10,972","56,321","32,923","24,477","77,620","74,569","101,919","40,716"
2021년07월_계_60~69세,"337,985","10,192","53,036","31,961","24,335","56,412","53,590","76,750","31,709"
2021년07월_계_70~79세,"175,933","7,129","30,328","17,163","14,885","28,541","28,851","34,765","14,271"
2021년07월_계_80~89세,"80,677","3,458","13,609","7,170","7,461","12,731","14,388","15,327","6,533"
2021년07월_계_90~99세,"9,732",474,"1,532",734,963,"1,463","1,915","1,825",826
2021년07월_계_100세 이상,372,72,50,32,21,53,66,59,19
2021년07월_남_총인구수,"1,181,351","35,757","167,503","83,659","69,663","217,540","203,235","271,525","132,469"
2021년07월_남_연령구간인구수,"1,181,351","35,757","167,503","83,659","69,663","217,540","203,235","271,525","132,469"
2021년07월_남_0~9세,"88,038","2,477","12,376","3,667","3,415","16,711","15,106","19,513","14,773"
2021년07월_남_10~19세,"115,120","2,533","13,762","5,393","4,831","21,963","26,261","27,787","12,590"
2021년07월_남_20~29세,"167,871","5,471","21,861","11,401","10,052","33,268","28,955","41,070","15,793"
2021년07월_남_30~39세,"150,289","5,420","22,849","9,623","8,952","27,778","20,713","33,562","21,392"
2021년07월_남_40~49세,"185,857","5,288","26,096","11,841","10,041","34,826","32,505","42,248","23,012"
2021년07월_남_50~59세,"205,641","5,454","27,483","16,641","11,968","38,568","36,038","49,184","20,305"
2021년07월_남_60~69세,"160,779","4,708","24,599","14,964","11,177","27,348","25,304","36,985","15,694"
2021년07월_남_70~79세,"77,101","3,008","13,256","7,513","6,325","12,315","12,552","15,511","6,621"
2021년07월_남_80~89세,"28,508","1,266","4,882","2,494","2,693","4,460","5,330","5,256","2,127"
2021년07월_남_90~99세,"2,078",118,327,118,206,295,455,400,159
2021년07월_남_100세 이상,69,14,12,4,3,8,16,9,3
2021년07월_여_총인구수,"1,214,398","38,676","172,923","83,611","75,226","219,543","216,813","279,115","128,491"
2021년07월_여_연령구간인구수,"1,214,398","38,676","172,923","83,611","75,226","219,543","216,813","279,115","128,491"
2021년07월_여_0~9세,"83,855","2,346","11,888","3,452","3,199","15,945","14,167","18,600","14,258"
2021년07월_여_10~19세,"105,457","2,410","12,502","5,018","4,333","20,289","23,563","25,768","11,574"
2021년07월_여_20~29세,"147,180","6,003","19,225","9,361","10,173","28,342","25,103","36,105","12,868"
2021년07월_여_30~39세,"137,301","5,016","20,239","7,352","8,002","25,044","21,569","30,575","19,504"
2021년07월_여_40~49세,"190,565","5,172","24,752","10,179","9,749","36,097","38,727","44,767","21,122"
2021년07월_여_50~59세,"213,876","5,518","28,838","16,282","12,509","39,052","38,531","52,735","20,411"
2021년07월_여_60~69세,"177,206","5,484","28,437","16,997","13,158","29,064","28,286","39,765","16,015"
2021년07월_여_70~79세,"98,832","4,121","17,072","9,650","8,560","16,226","16,299","19,254","7,650"
2021년07월_여_80~89세,"52,169","2,192","8,727","4,676","4,768","8,271","9,058","10,071","4,406"
2021년07월_여_90~99세,"7,654",356,"1,205",616,757,"1,168","1,460","1,425",667
2021년07월_여_100세 이상,303,58,38,28,18,45,50,50,16
