,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020년09월_계_총인구수,"232,157","22,618","42,303","19,101","24,602","15,671","33,893","22,065","11,210","20,936","19,758"
2020년09월_계_연령구간인구수,"232,157","22,618","42,303","19,101","24,602","15,671","33,893","22,065","11,210","20,936","19,758"
2020년09월_계_0~9세,"12,889",719,"3,295",915,"1,040",671,"1,934","1,619",570,"1,156",970
2020년09월_계_10~19세,"14,894",717,"2,325","1,255","1,392",986,"2,342","2,145",733,"1,529","1,470"
2020년09월_계_20~29세,"37,077","6,288","7,404","2,828","3,867","2,331","5,032","2,543","1,462","2,772","2,550"
2020년09월_계_30~39세,"35,492","5,322","8,497","2,511","3,523","1,988","4,805","2,517","1,439","2,609","2,281"
2020년09월_계_40~49세,"33,264","2,732","6,245","2,648","3,325","2,183","5,071","3,534","1,582","3,038","2,906"
2020년09월_계_50~59세,"40,527","2,950","6,208","3,863","4,871","3,255","5,974","3,810","2,039","3,949","3,608"
2020년09월_계_60~69세,"32,664","2,301","4,744","2,988","3,813","2,479","4,780","3,228","1,911","3,351","3,069"
2020년09월_계_70~79세,"17,983","1,162","2,547","1,533","1,946","1,303","2,809","1,833","1,065","1,824","1,961"
2020년09월_계_80~89세,"6,355",367,925,474,698,406,974,694,360,618,839
2020년09월_계_90~99세,835,51,96,70,104,53,150,105,45,74,87
2020년09월_계_100세 이상,177,9,17,16,23,16,22,37,4,16,17
2020년09월_남_총인구수,"117,489","12,356","21,797","9,681","12,388","7,895","16,927","10,668","5,588","10,376","9,813"
2020년09월_남_연령구간인구수,"117,489","12,356","21,797","9,681","12,388","7,895","16,927","10,668","5,588","10,376","9,813"
2020년09월_남_0~9세,"6,593",345,"1,711",452,560,358,988,816,288,580,495
2020년09월_남_10~19세,"7,529",357,"1,145",672,693,484,"1,254","1,046",364,776,738
2020년09월_남_20~29세,"18,729","2,924","3,708","1,495","1,939","1,178","2,575","1,325",774,"1,456","1,355"
2020년09월_남_30~39세,"19,656","3,296","4,739","1,357","1,955","1,100","2,575","1,236",786,"1,390","1,222"
2020년09월_남_40~49세,"17,424","1,693","3,408","1,339","1,737","1,089","2,588","1,740",824,"1,513","1,493"
2020년09월_남_50~59세,"20,356","1,733","3,135","1,952","2,422","1,656","2,933","1,791",978,"1,906","1,850"
2020년09월_남_60~69세,"16,036","1,252","2,387","1,470","1,856","1,229","2,298","1,568",907,"1,624","1,445"
2020년09월_남_70~79세,"8,384",587,"1,150",740,917,614,"1,299",832,513,857,875
2020년09월_남_80~89세,"2,515",157,389,180,277,170,365,273,148,245,311
2020년09월_남_90~99세,209,9,22,19,26,13,46,21,6,23,24
2020년09월_남_100세 이상,58,3,3,5,6,4,6,20,0,6,5
2020년09월_여_총인구수,"114,668","10,262","20,506","9,420","12,214","7,776","16,966","11,397","5,622","10,560","9,945"
2020년09월_여_연령구간인구수,"114,668","10,262","20,506","9,420","12,214","7,776","16,966","11,397","5,622","10,560","9,945"
2020년09월_여_0~9세,"6,296",374,"1,584",463,480,313,946,803,282,576,475
2020년09월_여_10~19세,"7,365",360,"1,180",583,699,502,"1,088","1,099",369,753,732
2020년09월_여_20~29세,"18,348","3,364","3,696","1,333","1,928","1,153","2,457","1,218",688,"1,316","1,195"
2020년09월_여_30~39세,"15,836","2,026","3,758","1,154","1,568",888,"2,230","1,281",653,"1,219","1,059"
2020년09월_여_40~49세,"15,840","1,039","2,837","1,309","1,588","1,094","2,483","1,794",758,"1,525","1,413"
2020년09월_여_50~59세,"20,171","1,217","3,073","1,911","2,449","1,599","3,041","2,019","1,061","2,043","1,758"
2020년09월_여_60~69세,"16,628","1,049","2,357","1,518","1,957","1,250","2,482","1,660","1,004","1,727","1,624"
2020년09월_여_70~79세,"9,599",575,"1,397",793,"1,029",689,"1,510","1,001",552,967,"1,086"
2020년09월_여_80~89세,"3,840",210,536,294,421,236,609,421,212,373,528
2020년09월_여_90~99세,626,42,74,51,78,40,104,84,39,51,63
2020년09월_여_100세 이상,119,6,14,11,17,12,16,17,4,10,12
