,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년09월_계_총인구수,"407,138","11,274","6,682","15,848","4,765","33,082","27,399","11,523","16,352","7,357","27,710","43,921","20,029","31,837","78,191","23,334","2,166","1,925","4,074","2,287","2,085","35,297"
2020년09월_계_연령구간인구수,"407,138","11,274","6,682","15,848","4,765","33,082","27,399","11,523","16,352","7,357","27,710","43,921","20,029","31,837","78,191","23,334","2,166","1,925","4,074","2,287","2,085","35,297"
2020년09월_계_0~9세,"40,864",740,349,"1,509",339,"4,044","2,171",773,"1,192",679,"2,030","3,903","2,156","3,115","10,552","3,130",65,48,133,56,38,"3,842"
2020년09월_계_10~19세,"52,974","1,205",406,"1,712",439,"3,678","2,160","1,193","2,087",792,"3,584","5,774","3,034","4,050","13,580","3,152",123,81,146,116,87,"5,575"
2020년09월_계_20~29세,"58,569","1,760",957,"2,212",620,"4,058","4,182","1,964","2,493",919,"5,224","7,949","2,788","4,806","9,416","2,856",180,174,429,171,156,"5,255"
2020년09월_계_30~39세,"55,518","1,229",916,"2,257",566,"5,615","4,252","1,327","1,814",929,"3,380","5,945","2,529","4,176","10,777","3,657",119,140,447,156,131,"5,156"
2020년09월_계_40~49세,"77,303","1,942",878,"2,781",739,"6,101","4,084","1,753","2,979","1,404","4,533","8,195","4,201","5,926","18,108","4,752",178,181,509,212,226,"7,621"
2020년09월_계_50~59세,"63,384","1,839","1,106","2,433",789,"4,550","4,871","2,276","3,033","1,333","5,477","7,564","2,991","5,511","9,585","3,148",390,323,663,409,337,"4,756"
2020년09월_계_60~69세,"32,648","1,310",948,"1,466",635,"2,956","3,199","1,376","1,674",683,"2,200","2,723","1,316","2,340","3,806","1,749",456,404,793,463,363,"1,788"
2020년09월_계_70~79세,"16,999",878,777,"1,026",448,"1,403","1,555",561,740,391,812,"1,177",724,"1,289","1,680",591,353,367,583,366,394,884
2020년09월_계_80~89세,"7,660",318,300,385,153,577,785,263,301,204,399,598,254,551,589,263,258,182,304,292,314,370
2020년09월_계_90~99세,"1,155",51,39,62,33,95,137,37,36,23,71,87,33,68,95,32,43,22,63,43,37,48
2020년09월_계_100세 이상,64,2,6,5,4,5,3,0,3,0,0,6,3,5,3,4,1,3,4,3,2,2
2020년09월_남_총인구수,"205,105","5,692","3,354","7,974","2,412","16,871","13,917","5,848","8,297","3,882","13,768","22,135","10,220","15,615","38,680","11,911","1,102",983,"2,249","1,175","1,040","17,980"
2020년09월_남_연령구간인구수,"205,105","5,692","3,354","7,974","2,412","16,871","13,917","5,848","8,297","3,882","13,768","22,135","10,220","15,615","38,680","11,911","1,102",983,"2,249","1,175","1,040","17,980"
2020년09월_남_0~9세,"21,002",373,192,792,177,"2,089","1,116",396,619,333,"1,034","2,016","1,115","1,574","5,462","1,601",27,26,63,24,17,"1,956"
2020년09월_남_10~19세,"27,250",625,200,914,233,"1,865","1,112",631,"1,088",425,"1,804","2,968","1,561","2,108","6,817","1,648",66,45,75,64,47,"2,954"
