,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2021년10월_계_총인구수,"222,030","20,368","28,355","28,674","69,880","19,127","22,467","8,366","7,726","4,229","3,099","7,965","1,774"
2021년10월_계_연령구간인구수,"222,030","20,368","28,355","28,674","69,880","19,127","22,467","8,366","7,726","4,229","3,099","7,965","1,774"
2021년10월_계_0~9세,"16,681","1,399","2,326","2,453","6,176","1,656","1,466",465,284,126,49,247,34
2021년10월_계_10~19세,"22,009","1,631","2,744","3,228","9,722","1,544","1,538",491,353,185,110,405,58
2021년10월_계_20~29세,"26,076","2,505","3,377","3,272","9,140","2,161","2,830",761,815,289,158,668,100
2021년10월_계_30~39세,"24,946","2,744","3,157","3,405","7,292","2,784","2,964",843,633,285,191,544,104
2021년10월_계_40~49세,"36,136","3,640","4,485","5,191","13,150","2,863","3,250","1,166",760,398,225,866,142
2021년10월_계_50~59세,"42,346","4,043","5,235","5,319","13,218","3,514","4,367","1,563","1,615",885,537,"1,681",369
2021년10월_계_60~69세,"31,902","2,702","4,187","3,502","7,200","2,804","3,604","1,696","1,782","1,129",875,"1,937",484
2021년10월_계_70~79세,"14,150","1,135","1,812","1,487","2,681","1,193","1,639",904,914,558,538,"1,008",281
2021년10월_계_80~89세,"6,715",497,877,714,"1,143",522,679,418,493,319,357,519,177
2021년10월_계_90~99세,"1,047",67,149,102,157,86,128,59,76,53,59,87,24
2021년10월_계_100세 이상,22,5,6,1,1,0,2,0,1,2,0,3,1
2021년10월_남_총인구수,"114,738","11,701","14,199","14,915","35,156","9,895","11,614","4,510","4,020","2,183","1,545","4,061",939
2021년10월_남_연령구간인구수,"114,738","11,701","14,199","14,915","35,156","9,895","11,614","4,510","4,020","2,183","1,545","4,061",939
2021년10월_남_0~9세,"8,571",731,"1,152","1,253","3,182",848,764,250,145,64,27,138,17
2021년10월_남_10~19세,"11,435",868,"1,396","1,648","5,078",779,804,258,201,96,56,218,33
2021년10월_남_20~29세,"14,930","1,573","1,912","1,827","5,101","1,194","1,660",466,482,164,90,401,60
2021년10월_남_30~39세,"13,326","1,738","1,635","1,804","3,550","1,510","1,626",452,358,161,107,318,67
2021년10월_남_40~49세,"18,533","2,235","2,234","2,713","6,083","1,488","1,712",722,434,234,134,455,89
2021년10월_남_50~59세,"22,318","2,427","2,604","2,888","6,755","1,857","2,190",926,844,476,292,849,210
2021년10월_남_60~69세,"16,517","1,430","2,107","1,850","3,750","1,466","1,820",848,942,603,459,986,256
2021년10월_남_70~79세,"6,729",535,858,694,"1,252",568,780,424,432,283,251,512,140
2021년10월_남_80~89세,"2,184",155,275,220,376,170,230,153,162,94,119,166,64
2021년10월_남_90~99세,193,7,26,18,29,15,28,11,20,8,10,18,3
2021년10월_남_100세 이상,2,2,0,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"107,292","8,667","14,156","13,759","34,724","9,232","10,853","3,856","3,706","2,046","1,554","3,904",835
2021년10월_여_연령구간인구수,"107,292","8,667","14,156","13,759","34,724","9,232","10,853","3,856","3,706","2,046","1,554","3,904",835
2021년10월_여_0~9세,"8,110",668,"1,174","1,200","2,994",808,702,215,139,62,22,109,17
2021년10월_여_10~19세,"10,574",763,"1,348","1,580","4,644",765,734,233,152,89,54,187,25
2021년10월_여_20~29세,"11,146",932,"1,465","1,445","4,039",967,"1,170",295,333,125,68,267,40
2021년10월_여_30~39세,"11,620","1,006","1,522","1,601","3,742","1,274","1,338",391,275,124,84,226,37
2021년10월_여_40~49세,"17,603","1,405","2,251","2,478","7,067","1,375","1,538",444,326,164,91,411,53
2021년10월_여_50~59세,"20,028","1,616","2,631","2,431","6,463","1,657","2,177",637,771,409,245,832,159
2021년10월_여_60~69세,"15,385","1,272","2,080","1,652","3,450","1,338","1,784",848,840,526,416,951,228
2021년10월_여_70~79세,"7,421",600,954,793,"1,429",625,859,480,482,275,287,496,141
2021년10월_여_80~89세,"4,531",342,602,494,767,352,449,265,331,225,238,353,113
2021년10월_여_90~99세,854,60,123,84,128,71,100,48,56,45,49,69,21
2021년10월_여_100세 이상,20,3,6,1,1,0,2,0,1,2,0,3,1
