,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021년05월_계_총인구수,"219,591","14,575","36,068","14,038","11,308","5,802","14,802","14,460","4,440","4,667","2,644","17,075","54,545","14,913","10,254"
2021년05월_계_연령구간인구수,"219,591","14,575","36,068","14,038","11,308","5,802","14,802","14,460","4,440","4,667","2,644","17,075","54,545","14,913","10,254"
2021년05월_계_0~9세,"18,358",934,"3,184","1,083",772,313,"1,518","1,182",140,156,53,948,"6,605",893,577
2021년05월_계_10~19세,"22,245","1,345","4,434","1,162",859,330,"1,239","1,182",267,220,123,"1,515","7,887",912,770
2021년05월_계_20~29세,"30,447","1,527","5,125","1,635","1,334",636,"2,197","2,613",375,391,173,"2,810","7,040","3,102","1,489"
2021년05월_계_30~39세,"30,395","1,458","5,031","1,853","1,240",680,"2,666","2,478",358,351,151,"2,179","8,132","2,469","1,349"
2021년05월_계_40~49세,"34,708","1,981","6,665","1,987","1,607",722,"2,068","2,088",487,491,236,"2,538","10,525","1,866","1,447"
2021년05월_계_50~59세,"35,168","2,443","5,517","2,565","2,168","1,086","2,073","1,957",841,855,424,"2,862","8,147","2,280","1,950"
2021년05월_계_60~69세,"27,282","2,539","3,592","2,165","1,811","1,102","1,660","1,616",988,"1,054",704,"2,521","3,950","1,970","1,610"
2021년05월_계_70~79세,"13,064","1,416","1,619","1,027",890,575,878,863,565,660,394,"1,121","1,425",923,708
2021년05월_계_80~89세,"6,944",828,810,476,529,312,433,416,371,422,339,520,735,436,317
2021년05월_계_90~99세,947,100,88,82,95,45,67,65,46,61,45,59,99,59,36
2021년05월_계_100세 이상,33,4,3,3,3,1,3,0,2,6,2,2,0,3,1
2021년05월_남_총인구수,"113,745","7,421","18,965","7,354","5,764","3,086","8,082","7,364","2,380","2,461","1,365","8,513","27,269","8,482","5,239"
2021년05월_남_연령구간인구수,"113,745","7,421","18,965","7,354","5,764","3,086","8,082","7,364","2,380","2,461","1,365","8,513","27,269","8,482","5,239"
2021년05월_남_0~9세,"9,490",464,"1,630",554,398,160,795,611,81,72,32,496,"3,416",467,314
2021년05월_남_10~19세,"11,598",721,"2,291",650,452,179,645,590,157,115,66,772,"4,126",475,359
2021년05월_남_20~29세,"17,249",915,"3,029",869,739,346,"1,343","1,302",235,233,103,"1,505","3,723","2,135",772
2021년05월_남_30~39세,"16,357",777,"2,676","1,012",639,406,"1,523","1,315",222,218,92,"1,236","3,894","1,571",776
2021년05월_남_40~49세,"17,949","1,017","3,416","1,079",846,422,"1,184","1,136",278,301,155,"1,249","5,083","1,025",758
2021년05월_남_50~59세,"18,319","1,286","2,970","1,342","1,096",614,"1,129","1,037",458,476,225,"1,357","4,150","1,184",995
2021년05월_남_60~69세,"13,983","1,257","1,883","1,155",947,571,866,821,525,557,367,"1,176","2,025",998,835
2021년05월_남_70~79세,"6,021",660,756,490,408,262,418,393,271,314,185,521,596,436,311
2021년05월_남_80~89세,"2,548",302,295,185,213,117,160,142,141,161,128,183,238,174,109
2021년05월_남_90~99세,224,22,19,17,26,9,17,17,12,12,11,18,18,16,10
2021년05월_남_100세 이상,7,0,0,1,0,0,2,0,0,2,1,0,0,1,0
2021년05월_여_총인구수,"105,846","7,154","17,103","6,684","5,544","2,716","6,720","7,096","2,060","2,206","1,279","8,562","27,276","6,431","5,015"
2021년05월_여_연령구간인구수,"105,846","7,154","17,103","6,684","5,544","2,716","6,720","7,096","2,060","2,206","1,279","8,562","27,276","6,431","5,015"
2021년05월_여_0~9세,"8,868",470,"1,554",529,374,153,723,571,59,84,21,452,"3,189",426,263
2021년05월_여_10~19세,"10,647",624,"2,143",512,407,151,594,592,110,105,57,743,"3,761",437,411
2021년05월_여_20~29세,"13,198",612,"2,096",766,595,290,854,"1,311",140,158,70,"1,305","3,317",967,717
2021년05월_여_30~39세,"14,038",681,"2,355",841,601,274,"1,143","1,163",136,133,59,943,"4,238",898,573
2021년05월_여_40~49세,"16,759",964,"3,249",908,761,300,884,952,209,190,81,"1,289","5,442",841,689
2021년05월_여_50~59세,"16,849","1,157","2,547","1,223","1,072",472,944,920,383,379,199,"1,505","3,997","1,096",955
2021년05월_여_60~69세,"13,299","1,282","1,709","1,010",864,531,794,795,463,497,337,"1,345","1,925",972,775
2021년05월_여_70~79세,"7,043",756,863,537,482,313,460,470,294,346,209,600,829,487,397
2021년05월_여_80~89세,"4,396",526,515,291,316,195,273,274,230,261,211,337,497,262,208
2021년05월_여_90~99세,723,78,69,65,69,36,50,48,34,49,34,41,81,43,26
2021년05월_여_100세 이상,26,4,3,2,3,1,1,0,2,4,1,2,0,2,1
