,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2020년07월_계_총인구수,"54,811","21,385","2,253","2,694","2,801","2,566","2,462","2,857","1,827","3,382","2,543","3,134","1,993","2,255","2,659"
2020년07월_계_연령구간인구수,"54,811","21,385","2,253","2,694","2,801","2,566","2,462","2,857","1,827","3,382","2,543","3,134","1,993","2,255","2,659"
2020년07월_계_0~9세,"2,769","1,858",55,86,86,71,63,87,48,82,72,81,49,61,70
2020년07월_계_10~19세,"4,222","2,617",108,96,206,130,150,121,53,160,111,147,73,115,135
2020년07월_계_20~29세,"4,350","2,373",144,177,168,141,177,146,77,199,160,206,129,133,120
2020년07월_계_30~39세,"3,996","2,187",130,144,139,143,131,143,99,167,162,176,114,124,137
2020년07월_계_40~49세,"6,346","3,238",193,260,248,216,251,241,166,308,260,313,180,217,255
2020년07월_계_50~59세,"9,215","3,430",417,509,470,437,442,461,286,610,499,560,316,375,403
2020년07월_계_60~69세,"9,497","2,725",468,528,531,525,445,634,409,667,523,650,422,439,531
2020년07월_계_70~79세,"8,398","1,798",417,527,597,519,479,607,341,678,465,559,397,438,576
2020년07월_계_80~89세,"5,208",989,277,320,317,338,283,366,310,440,258,384,266,293,367
2020년07월_계_90~99세,777,162,43,46,38,44,40,48,37,65,32,55,47,59,61
2020년07월_계_100세 이상,33,8,1,1,1,2,1,3,1,6,1,3,0,1,4
2020년07월_남_총인구수,"27,051","10,539","1,154","1,372","1,385","1,265","1,187","1,387",898,"1,667","1,289","1,518","1,008","1,090","1,292"
2020년07월_남_연령구간인구수,"27,051","10,539","1,154","1,372","1,385","1,265","1,187","1,387",898,"1,667","1,289","1,518","1,008","1,090","1,292"
2020년07월_남_0~9세,"1,462",968,27,45,44,42,40,48,22,46,42,43,23,34,38
2020년07월_남_10~19세,"2,279","1,403",60,57,125,63,86,54,34,84,54,70,50,56,83
2020년07월_남_20~29세,"2,456","1,306",91,103,100,84,94,82,47,119,89,116,80,71,74
2020년07월_남_30~39세,"2,128","1,068",81,84,79,85,70,85,61,99,96,98,67,69,86
2020년07월_남_40~49세,"3,631","1,646",129,166,156,130,147,161,109,194,182,184,123,139,165
2020년07월_남_50~59세,"5,026","1,701",251,312,261,255,251,264,177,333,275,306,174,215,251
2020년07월_남_60~69세,"4,692","1,298",251,263,262,251,213,309,197,352,272,330,227,222,245
2020년07월_남_70~79세,"3,580",769,186,226,241,236,197,274,145,284,194,231,174,188,235
2020년07월_남_80~89세,"1,657",352,74,107,110,107,79,103,96,141,79,134,82,88,105
2020년07월_남_90~99세,139,28,4,9,7,12,10,7,10,14,6,6,8,8,10
2020년07월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년07월_여_총인구수,"27,760","10,846","1,099","1,322","1,416","1,301","1,275","1,470",929,"1,715","1,254","1,616",985,"1,165","1,367"
2020년07월_여_연령구간인구수,"27,760","10,846","1,099","1,322","1,416","1,301","1,275","1,470",929,"1,715","1,254","1,616",985,"1,165","1,367"
2020년07월_여_0~9세,"1,307",890,28,41,42,29,23,39,26,36,30,38,26,27,32
2020년07월_여_10~19세,"1,943","1,214",48,39,81,67,64,67,19,76,57,77,23,59,52
2020년07월_여_20~29세,"1,894","1,067",53,74,68,57,83,64,30,80,71,90,49,62,46
2020년07월_여_30~39세,"1,868","1,119",49,60,60,58,61,58,38,68,66,78,47,55,51
2020년07월_여_40~49세,"2,715","1,592",64,94,92,86,104,80,57,114,78,129,57,78,90
2020년07월_여_50~59세,"4,189","1,729",166,197,209,182,191,197,109,277,224,254,142,160,152
2020년07월_여_60~69세,"4,805","1,427",217,265,269,274,232,325,212,315,251,320,195,217,286
2020년07월_여_70~79세,"4,818","1,029",231,301,356,283,282,333,196,394,271,328,223,250,341
2020년07월_여_80~89세,"3,551",637,203,213,207,231,204,263,214,299,179,250,184,205,262
2020년07월_여_90~99세,638,134,39,37,31,32,30,41,27,51,26,49,39,51,51
2020년07월_여_100세 이상,32,8,1,1,1,2,1,3,1,5,1,3,0,1,4
