,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2020년06월_계_총인구수,"351,882","35,352","34,449","40,180","22,236","25,127","37,779","25,643","27,354","28,182","29,120","46,460"
2020년06월_계_연령구간인구수,"351,882","35,352","34,449","40,180","22,236","25,127","37,779","25,643","27,354","28,182","29,120","46,460"
2020년06월_계_0~9세,"35,998","3,410","1,559","3,600","2,342","2,600","5,163","3,031","2,717","2,685","3,264","5,627"
2020년06월_계_10~19세,"38,611","3,440","1,556","3,279","3,040","3,526","4,559","2,927","3,322","3,195","4,609","5,158"
2020년06월_계_20~29세,"52,652","4,489","8,170","8,273","2,870","3,193","3,892","3,989","4,283","4,291","3,741","5,461"
2020년06월_계_30~39세,"57,035","4,634","6,602","6,575","3,286","3,247","6,569","5,224","4,498","4,245","4,066","8,089"
2020년06월_계_40~49세,"60,773","5,984","4,376","5,580","4,357","4,925","7,321","4,133","4,460","4,877","6,076","8,684"
2020년06월_계_50~59세,"53,963","6,279","5,634","6,012","3,242","3,948","5,154","3,471","4,452","4,637","4,351","6,783"
2020년06월_계_60~69세,"32,293","4,177","3,854","4,345","1,746","2,012","3,244","1,816","2,338","2,360","2,032","4,369"
2020년06월_계_70~79세,"13,226","1,896","1,741","1,656",863,"1,070","1,282",637,724,"1,162",649,"1,546"
2020년06월_계_80~89세,"6,237",903,796,741,418,518,506,361,459,629,281,625
2020년06월_계_90~99세,"1,039",131,139,113,71,87,85,53,98,97,50,115
2020년06월_계_100세 이상,55,9,22,6,1,1,4,1,3,4,1,3
2020년06월_남_총인구수,"177,640","17,969","17,802","20,879","10,998","12,345","18,592","13,433","13,967","14,432","14,923","22,300"
2020년06월_남_연령구간인구수,"177,640","17,969","17,802","20,879","10,998","12,345","18,592","13,433","13,967","14,432","14,923","22,300"
2020년06월_남_0~9세,"18,554","1,742",792,"1,810","1,206","1,322","2,624","1,568","1,467","1,395","1,723","2,905"
2020년06월_남_10~19세,"20,055","1,835",809,"1,720","1,573","1,821","2,330","1,544","1,689","1,648","2,413","2,673"
2020년06월_남_20~29세,"28,181","2,455","4,185","4,840","1,469","1,642","2,049","2,201","2,327","2,384","1,973","2,656"
2020년06월_남_30~39세,"29,589","2,389","3,799","3,552","1,608","1,601","3,128","2,870","2,424","2,275","2,097","3,846"
2020년06월_남_40~49세,"29,935","3,084","2,342","2,808","2,063","2,311","3,593","2,076","2,126","2,477","2,887","4,168"
2020년06월_남_50~59세,"26,825","3,146","2,783","2,881","1,657","1,995","2,496","1,788","2,193","2,392","2,370","3,124"
2020년06월_남_60~69세,"16,141","2,109","1,983","2,185",856,983,"1,566",950,"1,247","1,189","1,064","2,009"
2020년06월_남_70~79세,"6,084",897,772,792,390,470,612,326,334,461,313,717
2020년06월_남_80~89세,"2,032",287,292,258,155,182,175,98,130,190,73,192
2020년06월_남_90~99세,231,22,42,32,20,17,18,12,28,20,10,10
2020년06월_남_100세 이상,13,3,3,1,1,1,1,0,2,1,0,0
2020년06월_여_총인구수,"174,242","17,383","16,647","19,301","11,238","12,782","19,187","12,210","13,387","13,750","14,197","24,160"
2020년06월_여_연령구간인구수,"174,242","17,383","16,647","19,301","11,238","12,782","19,187","12,210","13,387","13,750","14,197","24,160"
2020년06월_여_0~9세,"17,444","1,668",767,"1,790","1,136","1,278","2,539","1,463","1,250","1,290","1,541","2,722"
2020년06월_여_10~19세,"18,556","1,605",747,"1,559","1,467","1,705","2,229","1,383","1,633","1,547","2,196","2,485"
2020년06월_여_20~29세,"24,471","2,034","3,985","3,433","1,401","1,551","1,843","1,788","1,956","1,907","1,768","2,805"
2020년06월_여_30~39세,"27,446","2,245","2,803","3,023","1,678","1,646","3,441","2,354","2,074","1,970","1,969","4,243"
2020년06월_여_40~49세,"30,838","2,900","2,034","2,772","2,294","2,614","3,728","2,057","2,334","2,400","3,189","4,516"
2020년06월_여_50~59세,"27,138","3,133","2,851","3,131","1,585","1,953","2,658","1,683","2,259","2,245","1,981","3,659"
2020년06월_여_60~69세,"16,152","2,068","1,871","2,160",890,"1,029","1,678",866,"1,091","1,171",968,"2,360"
2020년06월_여_70~79세,"7,142",999,969,864,473,600,670,311,390,701,336,829
2020년06월_여_80~89세,"4,205",616,504,483,263,336,331,263,329,439,208,433
2020년06월_여_90~99세,808,109,97,81,51,70,67,41,70,77,40,105
2020년06월_여_100세 이상,42,6,19,5,0,0,3,1,1,3,1,3
