카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2020년09월_계_총인구수,"111,512","15,632","4,653","5,064","3,005","6,397","7,114","4,915","4,188","2,556","22,017","18,604","17,367"
2020년09월_계_연령구간인구수,"111,512","15,632","4,653","5,064","3,005","6,397","7,114","4,915","4,188","2,556","22,017","18,604","17,367"
2020년09월_계_0~9세,"7,543","1,056",182,182,97,289,234,158,142,111,"1,611","1,424","2,057"
2020년09월_계_10~19세,"9,646","1,310",273,285,148,443,429,375,256,145,"2,030","2,259","1,693"
2020년09월_계_20~29세,"12,086","1,673",466,408,232,547,617,405,349,207,"2,831","2,386","1,965"
2020년09월_계_30~39세,"11,633","1,847",300,368,194,518,457,306,307,175,"2,577","2,009","2,575"
2020년09월_계_40~49세,"16,006","2,253",412,516,280,691,710,598,488,282,"3,518","3,194","3,064"
2020년09월_계_50~59세,"20,101","2,821",866,966,589,"1,153","1,354",995,869,458,"3,906","3,334","2,790"
2020년09월_계_60~69세,"18,211","2,492","1,045","1,178",745,"1,340","1,615",993,874,600,"3,168","2,300","1,861"
2020년09월_계_70~79세,"10,176","1,358",656,707,456,853,996,621,550,366,"1,561","1,144",908
2020년09월_계_80~89세,"5,247",707,396,381,221,485,604,398,289,184,696,488,398
2020년09월_계_90~99세,813,105,55,72,42,77,93,61,62,26,109,61,50
2020년09월_계_100세 이상,50,10,2,1,1,1,5,5,2,2,10,5,6
2020년09월_남_총인구수,"56,689","8,085","2,409","2,648","1,559","3,290","3,710","2,549","2,155","1,288","11,012","9,315","8,669"
2020년09월_남_연령구간인구수,"56,689","8,085","2,409","2,648","1,559","3,290","3,710","2,549","2,155","1,288","11,012","9,315","8,669"
2020년09월_남_0~9세,"3,891",514,107,94,53,126,126,82,71,53,833,750,"1,082"
2020년09월_남_10~19세,"4,965",676,148,157,69,225,237,219,134,66,"1,040","1,153",841
2020년09월_남_20~29세,"6,649",938,273,236,149,308,380,220,204,114,"1,510","1,274","1,043"
2020년09월_남_30~39세,"6,114","1,034",168,214,106,282,262,169,164,99,"1,319","1,029","1,268"
2020년09월_남_40~49세,"8,277","1,198",229,290,157,413,377,328,267,154,"1,772","1,546","1,546"
2020년09월_남_50~59세,"10,572","1,507",468,525,323,636,733,574,486,237,"1,957","1,742","1,384"
2020년09월_남_60~69세,"9,262","1,271",530,616,383,700,865,520,427,302,"1,574","1,139",935
2020년09월_남_70~79세,"4,816",657,335,348,226,418,459,274,281,178,722,498,420
2020년09월_남_80~89세,"1,945",257,138,152,86,167,241,143,108,77,260,173,143
2020년09월_남_90~99세,182,29,12,16,7,14,28,19,12,7,21,11,6
2020년09월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1
2020년09월_여_총인구수,"54,823","7,547","2,244","2,416","1,446","3,107","3,404","2,366","2,033","1,268","11,005","9,289","8,698"
2020년09월_여_연령구간인구수,"54,823","7,547","2,244","2,416","1,446","3,107","3,404","2,366","2,033","1,268","11,005","9,289","8,698"
2020년09월_여_0~9세,"3,652",542,75,88,44,163,108,76,71,58,778,674,975
2020년09월_여_10~19세,"4,681",634,125,128,79,218,192,156,122,79,990,"1,106",852
2020년09월_여_20~29세,"5,437",735,193,172,83,239,237,185,145,93,"1,321","1,112",922
2020년09월_여_30~39세,"5,519",813,132,154,88,236,195,137,143,76,"1,258",980,"1,307"
2020년09월_여_40~49세,"7,729","1,055",183,226,123,278,333,270,221,128,"1,746","1,648","1,518"
2020년09월_여_50~59세,"9,529","1,314",398,441,266,517,621,421,383,221,"1,949","1,592","1,406"
2020년09월_여_60~69세,"8,949","1,221",515,562,362,640,750,473,447,298,"1,594","1,161",926
2020년09월_여_70~79세,"5,360",701,321,359,230,435,537,347,269,188,839,646,488
2020년09월_여_80~89세,"3,302",450,258,229,135,318,363,255,181,107,436,315,255
2020년09월_여_90~99세,631,76,43,56,35,63,65,42,50,19,88,50,44
2020년09월_여_100세 이상,34,6,1,1,1,0,3,4,1,1,6,5,5
