,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2021년03월_계_총인구수,"176,145","14,006","12,285","14,858","27,682","11,324","25,921","18,658","9,551","13,405","28,455"
2021년03월_계_연령구간인구수,"176,145","14,006","12,285","14,858","27,682","11,324","25,921","18,658","9,551","13,405","28,455"
2021년03월_계_0~9세,"10,227",728,884,583,"1,680",671,"1,229","1,083",287,870,"2,212"
2021년03월_계_10~19세,"11,665","1,183","1,163",665,"1,930",811,"1,581","1,258",408,886,"1,780"
2021년03월_계_20~29세,"24,196","1,850","1,356","1,831","3,064","1,210","5,052","2,876","1,867","1,766","3,324"
2021년03월_계_30~39세,"23,805","1,655","1,252","1,758","3,350","1,402","4,111","2,741","1,424","1,993","4,119"
2021년03월_계_40~49세,"25,263","2,022","1,938","1,888","3,757","1,674","3,592","2,849","1,197","2,030","4,316"
2021년03월_계_50~59세,"27,387","2,429","2,193","2,281","4,322","1,866","3,567","2,701","1,330","2,067","4,631"
2021년03월_계_60~69세,"28,774","2,138","1,931","2,981","5,172","2,001","3,652","2,630","1,620","2,004","4,645"
2021년03월_계_70~79세,"17,026","1,269","1,077","1,966","2,953","1,217","2,175","1,743","1,001","1,191","2,434"
2021년03월_계_80~89세,"6,892",631,409,808,"1,276",417,848,697,380,547,879
2021년03월_계_90~99세,876,99,75,93,176,54,108,72,36,49,114
2021년03월_계_100세 이상,34,2,7,4,2,1,6,8,1,2,1
2021년03월_남_총인구수,"83,280","6,442","5,714","7,125","13,250","5,572","12,130","8,669","4,564","6,080","13,734"
2021년03월_남_연령구간인구수,"83,280","6,442","5,714","7,125","13,250","5,572","12,130","8,669","4,564","6,080","13,734"
2021년03월_남_0~9세,"5,262",351,449,317,867,341,641,553,153,464,"1,126"
2021년03월_남_10~19세,"6,024",596,587,345,"1,006",436,869,636,211,433,905
2021년03월_남_20~29세,"11,753",904,700,918,"1,592",670,"2,223","1,317",842,831,"1,756"
2021년03월_남_30~39세,"11,880",800,593,927,"1,693",750,"2,056","1,336",741,934,"2,050"
2021년03월_남_40~49세,"12,445",941,855,"1,004","1,896",868,"1,760","1,405",621,907,"2,188"
2021년03월_남_50~59세,"12,627","1,120",966,"1,078","1,975",903,"1,623","1,241",656,934,"2,131"
2021년03월_남_60~69세,"12,790",931,884,"1,304","2,299",894,"1,601","1,152",760,846,"2,119"
2021년03월_남_70~79세,"7,640",529,506,898,"1,376",529,"1,009",731,430,517,"1,115"
2021년03월_남_80~89세,"2,628",236,159,313,491,175,315,272,143,203,321
2021년03월_남_90~99세,223,33,13,21,55,6,31,23,7,11,23
2021년03월_남_100세 이상,8,1,2,0,0,0,2,3,0,0,0
2021년03월_여_총인구수,"92,865","7,564","6,571","7,733","14,432","5,752","13,791","9,989","4,987","7,325","14,721"
2021년03월_여_연령구간인구수,"92,865","7,564","6,571","7,733","14,432","5,752","13,791","9,989","4,987","7,325","14,721"
2021년03월_여_0~9세,"4,965",377,435,266,813,330,588,530,134,406,"1,086"
2021년03월_여_10~19세,"5,641",587,576,320,924,375,712,622,197,453,875
2021년03월_여_20~29세,"12,443",946,656,913,"1,472",540,"2,829","1,559","1,025",935,"1,568"
2021년03월_여_30~39세,"11,925",855,659,831,"1,657",652,"2,055","1,405",683,"1,059","2,069"
2021년03월_여_40~49세,"12,818","1,081","1,083",884,"1,861",806,"1,832","1,444",576,"1,123","2,128"
2021년03월_여_50~59세,"14,760","1,309","1,227","1,203","2,347",963,"1,944","1,460",674,"1,133","2,500"
2021년03월_여_60~69세,"15,984","1,207","1,047","1,677","2,873","1,107","2,051","1,478",860,"1,158","2,526"
2021년03월_여_70~79세,"9,386",740,571,"1,068","1,577",688,"1,166","1,012",571,674,"1,319"
2021년03월_여_80~89세,"4,264",395,250,495,785,242,533,425,237,344,558
2021년03월_여_90~99세,653,66,62,72,121,48,77,49,29,38,91
2021년03월_여_100세 이상,26,1,5,4,2,1,4,5,1,2,1
