카테고리,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020년05월_계_총인구수,"148,081","44,276","8,686","4,656","7,770","12,704","2,194","4,880","9,476","6,144","8,564","2,803","2,761","18,745","14,422"
2020년05월_계_연령구간인구수,"148,081","44,276","8,686","4,656","7,770","12,704","2,194","4,880","9,476","6,144","8,564","2,803","2,761","18,745","14,422"
2020년05월_계_0~9세,"9,002","3,039",613,134,241,727,48,199,528,517,647,67,204,"1,292",746
2020년05월_계_10~19세,"12,690","5,084",599,217,420,"1,007",89,279,707,369,472,141,154,"1,920","1,232"
2020년05월_계_20~29세,"17,941","5,857",983,452,804,"1,524",202,417,964,817,979,229,286,"2,546","1,881"
2020년05월_계_30~39세,"14,921","4,460","1,123",356,620,"1,271",124,307,874,840,"1,040",121,346,"1,984","1,455"
2020년05월_계_40~49세,"21,016","7,433","1,145",559,941,"1,733",216,540,"1,220",621,869,279,273,"2,846","2,341"
2020년05월_계_50~59세,"29,561","9,005","1,673","1,105","1,977","2,584",399,"1,039","1,612",932,"1,385",553,483,"3,571","3,243"
2020년05월_계_60~69세,"23,218","5,439","1,386","1,016","1,559","2,165",542,"1,050","1,788",993,"1,447",649,521,"2,570","2,093"
2020년05월_계_70~79세,"12,423","2,550",715,507,712,"1,068",374,673,"1,071",682,"1,045",492,304,"1,315",915
2020년05월_계_80~89세,"6,277","1,198",392,282,422,529,181,325,598,334,554,241,167,596,458
2020년05월_계_90~99세,958,199,54,27,74,89,19,48,107,35,110,28,22,94,52
2020년05월_계_100세 이상,74,12,3,1,0,7,0,3,7,4,16,3,1,11,6
2020년05월_남_총인구수,"78,242","22,573","4,672","2,672","4,537","6,992","1,225","2,644","4,904","3,320","4,546","1,457","1,462","9,502","7,736"
2020년05월_남_연령구간인구수,"78,242","22,573","4,672","2,672","4,537","6,992","1,225","2,644","4,904","3,320","4,546","1,457","1,462","9,502","7,736"
2020년05월_남_0~9세,"4,668","1,544",319,76,115,398,27,98,271,277,337,28,106,656,416
2020년05월_남_10~19세,"6,633","2,634",308,126,218,546,54,142,390,178,239,69,74,"1,014",641
2020년05월_남_20~29세,"10,414","3,179",567,290,485,924,138,250,575,541,663,149,158,"1,422","1,073"
2020년05월_남_30~39세,"8,214","2,259",633,222,378,729,82,180,511,495,611,77,202,"1,036",799
2020년05월_남_40~49세,"11,314","3,697",644,353,610,948,126,333,680,374,499,166,158,"1,447","1,279"
2020년05월_남_50~59세,"16,240","4,781",923,646,"1,238","1,490",235,615,844,494,770,300,257,"1,824","1,823"
2020년05월_남_60~69세,"12,532","2,837",781,599,952,"1,226",300,585,913,518,744,338,297,"1,317","1,125"
2020년05월_남_70~79세,"5,712","1,183",338,237,370,513,174,302,483,320,437,227,148,560,420
2020년05월_남_80~89세,"2,265",416,147,119,160,194,82,120,208,111,211,93,56,203,145
2020년05월_남_90~99세,222,40,10,4,11,23,7,17,24,12,29,7,6,19,13
2020년05월_남_100세 이상,28,3,2,0,0,1,0,2,5,0,6,3,0,4,2
2020년05월_여_총인구수,"69,839","21,703","4,014","1,984","3,233","5,712",969,"2,236","4,572","2,824","4,018","1,346","1,299","9,243","6,686"
2020년05월_여_연령구간인구수,"69,839","21,703","4,014","1,984","3,233","5,712",969,"2,236","4,572","2,824","4,018","1,346","1,299","9,243","6,686"
2020년05월_여_0~9세,"4,334","1,495",294,58,126,329,21,101,257,240,310,39,98,636,330
2020년05월_여_10~19세,"6,057","2,450",291,91,202,461,35,137,317,191,233,72,80,906,591
2020년05월_여_20~29세,"7,527","2,678",416,162,319,600,64,167,389,276,316,80,128,"1,124",808
2020년05월_여_30~39세,"6,707","2,201",490,134,242,542,42,127,363,345,429,44,144,948,656
2020년05월_여_40~49세,"9,702","3,736",501,206,331,785,90,207,540,247,370,113,115,"1,399","1,062"
2020년05월_여_50~59세,"13,321","4,224",750,459,739,"1,094",164,424,768,438,615,253,226,"1,747","1,420"
2020년05월_여_60~69세,"10,686","2,602",605,417,607,939,242,465,875,475,703,311,224,"1,253",968
2020년05월_여_70~79세,"6,711","1,367",377,270,342,555,200,371,588,362,608,265,156,755,495
2020년05월_여_80~89세,"4,012",782,245,163,262,335,99,205,390,223,343,148,111,393,313
2020년05월_여_90~99세,736,159,44,23,63,66,12,31,83,23,81,21,16,75,39
2020년05월_여_100세 이상,46,9,1,1,0,6,0,1,2,4,10,0,1,7,4
