,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년03월_계_총인구수,"388,730","31,920","12,696","44,621","28,535","24,809","28,792","31,807","22,900","27,024","24,835","14,279","14,614","38,494","23,492","19,912"
2021년03월_계_연령구간인구수,"388,730","31,920","12,696","44,621","28,535","24,809","28,792","31,807","22,900","27,024","24,835","14,279","14,614","38,494","23,492","19,912"
2021년03월_계_0~9세,"24,092","1,919",331,"2,781","2,407","1,204","1,630","2,350",798,"1,753","2,095",725,"1,030","2,180","1,508","1,381"
2021년03월_계_10~19세,"27,513","1,961",542,"3,211","1,961","1,636","1,869","2,144",883,"1,636","1,626",752,"1,011","4,152","2,444","1,685"
2021년03월_계_20~29세,"65,810","5,469","2,390","9,641","4,289","4,179","4,624","5,000","5,197","3,610","3,387","2,498","2,218","6,396","3,427","3,485"
2021년03월_계_30~39세,"61,730","5,453","1,967","6,173","4,838","4,156","4,789","4,474","4,658","4,422","4,066","2,461","2,576","5,366","3,078","3,253"
2021년03월_계_40~49세,"58,336","4,332","1,543","6,512","4,510","3,616","4,300","4,821","2,932","3,990","3,826","2,028","2,310","6,504","3,952","3,160"
2021년03월_계_50~59세,"58,038","4,673","2,115","6,323","4,193","3,850","4,397","5,164","3,040","4,157","3,622","2,065","2,200","5,870","3,692","2,677"
2021년03월_계_60~69세,"49,499","4,260","1,998","5,357","3,390","3,205","3,858","3,995","3,010","3,921","3,393","2,004","1,790","4,205","2,948","2,165"
2021년03월_계_70~79세,"29,747","2,502","1,205","3,070","1,936","2,058","2,278","2,522","1,778","2,458","2,053","1,230","1,004","2,531","1,659","1,463"
2021년03월_계_80~89세,"12,024","1,161",512,"1,318",861,805,922,"1,156",536,905,675,442,404,"1,089",676,562
2021년03월_계_90~99세,"1,763",168,82,209,137,95,117,173,65,140,87,68,66,179,100,77
2021년03월_계_100세 이상,178,22,11,26,13,5,8,8,3,32,5,6,5,22,8,4
2021년03월_남_총인구수,"188,045","15,963","6,530","21,547","13,710","11,874","13,972","15,500","10,871","12,991","12,058","6,831","7,074","18,334","11,299","9,491"
2021년03월_남_연령구간인구수,"188,045","15,963","6,530","21,547","13,710","11,874","13,972","15,500","10,871","12,991","12,058","6,831","7,074","18,334","11,299","9,491"
2021년03월_남_0~9세,"12,309",982,172,"1,396","1,234",610,840,"1,198",413,896,"1,062",392,535,"1,115",767,697
2021년03월_남_10~19세,"14,104","1,014",281,"1,633",996,833,"1,011","1,105",455,920,881,389,515,"2,016","1,181",874
2021년03월_남_20~29세,"31,775","2,883","1,230","4,865","2,037","1,946","2,207","2,611","2,236","1,716","1,601","1,145","1,074","3,018","1,654","1,552"
2021년03월_남_30~39세,"31,201","2,967","1,153","3,068","2,317","2,144","2,477","2,215","2,439","2,184","1,930","1,254","1,307","2,637","1,532","1,577"
