,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년04월_계_총인구수,"9,588,711","147,113","124,477","228,755","291,534","343,006","338,480","391,502","434,383","303,622","321,227","517,417","474,843","307,825","369,577","452,112","577,580","400,399","229,639","377,696","388,672","489,464","420,318","533,579","660,160","465,331"
2021년04월_계_연령구간인구수,"9,588,711","147,113","124,477","228,755","291,534","343,006","338,480","391,502","434,383","303,622","321,227","517,417","474,843","307,825","369,577","452,112","577,580","400,399","229,639","377,696","388,672","489,464","420,318","533,579","660,160","465,331"
2021년04월_계_0~9세,"607,863","7,306","6,588","13,270","19,940","18,733","20,127","22,289","28,613","15,092","18,013","32,149","28,672","19,629","24,367","31,084","38,575","27,064","12,043","25,496","24,053","21,264","32,899","35,921","49,108","35,568"
2021년04월_계_10~19세,"770,905","10,859","6,699","15,290","19,576","25,430","23,424","26,154","36,901","21,519","25,087","51,969","37,932","23,293","28,204","50,201","44,196","29,669","14,431","24,036","27,436","28,135","44,925","58,247","58,170","39,122"
2021년04월_계_20~29세,"1,448,195","23,240","18,376","33,752","44,600","62,496","56,144","55,811","66,420","42,307","42,717","72,052","66,462","49,676","61,684","59,043","86,839","55,115","37,090","59,252","65,627","108,707","54,113","72,221","92,675","61,776"
2021년04월_계_30~39세,"1,458,508","19,729","19,937","38,345","48,132","55,324","49,476","57,337","59,426","37,877","40,023","63,943","67,403","44,594","63,991","57,178","98,566","62,080","35,335","69,380","61,761","85,746","61,953","80,020","107,997","72,955"
2021년04월_계_40~49세,"1,508,768","21,690","17,838","35,259","44,433","51,659","49,710","56,929","69,092","45,670","47,495","84,484","75,314","46,526","60,530","78,214","90,391","62,311","32,222","55,967","58,314","67,213","76,336","98,177","107,983","75,011"
2021년04월_계_50~59세,"1,511,117","25,125","20,457","36,771","47,016","53,974","52,522","68,616","69,103","52,042","56,344","87,176","76,641","48,770","54,271","76,163","85,053","62,668","39,657","56,381","57,982","67,363","63,090","80,315","101,452","72,165"
2021년04월_계_60~69세,"1,259,839","20,153","17,881","29,073","37,230","43,036","46,548","59,389","55,505","46,344","50,373","69,012","65,165","38,799","39,995","58,902","77,586","56,530","33,600","47,328","49,743","59,325","47,874","60,078","85,310","65,060"
2021년04월_계_70~79세,"697,684","12,006","10,639","16,811","20,622","22,072","27,505","31,248","32,900","29,531","27,506","37,283","38,793","23,641","23,755","28,726","38,784","31,716","17,815","26,867","29,706","36,629","27,308","34,230","40,580","31,011"
2021년04월_계_80~89세,"282,213","5,990","4,961","8,630","8,748","9,024","11,533","11,996","14,371","11,777","11,888","16,755","16,152","11,259","11,111","10,884","15,043","11,713","6,559","11,446","12,105","13,357","9,913","11,995","14,294","10,709"
2021년04월_계_90~99세,"40,883",951,910,"1,440","1,135","1,185","1,414","1,626","1,950","1,415","1,661","2,484","2,028","1,528","1,564","1,649","2,457","1,479",840,"1,477","1,768","1,622","1,764","2,221","2,477","1,838"
2021년04월_계_100세 이상,"2,736",64,191,114,102,73,77,107,102,48,120,110,281,110,105,68,90,54,47,66,177,103,143,154,114,116
2021년04월_남_총인구수,"4,661,711","71,567","60,787","110,038","142,277","165,555","167,643","193,444","209,667","148,033","156,570","249,522","227,446","147,264","174,050","221,708","278,466","197,653","116,211","186,652","188,032","245,666","201,075","255,243","318,374","228,768"
2021년04월_남_연령구간인구수,"4,661,711","71,567","60,787","110,038","142,277","165,555","167,643","193,444","209,667","148,033","156,570","249,522","227,446","147,264","174,050","221,708","278,466","197,653","116,211","186,652","188,032","245,666","201,075","255,243","318,374","228,768"
2021년04월_남_0~9세,"311,894","3,655","3,399","6,803","10,170","9,538","10,331","11,520","14,604","7,819","9,327","16,558","14,700","9,980","12,424","15,974","19,675","13,797","6,189","13,014","12,264","10,925","16,947","18,543","25,299","18,439"
2021년04월_남_10~19세,"394,929","5,401","3,334","7,754","9,766","12,903","11,838","13,270","18,731","11,029","12,923","26,953","19,381","11,626","14,199","26,151","22,546","15,271","7,276","12,514","14,086","14,360","22,903","30,340","29,756","20,618"
2021년04월_남_20~29세,"700,106","11,375","8,652","15,966","22,023","29,255","27,753","27,613","31,930","20,781","21,727","36,873","31,875","23,721","27,779","30,018","40,065","27,054","18,616","27,594","31,684","52,892","26,004","34,483","44,058","30,315"
2021년04월_남_30~39세,"729,046","9,786","9,970","19,109","23,639","27,408","25,515","29,558","29,655","19,875","20,490","31,883","33,216","22,028","30,238","28,202","49,848","31,773","19,502","35,546","31,227","47,376","28,497","36,698","51,718","36,289"
2021년04월_남_40~49세,"747,653","10,578","9,146","17,337","22,258","25,478","25,679","29,402","34,064","23,442","23,554","40,225","37,277","22,996","29,419","37,393","45,418","31,889","17,022","28,831","29,291","35,894","35,834","45,539","52,075","37,612"
2021년04월_남_50~59세,"743,744","12,685","10,362","18,151","23,433","26,421","26,604","33,879","34,105","25,608","26,867","42,277","36,865","23,782","26,613","37,883","40,800","31,054","19,966","28,681","27,904","33,942","31,100","40,261","49,211","35,290"
2021년04월_남_60~69세,"594,968","10,036","8,916","13,918","18,187","20,488","22,537","28,836","26,117","21,627","23,932","32,062","30,012","18,258","18,603","28,215","35,953","26,710","16,447","23,040","22,943","27,604","22,120","27,511","40,202","30,694"
2021년04월_남_70~79세,"318,032","5,318","4,793","7,303","9,178","10,147","12,452","14,280","14,367","12,781","12,686","16,168","17,073","10,093","10,027","13,591","18,163","15,034","8,376","12,376","13,251","16,733","12,798","16,202","19,834","15,008"
2021년04월_남_80~89세,"110,235","2,417","1,867","3,231","3,287","3,571","4,523","4,699","5,588","4,680","4,575","5,888","6,451","4,340","4,282","3,873","5,422","4,691","2,601","4,638","4,876","5,555","4,354","5,120","5,608","4,098"
2021년04월_남_90~99세,"10,401",295,281,431,302,327,390,359,480,377,454,616,555,408,432,394,548,367,203,403,455,365,479,517,587,376
2021년04월_남_100세 이상,703,21,67,35,34,19,21,28,26,14,35,19,41,32,34,14,28,13,13,15,51,20,39,29,26,29
2021년04월_여_총인구수,"4,927,000","75,546","63,690","118,717","149,257","177,451","170,837","198,058","224,716","155,589","164,657","267,895","247,397","160,561","195,527","230,404","299,114","202,746","113,428","191,044","200,640","243,798","219,243","278,336","341,786","236,563"
2021년04월_여_연령구간인구수,"4,927,000","75,546","63,690","118,717","149,257","177,451","170,837","198,058","224,716","155,589","164,657","267,895","247,397","160,561","195,527","230,404","299,114","202,746","113,428","191,044","200,640","243,798","219,243","278,336","341,786","236,563"
2021년04월_여_0~9세,"295,969","3,651","3,189","6,467","9,770","9,195","9,796","10,769","14,009","7,273","8,686","15,591","13,972","9,649","11,943","15,110","18,900","13,267","5,854","12,482","11,789","10,339","15,952","17,378","23,809","17,129"
2021년04월_여_10~19세,"375,976","5,458","3,365","7,536","9,810","12,527","11,586","12,884","18,170","10,490","12,164","25,016","18,551","11,667","14,005","24,050","21,650","14,398","7,155","11,522","13,350","13,775","22,022","27,907","28,414","18,504"
2021년04월_여_20~29세,"748,089","11,865","9,724","17,786","22,577","33,241","28,391","28,198","34,490","21,526","20,990","35,179","34,587","25,955","33,905","29,025","46,774","28,061","18,474","31,658","33,943","55,815","28,109","37,738","48,617","31,461"
2021년04월_여_30~39세,"729,462","9,943","9,967","19,236","24,493","27,916","23,961","27,779","29,771","18,002","19,533","32,060","34,187","22,566","33,753","28,976","48,718","30,307","15,833","33,834","30,534","38,370","33,456","43,322","56,279","36,666"
2021년04월_여_40~49세,"761,115","11,112","8,692","17,922","22,175","26,181","24,031","27,527","35,028","22,228","23,941","44,259","38,037","23,530","31,111","40,821","44,973","30,422","15,200","27,136","29,023","31,319","40,502","52,638","55,908","37,399"
2021년04월_여_50~59세,"767,373","12,440","10,095","18,620","23,583","27,553","25,918","34,737","34,998","26,434","29,477","44,899","39,776","24,988","27,658","38,280","44,253","31,614","19,691","27,700","30,078","33,421","31,990","40,054","52,241","36,875"
2021년04월_여_60~69세,"664,871","10,117","8,965","15,155","19,043","22,548","24,011","30,553","29,388","24,717","26,441","36,950","35,153","20,541","21,392","30,687","41,633","29,820","17,153","24,288","26,800","31,721","25,754","32,567","45,108","34,366"
2021년04월_여_70~79세,"379,652","6,688","5,846","9,508","11,444","11,925","15,053","16,968","18,533","16,750","14,820","21,115","21,720","13,548","13,728","15,135","20,621","16,682","9,439","14,491","16,455","19,896","14,510","18,028","20,746","16,003"
2021년04월_여_80~89세,"171,978","3,573","3,094","5,399","5,461","5,453","7,010","7,297","8,783","7,097","7,313","10,867","9,701","6,919","6,829","7,011","9,621","7,022","3,958","6,808","7,229","7,802","5,559","6,875","8,686","6,611"
2021년04월_여_90~99세,"30,482",656,629,"1,009",833,858,"1,024","1,267","1,470","1,038","1,207","1,868","1,473","1,120","1,132","1,255","1,909","1,112",637,"1,074","1,313","1,257","1,285","1,704","1,890","1,462"
2021년04월_여_100세 이상,"2,033",43,124,79,68,54,56,79,76,34,85,91,240,78,71,54,62,41,34,51,126,83,104,125,88,87
