,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년02월_계_총인구수,"80,375","3,825","2,636","1,140","2,044","1,838","2,314","1,613","1,665","1,495",977,"1,524","1,872","2,269","1,889","2,107","2,719","3,473","3,359","6,194","6,744","4,152","7,163","17,363"
2021년02월_계_연령구간인구수,"80,375","3,825","2,636","1,140","2,044","1,838","2,314","1,613","1,665","1,495",977,"1,524","1,872","2,269","1,889","2,107","2,719","3,473","3,359","6,194","6,744","4,152","7,163","17,363"
2021년02월_계_0~9세,"4,916",165,97,48,59,67,67,46,64,55,24,55,66,94,87,78,119,175,180,569,578,204,399,"1,620"
2021년02월_계_10~19세,"7,225",184,163,55,112,100,117,71,88,62,34,67,87,151,117,182,195,348,236,628,766,328,632,"2,502"
2021년02월_계_20~29세,"7,536",265,235,64,148,118,130,75,94,108,68,100,127,178,102,140,167,371,360,681,611,475,768,"2,151"
2021년02월_계_30~39세,"6,336",215,153,61,115,83,109,66,94,67,56,60,97,124,95,91,150,272,278,687,639,394,597,"1,833"
2021년02월_계_40~49세,"10,655",347,278,108,166,161,227,133,151,115,72,137,166,220,170,261,298,458,456,953,"1,108",498,986,"3,186"
2021년02월_계_50~59세,"13,653",690,493,179,368,306,351,234,285,259,162,241,336,407,316,496,520,610,532,995,"1,029",692,"1,316","2,836"
2021년02월_계_60~69세,"13,071",792,548,230,426,369,495,360,369,278,225,265,347,431,393,356,599,534,574,807,976,717,"1,161","1,819"
2021년02월_계_70~79세,"9,798",619,390,194,325,338,457,305,271,288,186,304,346,331,351,291,411,445,486,572,680,531,778,899
2021년02월_계_80~89세,"6,192",469,233,170,276,260,313,275,206,238,130,256,262,281,220,189,224,233,218,268,311,263,455,442
2021년02월_계_90~99세,952,76,42,31,48,35,46,47,42,25,20,34,35,50,35,22,34,27,38,32,44,47,68,74
2021년02월_계_100세 이상,41,3,4,0,1,1,2,1,1,0,0,5,3,2,3,1,2,0,1,2,2,3,3,1
2021년02월_남_총인구수,"39,409","1,836","1,343",556,"1,008",906,"1,099",775,841,769,506,769,928,"1,123",928,"1,041","1,337","1,650","1,589","2,982","3,255","2,015","3,625","8,528"
2021년02월_남_연령구간인구수,"39,409","1,836","1,343",556,"1,008",906,"1,099",775,841,769,506,769,928,"1,123",928,"1,041","1,337","1,650","1,589","2,982","3,255","2,015","3,625","8,528"
2021년02월_남_0~9세,"2,602",90,56,23,27,39,27,28,34,32,19,29,35,52,50,40,61,94,96,305,291,103,205,866
2021년02월_남_10~19세,"3,732",93,72,30,55,56,59,37,51,37,20,34,48,84,59,94,118,174,113,294,374,189,328,"1,313"
2021년02월_남_20~29세,"4,208",138,137,37,83,75,79,39,57,68,42,55,75,89,57,82,108,215,201,371,354,274,425,"1,147"
2021년02월_남_30~39세,"3,241",122,82,31,67,48,58,37,55,31,32,31,52,72,54,50,69,135,143,343,307,222,312,888
2021년02월_남_40~49세,"5,438",184,153,72,101,98,144,85,93,70,47,94,102,119,106,125,160,216,226,450,558,239,518,"1,478"
2021년02월_남_50~59세,"7,300",368,282,98,205,179,195,139,163,169,101,148,201,230,182,283,276,304,274,507,525,332,717,"1,422"
