카테고리,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2021년04월_계_총인구수,"229,639","23,290","42,077","18,847","24,420","15,404","33,200","21,517","10,916","20,536","19,432"
2021년04월_계_연령구간인구수,"229,639","23,290","42,077","18,847","24,420","15,404","33,200","21,517","10,916","20,536","19,432"
2021년04월_계_0~9세,"12,043",663,"3,144",838,970,637,"1,770","1,517",530,"1,057",917
2021년04월_계_10~19세,"14,431",709,"2,313","1,175","1,337",967,"2,255","2,106",684,"1,475","1,410"
2021년04월_계_20~29세,"37,090","6,679","7,349","2,843","3,958","2,259","4,918","2,436","1,410","2,706","2,532"
2021년04월_계_30~39세,"35,335","5,564","8,384","2,481","3,569","2,005","4,740","2,408","1,401","2,548","2,235"
2021년04월_계_40~49세,"32,222","2,726","6,213","2,534","3,190","2,034","4,825","3,466","1,514","2,890","2,830"
2021년04월_계_50~59세,"39,657","2,946","6,169","3,757","4,692","3,204","5,863","3,703","1,974","3,856","3,493"
2021년04월_계_60~69세,"33,600","2,407","4,919","3,085","3,955","2,511","4,919","3,297","1,938","3,457","3,112"
2021년04월_계_70~79세,"17,815","1,158","2,554","1,549","1,912","1,321","2,736","1,770","1,056","1,815","1,944"
2021년04월_계_80~89세,"6,559",382,916,516,727,419,"1,019",711,370,648,851
2021년04월_계_90~99세,840,53,107,66,106,45,151,99,38,81,94
2021년04월_계_100세 이상,47,3,9,3,4,2,4,4,1,3,14
2021년04월_남_총인구수,"116,211","12,720","21,640","9,550","12,246","7,780","16,588","10,368","5,428","10,200","9,691"
2021년04월_남_연령구간인구수,"116,211","12,720","21,640","9,550","12,246","7,780","16,588","10,368","5,428","10,200","9,691"
2021년04월_남_0~9세,"6,189",314,"1,641",431,523,332,902,764,272,532,478
2021년04월_남_10~19세,"7,276",346,"1,129",637,643,481,"1,210","1,040",334,750,706
2021년04월_남_20~29세,"18,616","3,102","3,642","1,483","1,951","1,159","2,499","1,253",770,"1,412","1,345"
2021년04월_남_30~39세,"19,502","3,442","4,637","1,328","1,986","1,102","2,527","1,173",743,"1,353","1,211"
2021년04월_남_40~49세,"17,022","1,721","3,415","1,300","1,661","1,015","2,484","1,706",783,"1,459","1,478"
2021년04월_남_50~59세,"19,966","1,729","3,139","1,894","2,330","1,629","2,878","1,753",958,"1,862","1,794"
2021년04월_남_60~69세,"16,447","1,302","2,468","1,509","1,920","1,245","2,370","1,573",899,"1,680","1,481"
2021년04월_남_70~79세,"8,376",589,"1,142",756,925,629,"1,271",819,517,869,859
2021년04월_남_80~89세,"2,601",164,395,194,284,174,401,271,148,255,315
2021년04월_남_90~99세,203,10,30,18,22,14,43,15,4,26,21
2021년04월_남_100세 이상,13,1,2,0,1,0,3,1,0,2,3
2021년04월_여_총인구수,"113,428","10,570","20,437","9,297","12,174","7,624","16,612","11,149","5,488","10,336","9,741"
2021년04월_여_연령구간인구수,"113,428","10,570","20,437","9,297","12,174","7,624","16,612","11,149","5,488","10,336","9,741"
2021년04월_여_0~9세,"5,854",349,"1,503",407,447,305,868,753,258,525,439
2021년04월_여_10~19세,"7,155",363,"1,184",538,694,486,"1,045","1,066",350,725,704
2021년04월_여_20~29세,"18,474","3,577","3,707","1,360","2,007","1,100","2,419","1,183",640,"1,294","1,187"
2021년04월_여_30~39세,"15,833","2,122","3,747","1,153","1,583",903,"2,213","1,235",658,"1,195","1,024"
2021년04월_여_40~49세,"15,200","1,005","2,798","1,234","1,529","1,019","2,341","1,760",731,"1,431","1,352"
2021년04월_여_50~59세,"19,691","1,217","3,030","1,863","2,362","1,575","2,985","1,950","1,016","1,994","1,699"
2021년04월_여_60~69세,"17,153","1,105","2,451","1,576","2,035","1,266","2,549","1,724","1,039","1,777","1,631"
2021년04월_여_70~79세,"9,439",569,"1,412",793,987,692,"1,465",951,539,946,"1,085"
2021년04월_여_80~89세,"3,958",218,521,322,443,245,618,440,222,393,536
2021년04월_여_90~99세,637,43,77,48,84,31,108,84,34,55,73
2021년04월_여_100세 이상,34,2,7,3,3,2,1,3,1,1,11
