카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2021년02월_계_총인구수,"27,980","12,580","2,885","2,315","2,579","3,022","4,599"
2021년02월_계_연령구간인구수,"27,980","12,580","2,885","2,315","2,579","3,022","4,599"
2021년02월_계_0~9세,"1,355",842,76,73,84,94,186
2021년02월_계_10~19세,"1,812","1,132",169,89,94,114,214
2021년02월_계_20~29세,"2,407","1,252",218,192,159,160,426
2021년02월_계_30~39세,"2,320","1,254",158,146,195,217,350
2021년02월_계_40~49세,"3,539","1,937",315,240,237,316,494
2021년02월_계_50~59세,"5,043","2,172",532,455,473,509,902
2021년02월_계_60~69세,"5,639","2,043",664,489,646,731,"1,066"
2021년02월_계_70~79세,"3,616","1,217",468,373,429,505,624
2021년02월_계_80~89세,"1,906",615,242,228,224,314,283
2021년02월_계_90~99세,327,113,43,26,35,58,52
2021년02월_계_100세 이상,16,3,0,4,3,4,2
2021년02월_남_총인구수,"14,244","6,359","1,482","1,176","1,328","1,560","2,339"
2021년02월_남_연령구간인구수,"14,244","6,359","1,482","1,176","1,328","1,560","2,339"
2021년02월_남_0~9세,689,421,43,38,41,51,95
2021년02월_남_10~19세,971,615,94,38,53,59,112
2021년02월_남_20~29세,"1,416",730,129,114,102,99,242
2021년02월_남_30~39세,"1,257",646,95,74,118,124,200
2021년02월_남_40~49세,"1,931",974,173,150,145,203,286
2021년02월_남_50~59세,"2,703","1,148",305,252,229,289,480
2021년02월_남_60~69세,"2,829","1,000",325,252,343,382,527
2021년02월_남_70~79세,"1,681",572,211,165,200,239,294
2021년02월_남_80~89세,701,226,101,87,88,109,90
2021년02월_남_90~99세,65,26,6,6,9,5,13
2021년02월_남_100세 이상,1,1,0,0,0,0,0
2021년02월_여_총인구수,"13,736","6,221","1,403","1,139","1,251","1,462","2,260"
2021년02월_여_연령구간인구수,"13,736","6,221","1,403","1,139","1,251","1,462","2,260"
2021년02월_여_0~9세,666,421,33,35,43,43,91
2021년02월_여_10~19세,841,517,75,51,41,55,102
2021년02월_여_20~29세,991,522,89,78,57,61,184
2021년02월_여_30~39세,"1,063",608,63,72,77,93,150
2021년02월_여_40~49세,"1,608",963,142,90,92,113,208
2021년02월_여_50~59세,"2,340","1,024",227,203,244,220,422
2021년02월_여_60~69세,"2,810","1,043",339,237,303,349,539
2021년02월_여_70~79세,"1,935",645,257,208,229,266,330
2021년02월_여_80~89세,"1,205",389,141,141,136,205,193
2021년02월_여_90~99세,262,87,37,20,26,53,39
2021년02월_여_100세 이상,15,2,0,4,3,4,2
