카테고리,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020년06월_계_총인구수,"2,427,954","76,984","342,627","172,802","147,482","438,608","426,919","565,378","257,154"
2020년06월_계_연령구간인구수,"2,427,954","76,984","342,627","172,802","147,482","438,608","426,919","565,378","257,154"
2020년06월_계_0~9세,"183,631","5,342","25,923","7,941","7,052","34,805","30,690","42,006","29,872"
2020년06월_계_10~19세,"230,453","5,097","27,046","11,362","9,705","44,367","52,376","56,915","23,585"
2020년06월_계_20~29세,"322,265","11,866","41,737","22,023","20,370","61,048","55,794","80,365","29,062"
2020년06월_계_30~39세,"300,366","11,041","44,676","17,999","17,462","54,527","43,839","68,579","42,243"
2020년06월_계_40~49세,"387,880","10,813","51,576","23,512","20,672","73,327","73,985","91,267","42,728"
2020년06월_계_50~59세,"427,621","11,432","57,362","34,955","25,328","77,610","75,322","104,991","40,621"
2020년06월_계_60~69세,"316,981","10,126","50,182","30,371","23,649","51,864","50,887","71,393","28,509"
2020년06월_계_70~79세,"173,456","7,373","29,976","17,108","15,112","27,865","28,530","33,827","13,665"
2020년06월_계_80~89세,"75,574","3,324","12,578","6,681","7,151","11,799","13,636","14,306","6,099"
2020년06월_계_90~99세,"9,024",469,"1,448",750,897,"1,310","1,762","1,645",743
2020년06월_계_100세 이상,703,101,123,100,84,86,98,84,27
2020년06월_남_총인구수,"1,198,815","37,036","168,940","86,639","70,945","218,514","206,873","279,227","130,641"
2020년06월_남_연령구간인구수,"1,198,815","37,036","168,940","86,639","70,945","218,514","206,873","279,227","130,641"
2020년06월_남_0~9세,"94,046","2,755","13,241","4,081","3,657","17,827","15,768","21,509","15,208"
2020년06월_남_10~19세,"120,530","2,600","14,169","5,964","5,115","23,072","27,706","29,552","12,352"
2020년06월_남_20~29세,"172,679","5,690","22,333","12,112","10,267","33,231","30,094","42,978","15,974"
2020년06월_남_30~39세,"155,746","5,693","23,532","10,168","9,162","28,376","21,253","35,539","22,023"
2020년06월_남_40~49세,"191,259","5,534","26,595","12,599","10,391","35,946","33,748","44,164","22,282"
2020년06월_남_50~59세,"209,487","5,624","27,858","17,528","12,298","38,549","36,571","50,795","20,264"
2020년06월_남_60~69세,"150,908","4,680","23,293","14,257","10,806","25,237","23,931","34,523","14,181"
2020년06월_남_70~79세,"75,629","3,108","13,091","7,474","6,430","11,905","12,436","14,975","6,210"
2020년06월_남_80~89세,"26,384","1,218","4,478","2,289","2,578","4,089","4,933","4,813","1,986"
2020년06월_남_90~99세,"1,982",112,316,144,223,265,407,362,153
2020년06월_남_100세 이상,165,22,34,23,18,17,26,17,8
2020년06월_여_총인구수,"1,229,139","39,948","173,687","86,163","76,537","220,094","220,046","286,151","126,513"
2020년06월_여_연령구간인구수,"1,229,139","39,948","173,687","86,163","76,537","220,094","220,046","286,151","126,513"
2020년06월_여_0~9세,"89,585","2,587","12,682","3,860","3,395","16,978","14,922","20,497","14,664"
2020년06월_여_10~19세,"109,923","2,497","12,877","5,398","4,590","21,295","24,670","27,363","11,233"
2020년06월_여_20~29세,"149,586","6,176","19,404","9,911","10,103","27,817","25,700","37,387","13,088"
2020년06월_여_30~39세,"144,620","5,348","21,144","7,831","8,300","26,151","22,586","33,040","20,220"
2020년06월_여_40~49세,"196,621","5,279","24,981","10,913","10,281","37,381","40,237","47,103","20,446"
2020년06월_여_50~59세,"218,134","5,808","29,504","17,427","13,030","39,061","38,751","54,196","20,357"
2020년06월_여_60~69세,"166,073","5,446","26,889","16,114","12,843","26,627","26,956","36,870","14,328"
2020년06월_여_70~79세,"97,827","4,265","16,885","9,634","8,682","15,960","16,094","18,852","7,455"
2020년06월_여_80~89세,"49,190","2,106","8,100","4,392","4,573","7,710","8,703","9,493","4,113"
2020년06월_여_90~99세,"7,042",357,"1,132",606,674,"1,045","1,355","1,283",590
2020년06월_여_100세 이상,538,79,89,77,66,69,72,67,19
