,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021년07월_계_총인구수,"221,697","14,569","36,097","14,052","11,328","6,405","15,493","14,419","4,422","4,687","2,628","17,017","55,355","14,977","10,248"
2021년07월_계_연령구간인구수,"221,697","14,569","36,097","14,052","11,328","6,405","15,493","14,419","4,422","4,687","2,628","17,017","55,355","14,977","10,248"
2021년07월_계_0~9세,"18,265",925,"3,131","1,066",771,310,"1,523","1,146",137,157,53,908,"6,664",911,563
2021년07월_계_10~19세,"23,347","1,331","4,424","1,149",866,848,"1,800","1,174",261,219,115,"1,517","7,973",909,761
2021년07월_계_20~29세,"30,738","1,530","5,165","1,633","1,319",728,"2,260","2,584",370,394,174,"2,795","7,113","3,153","1,520"
2021년07월_계_30~39세,"30,508","1,453","5,015","1,844","1,245",675,"2,680","2,481",355,356,152,"2,174","8,297","2,462","1,319"
2021년07월_계_40~49세,"34,765","1,970","6,624","1,953","1,622",709,"2,093","2,096",483,491,222,"2,538","10,675","1,844","1,445"
2021년07월_계_50~59세,"35,186","2,427","5,559","2,601","2,148","1,085","2,073","1,930",824,845,423,"2,827","8,228","2,264","1,952"
2021년07월_계_60~69세,"27,776","2,584","3,630","2,202","1,840","1,112","1,689","1,649","1,008","1,068",698,"2,541","4,125","2,006","1,624"
2021년07월_계_70~79세,"13,126","1,407","1,638","1,037",888,578,875,863,563,659,401,"1,138","1,448",919,712
2021년07월_계_80~89세,"7,004",835,816,480,531,314,433,432,374,428,340,518,742,446,315
2021년07월_계_90~99세,950,104,92,84,95,45,64,63,45,64,48,60,90,60,36
2021년07월_계_100세 이상,32,3,3,3,3,1,3,1,2,6,2,1,0,3,1
2021년07월_남_총인구수,"114,913","7,412","18,991","7,352","5,769","3,458","8,454","7,346","2,366","2,483","1,362","8,473","27,666","8,544","5,237"
2021년07월_남_연령구간인구수,"114,913","7,412","18,991","7,352","5,769","3,458","8,454","7,346","2,366","2,483","1,362","8,473","27,666","8,544","5,237"
2021년07월_남_0~9세,"9,431",465,"1,598",536,398,158,796,587,79,74,32,474,"3,455",475,304
2021년07월_남_10~19세,"12,221",709,"2,287",645,460,495,941,596,154,112,61,774,"4,155",476,356
2021년07월_남_20~29세,"17,427",903,"3,064",863,726,406,"1,380","1,295",230,241,103,"1,494","3,760","2,185",777
2021년07월_남_30~39세,"16,425",774,"2,670","1,001",641,402,"1,534","1,319",217,221,94,"1,237","3,972","1,578",765
2021년07월_남_40~49세,"17,976","1,020","3,394","1,072",848,415,"1,189","1,137",275,299,145,"1,248","5,161","1,009",764
2021년07월_남_50~59세,"18,328","1,278","3,008","1,357","1,090",616,"1,131","1,016",451,479,226,"1,339","4,170","1,176",991
2021년07월_남_60~69세,"14,244","1,277","1,893","1,174",961,578,886,839,535,566,369,"1,183","2,127","1,012",844
2021년07월_남_70~79세,"6,055",651,760,499,404,264,418,395,270,312,191,527,612,436,316
2021년07월_남_80~89세,"2,576",312,298,187,215,115,160,146,143,164,129,180,238,179,110
2021년07월_남_90~99세,223,23,19,17,26,9,17,16,12,13,11,17,16,17,10
2021년07월_남_100세 이상,7,0,0,1,0,0,2,0,0,2,1,0,0,1,0
2021년07월_여_총인구수,"106,784","7,157","17,106","6,700","5,559","2,947","7,039","7,073","2,056","2,204","1,266","8,544","27,689","6,433","5,011"
2021년07월_여_연령구간인구수,"106,784","7,157","17,106","6,700","5,559","2,947","7,039","7,073","2,056","2,204","1,266","8,544","27,689","6,433","5,011"
2021년07월_여_0~9세,"8,834",460,"1,533",530,373,152,727,559,58,83,21,434,"3,209",436,259
2021년07월_여_10~19세,"11,126",622,"2,137",504,406,353,859,578,107,107,54,743,"3,818",433,405
2021년07월_여_20~29세,"13,311",627,"2,101",770,593,322,880,"1,289",140,153,71,"1,301","3,353",968,743
2021년07월_여_30~39세,"14,083",679,"2,345",843,604,273,"1,146","1,162",138,135,58,937,"4,325",884,554
2021년07월_여_40~49세,"16,789",950,"3,230",881,774,294,904,959,208,192,77,"1,290","5,514",835,681
2021년07월_여_50~59세,"16,858","1,149","2,551","1,244","1,058",469,942,914,373,366,197,"1,488","4,058","1,088",961
2021년07월_여_60~69세,"13,532","1,307","1,737","1,028",879,534,803,810,473,502,329,"1,358","1,998",994,780
2021년07월_여_70~79세,"7,071",756,878,538,484,314,457,468,293,347,210,611,836,483,396
2021년07월_여_80~89세,"4,428",523,518,293,316,199,273,286,231,264,211,338,504,267,205
2021년07월_여_90~99세,727,81,73,67,69,36,47,47,33,51,37,43,74,43,26
2021년07월_여_100세 이상,25,3,3,2,3,1,1,1,2,4,1,1,0,2,1
