카테고리,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020년09월_계_총인구수,"197,974","31,533","38,344","23,249","16,377","22,441","18,407","25,614","22,009"
2020년09월_계_연령구간인구수,"197,974","31,533","38,344","23,249","16,377","22,441","18,407","25,614","22,009"
2020년09월_계_0~9세,"15,543","4,670","2,835","1,781",766,"1,656",789,"1,375","1,671"
2020년09월_계_10~19세,"18,342","2,250","4,090","2,363","1,116","2,801","1,299","2,137","2,286"
2020년09월_계_20~29세,"27,307","3,385","5,621","3,328","2,213","3,077","2,839","3,826","3,018"
2020년09월_계_30~39세,"26,658","6,215","4,673","3,009","2,031","2,554","2,181","3,193","2,802"
2020년09월_계_40~49세,"33,055","5,638","6,471","3,940","2,506","3,962","2,661","3,773","4,104"
2020년09월_계_50~59세,"35,877","4,248","7,277","4,267","3,263","3,947","3,863","5,051","3,961"
2020년09월_계_60~69세,"23,943","3,212","4,193","2,563","2,513","2,628","2,809","3,685","2,340"
2020년09월_계_70~79세,"11,655","1,421","2,073","1,343","1,313","1,205","1,354","1,721","1,225"
2020년09월_계_80~89세,"4,837",419,972,571,547,534,529,741,524
2020년09월_계_90~99세,675,70,133,77,83,72,74,97,69
2020년09월_계_100세 이상,82,5,6,7,26,5,9,15,9
2020년09월_남_총인구수,"98,260","15,677","18,939","11,392","8,321","10,901","9,134","12,808","11,088"
2020년09월_남_연령구간인구수,"98,260","15,677","18,939","11,392","8,321","10,901","9,134","12,808","11,088"
2020년09월_남_0~9세,"8,035","2,439","1,506",898,394,831,420,691,856
2020년09월_남_10~19세,"9,460","1,109","2,163","1,233",536,"1,426",676,"1,135","1,182"
2020년09월_남_20~29세,"14,021","1,688","2,900","1,673","1,150","1,590","1,404","2,022","1,594"
2020년09월_남_30~39세,"13,414","3,014","2,336","1,482","1,107","1,232","1,165","1,657","1,421"
2020년09월_남_40~49세,"16,471","3,004","3,078","1,905","1,353","1,831","1,343","1,954","2,003"
2020년09월_남_50~59세,"17,664","2,016","3,535","2,101","1,665","1,910","1,924","2,468","2,045"
2020년09월_남_60~69세,"11,999","1,556","2,131","1,261","1,269","1,305","1,419","1,844","1,214"
2020년09월_남_70~79세,"5,211",704,879,597,607,549,578,749,548
2020년09월_남_80~89세,"1,787",130,373,210,204,211,185,267,207
2020년09월_남_90~99세,173,15,36,29,25,16,18,17,17
2020년09월_남_100세 이상,25,2,2,3,11,0,2,4,1
2020년09월_여_총인구수,"99,714","15,856","19,405","11,857","8,056","11,540","9,273","12,806","10,921"
2020년09월_여_연령구간인구수,"99,714","15,856","19,405","11,857","8,056","11,540","9,273","12,806","10,921"
2020년09월_여_0~9세,"7,508","2,231","1,329",883,372,825,369,684,815
2020년09월_여_10~19세,"8,882","1,141","1,927","1,130",580,"1,375",623,"1,002","1,104"
2020년09월_여_20~29세,"13,286","1,697","2,721","1,655","1,063","1,487","1,435","1,804","1,424"
2020년09월_여_30~39세,"13,244","3,201","2,337","1,527",924,"1,322","1,016","1,536","1,381"
2020년09월_여_40~49세,"16,584","2,634","3,393","2,035","1,153","2,131","1,318","1,819","2,101"
2020년09월_여_50~59세,"18,213","2,232","3,742","2,166","1,598","2,037","1,939","2,583","1,916"
2020년09월_여_60~69세,"11,944","1,656","2,062","1,302","1,244","1,323","1,390","1,841","1,126"
2020년09월_여_70~79세,"6,444",717,"1,194",746,706,656,776,972,677
2020년09월_여_80~89세,"3,050",289,599,361,343,323,344,474,317
2020년09월_여_90~99세,502,55,97,48,58,56,56,80,52
2020년09월_여_100세 이상,57,3,4,4,15,5,7,11,8
