카테고리,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2021년09월_계_총인구수,"2,392,787","74,032","340,024","166,406","144,484","437,146","419,536","548,694","262,465"
2021년09월_계_연령구간인구수,"2,392,787","74,032","340,024","166,406","144,484","437,146","419,536","548,694","262,465"
2021년09월_계_0~9세,"170,270","4,819","23,995","7,001","6,509","32,320","29,054","37,607","28,965"
2021년09월_계_10~19세,"219,795","4,907","26,187","10,313","9,109","42,097","49,635","53,202","24,345"
2021년09월_계_20~29세,"313,516","11,456","40,826","20,497","20,121","61,585","53,657","76,639","28,735"
2021년09월_계_30~39세,"286,608","10,348","42,862","16,912","16,945","52,667","42,288","63,663","40,923"
2021년09월_계_40~49세,"374,414","10,387","50,729","21,710","19,681","70,526","70,717","86,200","44,464"
2021년09월_계_50~59세,"419,587","10,888","56,307","32,701","24,342","77,879","74,773","101,716","40,981"
2021년09월_계_60~69세,"340,112","10,182","53,302","32,069","24,385","56,936","53,867","77,246","32,125"
2021년09월_계_70~79세,"176,747","7,053","30,410","17,187","14,893","28,719","29,015","35,029","14,441"
2021년09월_계_80~89세,"81,471","3,448","13,794","7,232","7,506","12,867","14,513","15,492","6,619"
2021년09월_계_90~99세,"9,884",472,"1,559",749,967,"1,500","1,951","1,839",847
2021년09월_계_100세 이상,383,72,53,35,26,50,66,61,20
2021년09월_남_총인구수,"1,179,640","35,535","167,322","83,187","69,457","217,543","202,912","270,482","133,202"
2021년09월_남_연령구간인구수,"1,179,640","35,535","167,322","83,187","69,457","217,543","202,912","270,482","133,202"
2021년09월_남_0~9세,"87,195","2,471","12,232","3,613","3,357","16,518","14,968","19,273","14,763"
2021년09월_남_10~19세,"114,664","2,495","13,732","5,357","4,795","21,891","26,161","27,554","12,679"
2021년09월_남_20~29세,"166,989","5,479","21,744","11,196","10,012","33,250","28,746","40,735","15,827"
2021년09월_남_30~39세,"150,044","5,355","22,781","9,592","8,962","27,761","20,760","33,421","21,412"
2021년09월_남_40~49세,"184,828","5,259","26,010","11,693","9,974","34,590","32,291","41,837","23,174"
2021년09월_남_50~59세,"205,568","5,407","27,504","16,514","11,923","38,636","36,077","49,090","20,417"
2021년09월_남_60~69세,"161,876","4,706","24,732","15,042","11,178","27,672","25,450","37,184","15,912"
2021년09월_남_70~79세,"77,475","2,975","13,270","7,521","6,332","12,407","12,626","15,660","6,684"
2021년09월_남_80~89세,"28,806","1,257","4,969","2,528","2,714","4,502","5,358","5,313","2,165"
2021년09월_남_90~99세,"2,126",118,335,126,207,309,460,407,164
2021년09월_남_100세 이상,69,13,13,5,3,7,15,8,5
2021년09월_여_총인구수,"1,213,147","38,497","172,702","83,219","75,027","219,603","216,624","278,212","129,263"
2021년09월_여_연령구간인구수,"1,213,147","38,497","172,702","83,219","75,027","219,603","216,624","278,212","129,263"
2021년09월_여_0~9세,"83,075","2,348","11,763","3,388","3,152","15,802","14,086","18,334","14,202"
2021년09월_여_10~19세,"105,131","2,412","12,455","4,956","4,314","20,206","23,474","25,648","11,666"
2021년09월_여_20~29세,"146,527","5,977","19,082","9,301","10,109","28,335","24,911","35,904","12,908"
2021년09월_여_30~39세,"136,564","4,993","20,081","7,320","7,983","24,906","21,528","30,242","19,511"
2021년09월_여_40~49세,"189,586","5,128","24,719","10,017","9,707","35,936","38,426","44,363","21,290"
2021년09월_여_50~59세,"214,019","5,481","28,803","16,187","12,419","39,243","38,696","52,626","20,564"
2021년09월_여_60~69세,"178,236","5,476","28,570","17,027","13,207","29,264","28,417","40,062","16,213"
2021년09월_여_70~79세,"99,272","4,078","17,140","9,666","8,561","16,312","16,389","19,369","7,757"
2021년09월_여_80~89세,"52,665","2,191","8,825","4,704","4,792","8,365","9,155","10,179","4,454"
2021년09월_여_90~99세,"7,758",354,"1,224",623,760,"1,191","1,491","1,432",683
2021년09월_여_100세 이상,314,59,40,30,23,43,51,53,15
