,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2021년05월_계_총인구수,"338,233","31,025","24,634","29,445","18,853","29,104","28,749","38,325","32,617","19,116","10,399","13,697","24,087","17,996","20,186"
2021년05월_계_연령구간인구수,"338,233","31,025","24,634","29,445","18,853","29,104","28,749","38,325","32,617","19,116","10,399","13,697","24,087","17,996","20,186"
2021년05월_계_0~9세,"20,072","1,222",994,"1,828","1,193","2,701","1,805","2,478","2,774",749,421,800,"1,199",672,"1,236"
2021년05월_계_10~19세,"23,285","1,395","1,379","1,849","1,717","1,985","1,933","2,625","2,800","1,062",699,793,"2,030","1,248","1,770"
2021년05월_계_20~29세,"56,169","6,194","4,406","4,585","2,266","4,176","3,740","5,261","3,832","2,225","3,233","3,435","5,341","4,677","2,798"
2021년05월_계_30~39세,"49,332","5,437","3,172","4,204","2,242","5,264","4,424","6,296","4,985","2,152","1,479","2,126","2,942","2,122","2,487"
2021년05월_계_40~49세,"49,557","4,143","3,013","4,237","3,023","4,748","4,119","6,221","5,769","2,407","1,291","1,681","3,453","2,315","3,137"
2021년05월_계_50~59세,"52,427","4,644","3,809","4,852","3,219","4,227","4,868","5,985","4,941","3,287","1,213","1,932","3,513","2,568","3,369"
2021년05월_계_60~69세,"46,762","4,198","3,948","4,228","2,770","3,338","4,262","5,469","4,333","3,784",984,"1,534","2,984","2,164","2,766"
2021년05월_계_70~79세,"27,489","2,522","2,577","2,464","1,566","1,768","2,452","2,864","2,280","2,314",677,933,"1,796","1,453","1,823"
2021년05월_계_80~89세,"11,631","1,136","1,185","1,074",775,795,"1,026",987,789,"1,001",348,406,725,680,704
2021년05월_계_90~99세,"1,431",129,141,116,79,93,117,130,106,130,53,54,102,92,89
2021년05월_계_100세 이상,78,5,10,8,3,9,3,9,8,5,1,3,2,5,7
2021년05월_남_총인구수,"167,463","15,707","12,623","14,787","9,085","14,091","13,983","19,049","16,304","9,543","4,960","6,558","12,002","8,973","9,798"
2021년05월_남_연령구간인구수,"167,463","15,707","12,623","14,787","9,085","14,091","13,983","19,049","16,304","9,543","4,960","6,558","12,002","8,973","9,798"
2021년05월_남_0~9세,"10,317",626,514,948,606,"1,376",906,"1,287","1,421",388,221,408,637,336,643
2021년05월_남_10~19세,"11,764",723,719,912,840,"1,008",962,"1,337","1,505",550,331,390,968,632,887
2021년05월_남_20~29세,"27,716","2,894","2,393","2,327","1,164","1,922","1,861","2,496","1,970","1,186","1,511","1,486","2,850","2,308","1,348"
2021년05월_남_30~39세,"25,467","2,826","1,758","2,154","1,144","2,484","2,257","3,269","2,510","1,172",781,"1,100","1,575","1,212","1,225"
2021년05월_남_40~49세,"25,569","2,271","1,651","2,256","1,453","2,474","2,082","3,217","2,951","1,249",634,868,"1,698","1,187","1,578"
2021년05월_남_50~59세,"26,566","2,523","2,024","2,494","1,572","2,073","2,387","2,987","2,469","1,677",625,960,"1,745","1,340","1,690"
2021년05월_남_60~69세,"22,656","2,166","1,902","2,141","1,284","1,630","2,016","2,637","2,071","1,874",433,749,"1,421","1,017","1,315"
2021년05월_남_70~79세,"12,434","1,173","1,166","1,114",661,796,"1,115","1,381","1,073","1,031",284,403,804,631,802
2021년05월_남_80~89세,"4,564",467,458,416,332,298,372,395,304,380,125,180,266,283,288
2021년05월_남_90~99세,390,37,37,24,28,27,24,42,26,36,14,13,38,26,18
2021년05월_남_100세 이상,20,1,1,1,1,3,1,1,4,0,1,1,0,1,4
2021년05월_여_총인구수,"170,770","15,318","12,011","14,658","9,768","15,013","14,766","19,276","16,313","9,573","5,439","7,139","12,085","9,023","10,388"
2021년05월_여_연령구간인구수,"170,770","15,318","12,011","14,658","9,768","15,013","14,766","19,276","16,313","9,573","5,439","7,139","12,085","9,023","10,388"
2021년05월_여_0~9세,"9,755",596,480,880,587,"1,325",899,"1,191","1,353",361,200,392,562,336,593
2021년05월_여_10~19세,"11,521",672,660,937,877,977,971,"1,288","1,295",512,368,403,"1,062",616,883
2021년05월_여_20~29세,"28,453","3,300","2,013","2,258","1,102","2,254","1,879","2,765","1,862","1,039","1,722","1,949","2,491","2,369","1,450"
2021년05월_여_30~39세,"23,865","2,611","1,414","2,050","1,098","2,780","2,167","3,027","2,475",980,698,"1,026","1,367",910,"1,262"
2021년05월_여_40~49세,"23,988","1,872","1,362","1,981","1,570","2,274","2,037","3,004","2,818","1,158",657,813,"1,755","1,128","1,559"
2021년05월_여_50~59세,"25,861","2,121","1,785","2,358","1,647","2,154","2,481","2,998","2,472","1,610",588,972,"1,768","1,228","1,679"
2021년05월_여_60~69세,"24,106","2,032","2,046","2,087","1,486","1,708","2,246","2,832","2,262","1,910",551,785,"1,563","1,147","1,451"
2021년05월_여_70~79세,"15,055","1,349","1,411","1,350",905,972,"1,337","1,483","1,207","1,283",393,530,992,822,"1,021"
2021년05월_여_80~89세,"7,067",669,727,658,443,497,654,592,485,621,223,226,459,397,416
2021년05월_여_90~99세,"1,041",92,104,92,51,66,93,88,80,94,39,41,64,66,71
2021년05월_여_100세 이상,58,4,9,7,2,6,2,8,4,5,0,2,2,4,3
