카테고리,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020년09월_계_총인구수,"1,453,952","100,993","298,030","215,266","432,525","407,138"
2020년09월_계_연령구간인구수,"1,453,952","100,993","298,030","215,266","432,525","407,138"
2020년09월_계_0~9세,"121,596","6,906","22,200","17,476","34,150","40,864"
2020년09월_계_10~19세,"158,690","7,257","32,092","22,908","43,459","52,974"
2020년09월_계_20~29세,"209,652","14,548","45,402","28,199","62,934","58,569"
2020년09월_계_30~39세,"187,856","12,929","37,350","25,871","56,188","55,518"
2020년09월_계_40~49세,"242,699","13,789","49,341","34,170","68,096","77,303"
2020년09월_계_50~59세,"233,799","15,523","49,510","33,172","72,210","63,384"
2020년09월_계_60~69세,"161,513","14,542","33,908","27,790","52,625","32,648"
2020년09월_계_70~79세,"92,665","10,179","19,054","17,280","29,153","16,999"
2020년09월_계_80~89세,"39,287","4,617","7,910","7,190","11,910","7,660"
2020년09월_계_90~99세,"5,773",636,"1,186","1,114","1,682","1,155"
2020년09월_계_100세 이상,422,67,77,96,118,64
2020년09월_남_총인구수,"719,445","49,923","146,067","103,633","214,717","205,105"
2020년09월_남_연령구간인구수,"719,445","49,923","146,067","103,633","214,717","205,105"
2020년09월_남_0~9세,"62,495","3,591","11,549","8,933","17,420","21,002"
2020년09월_남_10~19세,"82,271","3,770","16,814","11,500","22,937","27,250"
2020년09월_남_20~29세,"109,531","7,462","23,319","14,528","33,141","31,081"
2020년09월_남_30~39세,"95,829","6,743","18,885","12,824","29,197","28,180"
2020년09월_남_40~49세,"120,401","7,210","23,748","16,811","34,100","38,532"
2020년09월_남_50~59세,"115,878","7,648","24,273","15,699","35,289","32,969"
2020년09월_남_60~69세,"76,971","6,888","15,925","12,735","25,088","16,335"
2020년09월_남_70~79세,"41,011","4,485","8,484","7,728","13,025","7,289"
2020년09월_남_80~89세,"13,782","1,939","2,807","2,611","4,172","2,253"
2020년09월_남_90~99세,"1,222",172,253,252,336,209
2020년09월_남_100세 이상,54,15,10,12,12,5
2020년09월_여_총인구수,"734,507","51,070","151,963","111,633","217,808","202,033"
2020년09월_여_연령구간인구수,"734,507","51,070","151,963","111,633","217,808","202,033"
2020년09월_여_0~9세,"59,101","3,315","10,651","8,543","16,730","19,862"
2020년09월_여_10~19세,"76,419","3,487","15,278","11,408","20,522","25,724"
2020년09월_여_20~29세,"100,121","7,086","22,083","13,671","29,793","27,488"
2020년09월_여_30~39세,"92,027","6,186","18,465","13,047","26,991","27,338"
2020년09월_여_40~49세,"122,298","6,579","25,593","17,359","33,996","38,771"
2020년09월_여_50~59세,"117,921","7,875","25,237","17,473","36,921","30,415"
2020년09월_여_60~69세,"84,542","7,654","17,983","15,055","27,537","16,313"
2020년09월_여_70~79세,"51,654","5,694","10,570","9,552","16,128","9,710"
2020년09월_여_80~89세,"25,505","2,678","5,103","4,579","7,738","5,407"
2020년09월_여_90~99세,"4,551",464,933,862,"1,346",946
2020년09월_여_100세 이상,368,52,67,84,106,59
