카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020년09월_계_총인구수,"258,354","48,563","4,654","13,939","51,065","38,630","29,718","25,344","23,549","7,997","3,686","11,209"
2020년09월_계_연령구간인구수,"258,354","48,563","4,654","13,939","51,065","38,630","29,718","25,344","23,549","7,997","3,686","11,209"
2020년09월_계_0~9세,"29,687","3,397",268,871,"6,102","6,381","5,405","2,682","2,533",409,116,"1,523"
2020년09월_계_10~19세,"23,769","4,644",175,"1,513","5,909","3,388","3,355","1,752","1,712",511,120,690
2020년09월_계_20~29세,"29,067","6,445",481,"1,913","5,753","4,011","2,471","2,711","3,226",687,291,"1,078"
2020년09월_계_30~39세,"41,983","5,353",584,"1,415","7,526","8,637","6,406","4,135","4,593",674,276,"2,384"
2020년09월_계_40~49세,"43,111","7,278",562,"2,654","9,536","6,926","5,855","3,599","3,632",976,329,"1,764"
2020년09월_계_50~59세,"40,777","9,840",929,"3,016","7,959","4,958","2,910","4,350","3,253","1,374",830,"1,358"
2020년09월_계_60~69세,"29,120","6,904",888,"1,517","5,030","2,871","2,097","3,600","2,556","1,633",835,"1,189"
2020년09월_계_70~79세,"13,866","3,232",480,658,"2,304","1,071",807,"1,722","1,346","1,015",514,717
2020년09월_계_80~89세,"6,176","1,286",255,340,842,345,359,718,625,609,340,457
2020년09월_계_90~99세,771,174,31,39,104,40,51,75,70,105,34,48
2020년09월_계_100세 이상,27,10,1,3,0,2,2,0,3,4,1,1
2020년09월_남_총인구수,"131,257","24,239","2,530","7,358","25,271","19,758","15,056","12,835","12,295","3,981","1,990","5,944"
2020년09월_남_연령구간인구수,"131,257","24,239","2,530","7,358","25,271","19,758","15,056","12,835","12,295","3,981","1,990","5,944"
2020년09월_남_0~9세,"15,142","1,769",136,423,"3,057","3,251","2,791","1,392","1,282",206,55,780
2020년09월_남_10~19세,"12,464","2,411",89,800,"3,107","1,783","1,733",940,903,274,61,363
2020년09월_남_20~29세,"15,971","3,546",285,"1,150","3,046","2,126","1,320","1,477","1,830",394,181,616
2020년09월_남_30~39세,"21,863","2,815",347,759,"3,706","4,415","3,180","2,158","2,617",347,162,"1,357"
2020년09월_남_40~49세,"22,499","3,511",354,"1,419","4,729","3,735","3,060","1,911","2,002",513,214,"1,051"
2020년09월_남_50~59세,"20,317","4,763",511,"1,643","3,804","2,423","1,450","2,137","1,635",734,483,734
2020년09월_남_60~69세,"14,485","3,446",503,800,"2,393","1,430","1,013","1,770","1,265",794,486,585
2020년09월_남_70~79세,"6,332","1,448",215,261,"1,102",497,391,802,564,494,241,317
2020년09월_남_80~89세,"2,014",479,85,99,305,94,100,233,183,200,101,135
2020년09월_남_90~99세,162,46,5,4,22,4,17,15,13,24,6,6
2020년09월_남_100세 이상,8,5,0,0,0,0,1,0,1,1,0,0
2020년09월_여_총인구수,"127,097","24,324","2,124","6,581","25,794","18,872","14,662","12,509","11,254","4,016","1,696","5,265"
2020년09월_여_연령구간인구수,"127,097","24,324","2,124","6,581","25,794","18,872","14,662","12,509","11,254","4,016","1,696","5,265"
2020년09월_여_0~9세,"14,545","1,628",132,448,"3,045","3,130","2,614","1,290","1,251",203,61,743
2020년09월_여_10~19세,"11,305","2,233",86,713,"2,802","1,605","1,622",812,809,237,59,327
2020년09월_여_20~29세,"13,096","2,899",196,763,"2,707","1,885","1,151","1,234","1,396",293,110,462
2020년09월_여_30~39세,"20,120","2,538",237,656,"3,820","4,222","3,226","1,977","1,976",327,114,"1,027"
2020년09월_여_40~49세,"20,612","3,767",208,"1,235","4,807","3,191","2,795","1,688","1,630",463,115,713
2020년09월_여_50~59세,"20,460","5,077",418,"1,373","4,155","2,535","1,460","2,213","1,618",640,347,624
2020년09월_여_60~69세,"14,635","3,458",385,717,"2,637","1,441","1,084","1,830","1,291",839,349,604
2020년09월_여_70~79세,"7,534","1,784",265,397,"1,202",574,416,920,782,521,273,400
2020년09월_여_80~89세,"4,162",807,170,241,537,251,259,485,442,409,239,322
2020년09월_여_90~99세,609,128,26,35,82,36,34,60,57,81,28,42
2020년09월_여_100세 이상,19,5,1,3,0,2,1,0,2,3,1,1
