카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020년04월_계_총인구수,"216,844","14,824","36,061","13,332","11,097","5,719","13,027","14,523","4,454","4,833","2,692","17,342","53,941","14,701","10,298"
2020년04월_계_연령구간인구수,"216,844","14,824","36,061","13,332","11,097","5,719","13,027","14,523","4,454","4,833","2,692","17,342","53,941","14,701","10,298"
2020년04월_계_0~9세,"19,602","1,021","3,530","1,047",824,333,"1,397","1,287",156,198,71,"1,027","7,123",985,603
2020년04월_계_10~19세,"22,247","1,415","4,588",980,850,303,941,"1,259",266,236,123,"1,588","7,910",961,827
2020년04월_계_20~29세,"29,380","1,586","4,817","1,630","1,293",642,"1,921","2,483",405,425,201,"2,789","6,700","2,967","1,521"
2020년04월_계_30~39세,"30,758","1,571","5,260","1,768","1,248",661,"2,232","2,576",366,397,144,"2,238","8,559","2,354","1,384"
2020년04월_계_40~49세,"34,948","2,083","6,803","1,952","1,630",733,"1,855","2,112",503,510,262,"2,636","10,450","1,907","1,512"
2020년04월_계_50~59세,"35,081","2,571","5,415","2,513","2,153","1,113","1,907","2,003",894,931,465,"3,102","7,700","2,357","1,957"
2020년04월_계_60~69세,"24,434","2,285","3,211","1,932","1,620","1,004","1,473","1,461",927,987,644,"2,313","3,323","1,783","1,471"
2020년04월_계_70~79세,"12,856","1,399","1,562",979,913,568,823,876,546,669,396,"1,116","1,392",921,696
2020년04월_계_80~89세,"6,545",791,772,441,477,311,407,389,349,411,335,479,690,409,284
2020년04월_계_90~99세,927,92,97,83,85,50,65,72,40,62,47,50,92,52,40
2020년04월_계_100세 이상,66,10,6,7,4,1,6,5,2,7,4,4,2,5,3
2020년04월_남_총인구수,"111,858","7,550","18,833","6,980","5,645","3,019","7,050","7,407","2,391","2,546","1,378","8,595","26,919","8,276","5,269"
2020년04월_남_연령구간인구수,"111,858","7,550","18,833","6,980","5,645","3,019","7,050","7,407","2,391","2,546","1,378","8,595","26,919","8,276","5,269"
2020년04월_남_0~9세,"10,101",527,"1,794",534,424,176,700,670,89,94,41,527,"3,674",531,320
2020년04월_남_10~19세,"11,569",748,"2,388",514,450,158,479,625,145,131,65,820,"4,158",498,390
2020년04월_남_20~29세,"16,542",955,"2,796",879,700,348,"1,168","1,263",258,240,112,"1,491","3,516","2,005",811
2020년04월_남_30~39세,"16,417",827,"2,779",954,638,394,"1,269","1,369",232,244,89,"1,231","4,120","1,468",803
2020년04월_남_40~49세,"18,083","1,093","3,501","1,078",872,437,"1,077","1,133",288,312,166,"1,282","5,016","1,038",790
2020년04월_남_50~59세,"18,142","1,308","2,881","1,323","1,091",602,"1,028","1,060",489,516,242,"1,459","3,942","1,210",991
2020년04월_남_60~69세,"12,464","1,135","1,669","1,035",824,523,776,743,488,522,335,"1,090","1,672",905,747
2020년04월_남_70~79세,"5,923",648,719,470,432,260,386,388,263,324,191,517,583,438,304
2020년04월_남_80~89세,"2,376",280,285,171,190,111,145,139,127,150,122,164,223,166,103
2020년04월_남_90~99세,222,25,21,20,24,10,20,15,12,10,14,14,14,14,9
2020년04월_남_100세 이상,19,4,0,2,0,0,2,2,0,3,1,0,1,3,1
2020년04월_여_총인구수,"104,986","7,274","17,228","6,352","5,452","2,700","5,977","7,116","2,063","2,287","1,314","8,747","27,022","6,425","5,029"
2020년04월_여_연령구간인구수,"104,986","7,274","17,228","6,352","5,452","2,700","5,977","7,116","2,063","2,287","1,314","8,747","27,022","6,425","5,029"
2020년04월_여_0~9세,"9,501",494,"1,736",513,400,157,697,617,67,104,30,500,"3,449",454,283
2020년04월_여_10~19세,"10,678",667,"2,200",466,400,145,462,634,121,105,58,768,"3,752",463,437
2020년04월_여_20~29세,"12,838",631,"2,021",751,593,294,753,"1,220",147,185,89,"1,298","3,184",962,710
2020년04월_여_30~39세,"14,341",744,"2,481",814,610,267,963,"1,207",134,153,55,"1,007","4,439",886,581
2020년04월_여_40~49세,"16,865",990,"3,302",874,758,296,778,979,215,198,96,"1,354","5,434",869,722
2020년04월_여_50~59세,"16,939","1,263","2,534","1,190","1,062",511,879,943,405,415,223,"1,643","3,758","1,147",966
2020년04월_여_60~69세,"11,970","1,150","1,542",897,796,481,697,718,439,465,309,"1,223","1,651",878,724
2020년04월_여_70~79세,"6,933",751,843,509,481,308,437,488,283,345,205,599,809,483,392
2020년04월_여_80~89세,"4,169",511,487,270,287,200,262,250,222,261,213,315,467,243,181
2020년04월_여_90~99세,705,67,76,63,61,40,45,57,28,52,33,36,78,38,31
2020년04월_여_100세 이상,47,6,6,5,4,1,4,3,2,4,3,4,1,2,2
