카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 동백동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년01월_계_80~89세,"25,571","7,121",918,763,746,588,471,622,600,631,710,732,340,"9,958",968,0,434,521,635,361,777,547,289,"1,191","1,088",576,500,441,0,616,"1,014","8,492",870,873,997,"1,383",451,799,"1,002",852,"1,265"
2020년01월_계_90~99세,"3,877","1,068",102,110,123,89,67,93,112,97,116,90,69,"1,546",126,0,73,141,106,39,118,76,49,187,153,78,79,68,0,91,162,"1,263",112,110,128,190,75,140,171,143,194
2020년01월_계_100세 이상,178,70,1,7,7,6,5,7,8,12,9,2,6,60,6,0,0,2,8,3,4,3,3,5,9,3,5,1,0,3,5,48,8,5,3,4,1,3,10,5,9
2020년01월_남_총인구수,"526,823","130,032","17,005","13,476","10,304","11,633","4,331","4,530","9,629","12,238","22,030","18,026","6,830","215,981","19,503",0,"15,297","8,111","21,016","7,017","16,541","10,434","12,906","19,117","15,861","15,904","13,469","10,951",0,"12,153","17,701","180,810","18,108","20,688","18,529","27,665","9,233","22,695","23,772","16,715","23,405"
2020년01월_남_연령구간인구수,"526,823","130,032","17,005","13,476","10,304","11,633","4,331","4,530","9,629","12,238","22,030","18,026","6,830","215,981","19,503",0,"15,297","8,111","21,016","7,017","16,541","10,434","12,906","19,117","15,861","15,904","13,469","10,951",0,"12,153","17,701","180,810","18,108","20,688","18,529","27,665","9,233","22,695","23,772","16,715","23,405"
2020년01월_남_0~9세,"53,720","11,292","1,271","1,071",861,"1,561",174,141,698,836,"2,623","1,663",393,"23,413","1,827",0,"1,916",951,"2,359",574,"1,729","1,006","1,712","1,879","1,508","1,892","1,484","1,578",0,"1,129","1,869","19,015","1,526","2,457","1,880","2,798",845,"2,721","2,472","1,832","2,484"
2020년01월_남_10~19세,"63,114","13,263","2,028","1,242",985,846,314,288,"1,014","1,189","2,331","2,349",677,"26,559","1,959",0,"1,869",669,"1,807",714,"2,254","1,145","1,226","2,578","1,607","2,928","2,447","1,500",0,"1,540","2,316","23,292","2,012","3,067","2,718","3,684",861,"2,611","3,236","2,223","2,880"
2020년01월_남_20~29세,"68,645","17,948","2,561","1,751","1,181","1,035",451,485,"1,249","2,225","3,453","2,529","1,028","27,822","2,580",0,"1,954","1,090","3,156","1,023","2,006","1,287","2,520","2,153","2,064","1,673","1,554","1,055",0,"1,693","2,014","22,875","2,783","2,494","2,096","3,832","1,383","2,660","3,049","1,953","2,625"
2020년01월_남_30~39세,"73,351","18,250","2,161","1,658","1,299","2,182",429,457,"1,266","1,699","3,850","2,419",830,"30,318","3,282",0,"2,475","1,519","4,179","1,062","1,991","1,406","2,444","2,157","2,099","1,613","1,150","1,459",0,"1,449","2,033","24,783","3,253","2,989","1,896","3,446","1,741","3,526","3,319","2,131","2,482"
2020년01월_남_40~49세,"99,339","22,808","3,153","2,345","1,849","2,107",633,637,"1,660","2,042","3,867","3,438","1,077","41,746","3,415",0,"3,057","1,308","3,661","1,307","3,280","1,913","2,218","3,845","2,675","3,895","3,023","2,427",0,"2,216","3,506","34,785","3,121","4,445","3,821","5,399","1,498","4,353","4,556","3,158","4,434"
2020년01월_남_50~59세,"80,977","22,098","3,026","2,505","1,922","1,598",878,936,"1,694","2,037","3,099","3,079","1,324","32,016","3,154",0,"2,272","1,242","3,151","1,203","2,444","1,620","1,526","2,723","2,421","2,216","2,142","1,284",0,"2,077","2,541","26,863","2,701","3,013","2,847","4,182","1,418","3,235","3,515","2,509","3,443"
2020년01월_남_60~69세,"46,991","14,366","1,655","1,723","1,301","1,317",810,897,"1,261","1,326","1,674","1,478",924,"17,962","1,811",0,"1,109",746,"1,594",571,"1,471","1,146",798,"1,813","1,672",864,883,765,0,"1,156","1,563","14,663","1,420","1,119","1,517","2,220",806,"2,060","1,828","1,342","2,351"
2020년01월_남_70~79세,"29,244","7,172",803,856,636,744,460,440,555,631,840,777,430,"11,599","1,024",0,506,347,843,403,995,679,349,"1,395","1,274",569,567,660,0,648,"1,340","10,473",925,727,"1,246","1,460",478,"1,164","1,301","1,136","2,036"
2020년01월_남_80~89세,"10,419","2,581",327,304,247,221,161,225,210,226,266,268,126,"4,134",413,0,126,197,241,152,331,219,103,532,489,232,194,201,0,228,476,"3,704",331,339,477,591,177,336,454,384,615
2020년01월_남_90~99세,990,241,20,19,22,22,21,23,21,22,24,26,21,399,37,0,13,41,24,7,39,13,9,41,50,22,23,21,0,17,42,350,34,36,31,53,26,29,40,47,54
2020년01월_남_100세 이상,33,13,0,2,1,0,0,1,1,5,3,0,0,13,1,0,0,1,1,1,1,0,1,1,2,0,2,1,0,0,1,7,2,2,0,0,0,0,2,0,1
2020년01월_여_총인구수,"534,617","123,864","15,951","12,223","9,846","11,369","3,935","3,930","8,660","12,013","21,793","17,710","6,434","221,165","19,473",0,"15,503","8,286","21,122","6,582","16,742","10,571","12,439","20,380","16,493","17,080","13,876","11,446",0,"12,715","18,457","189,588","18,126","21,525","19,572","29,416","9,440","23,389","25,213","17,585","25,322"
2020년01월_여_연령구간인구수,"534,617","123,864","15,951","12,223","9,846","11,369","3,935","3,930","8,660","12,013","21,793","17,710","6,434","221,165","19,473",0,"15,503","8,286","21,122","6,582","16,742","10,571","12,439","20,380","16,493","17,080","13,876","11,446",0,"12,715","18,457","189,588","18,126","21,525","19,572","29,416","9,440","23,389","25,213","17,585","25,322"
2020년01월_여_0~9세,"51,348","10,859","1,227",969,821,"1,547",181,112,639,830,"2,455","1,702",376,"22,134","1,781",0,"1,849",923,"2,194",504,"1,560",992,"1,644","1,790","1,381","1,909","1,373","1,475",0,"1,039","1,720","18,355","1,443","2,430","1,851","2,738",787,"2,567","2,449","1,665","2,425"
2020년01월_여_10~19세,"59,678","11,998","1,772","1,128",879,872,263,230,868,"1,051","2,178","2,200",557,"25,100","1,855",0,"1,765",620,"1,729",685,"2,118","1,027","1,168","2,393","1,554","2,866","2,303","1,398",0,"1,420","2,199","22,580","1,892","2,936","2,618","3,628",797,"2,481","3,161","2,111","2,956"
2020년01월_여_20~29세,"63,972","15,320","2,038","1,436",899,963,345,346,963,"2,074","3,197","2,201",858,"26,098","2,528",0,"1,749",995,"3,316",916,"1,890","1,113","2,000","2,010","1,933","1,671","1,416","1,075",0,"1,568","1,918","22,554","2,586","2,514","1,939","3,747","1,402","2,607","3,245","1,933","2,581"
2020년01월_여_30~39세,"75,586","16,468","1,881","1,524","1,108","2,154",312,291,"1,022","1,429","3,743","2,337",667,"31,867","3,062",0,"2,553","1,485","4,131",889,"2,108","1,441","2,393","2,404","2,163","2,052","1,519","1,729",0,"1,545","2,393","27,251","2,877","3,379","2,269","3,894","1,679","3,975","3,624","2,368","3,186"
2020년01월_여_40~49세,"101,467","20,551","2,941","1,997","1,552","1,681",492,424,"1,383","1,867","3,756","3,437","1,021","43,118","3,376",0,"3,125","1,324","3,506","1,188","3,326","1,898","2,055","4,087","2,795","4,219","3,443","2,461",0,"2,440","3,875","37,798","3,269","4,720","4,365","5,838","1,583","4,521","5,011","3,482","5,009"
2020년01월_여_50~59세,"77,640","20,455","2,664","2,060","1,771","1,572",769,766,"1,594","2,079","3,139","2,761","1,280","31,254","2,972",0,"2,259","1,347","3,096","1,007","2,346","1,702","1,672","2,846","2,510","1,969","1,826","1,252",0,"2,061","2,389","25,931","2,628","2,634","2,633","4,197","1,425","3,199","3,357","2,447","3,411"
2020년01월_여_60~69세,"52,392","14,416","1,706","1,621","1,378","1,410",747,776,"1,100","1,403","1,802","1,566",907,"20,806","1,946",0,"1,256",773,"1,711",653,"1,719","1,303",848,"2,310","1,966","1,123",977,"1,038",0,"1,351","1,832","17,170","1,621","1,254","1,841","2,628",898,"2,174","2,184","1,658","2,912"
2020년01월_여_70~79세,"34,350","8,373","1,048",933,832,730,465,512,603,793,981,976,500,"13,770","1,304",0,579,394,956,497,"1,147",701,431,"1,731","1,482",868,654,731,0,826,"1,469","12,207","1,187","1,047","1,436","1,813",545,"1,288","1,495","1,352","2,044"
2020년01월_여_80~89세,"15,152","4,540",591,459,499,367,310,397,390,405,444,464,214,"5,824",555,0,308,324,394,209,446,328,186,659,599,344,306,240,0,388,538,"4,788",539,534,520,792,274,463,548,468,650
2020년01월_여_90~99세,"2,887",827,82,91,101,67,46,70,91,75,92,64,48,"1,147",89,0,60,100,82,32,79,63,40,146,103,56,56,47,0,74,120,913,78,74,97,137,49,111,131,96,140
2020년01월_여_100세 이상,145,57,1,5,6,6,5,6,7,7,6,2,6,47,5,0,0,1,7,2,3,3,2,4,7,3,3,0,0,3,4,41,6,3,3,4,1,3,8,5,8
