카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020년04월_계_총인구수,"105,743","7,568","3,375","2,980","5,676","4,276","4,701","4,721","5,341","2,998","3,270","4,753","8,332","5,475","8,102","19,598","14,577"
2020년04월_계_연령구간인구수,"105,743","7,568","3,375","2,980","5,676","4,276","4,701","4,721","5,341","2,998","3,270","4,753","8,332","5,475","8,102","19,598","14,577"
2020년04월_계_0~9세,"6,115",276,115,71,184,177,212,129,168,83,85,193,455,389,346,"1,509","1,723"
2020년04월_계_10~19세,"8,541",437,141,136,294,220,379,235,306,162,90,360,748,592,577,"2,123","1,741"
2020년04월_계_20~29세,"11,580",528,243,186,353,350,459,296,418,197,179,600,934,761,922,"3,234","1,920"
2020년04월_계_30~39세,"9,932",517,214,188,336,315,406,283,356,161,198,399,878,520,743,"2,367","2,051"
2020년04월_계_40~49세,"13,662",822,284,235,536,501,590,436,568,279,314,609,"1,170",806,"1,032","3,067","2,413"
2020년04월_계_50~59세,"18,764","1,391",632,513,"1,058",994,951,853,977,544,647,828,"1,436",894,"1,560","3,240","2,246"
2020년04월_계_60~69세,"17,700","1,698",735,637,"1,348",932,810,"1,081","1,074",641,842,795,"1,354",805,"1,409","2,237","1,302"
2020년04월_계_70~79세,"11,375","1,104",557,534,879,489,512,736,820,500,522,595,859,436,978,"1,168",686
2020년04월_계_80~89세,"7,046",706,397,419,596,257,327,587,569,385,339,320,430,240,487,567,420
2020년04월_계_90~99세,969,81,52,58,87,40,54,81,78,42,51,52,62,32,46,81,72
2020년04월_계_100세 이상,59,8,5,3,5,1,1,4,7,4,3,2,6,0,2,5,3
2020년04월_남_총인구수,"53,019","3,827","1,720","1,539","2,891","2,264","2,440","2,452","2,772","1,508","1,461","2,384","4,110","2,746","4,081","9,607","7,217"
2020년04월_남_연령구간인구수,"53,019","3,827","1,720","1,539","2,891","2,264","2,440","2,452","2,772","1,508","1,461","2,384","4,110","2,746","4,081","9,607","7,217"
2020년04월_남_0~9세,"3,186",153,53,39,91,104,99,74,89,44,45,99,240,203,185,784,884
2020년04월_남_10~19세,"4,415",223,91,66,153,127,191,130,145,80,45,198,367,297,312,"1,075",915
2020년04월_남_20~29세,"6,430",327,131,116,190,204,289,183,266,104,105,332,523,378,535,"1,707","1,040"
2020년04월_남_30~39세,"5,327",319,123,110,186,192,215,169,212,104,104,236,492,268,421,"1,193",983
2020년04월_남_40~49세,"7,199",459,181,150,325,271,351,279,350,165,134,311,605,419,559,"1,499","1,141"
2020년04월_남_50~59세,"9,745",693,363,301,604,524,508,449,561,311,285,434,736,473,800,"1,567","1,136"
2020년04월_남_60~69세,"8,819",869,378,338,694,498,431,573,550,323,370,380,617,410,678,"1,044",666
2020년04월_남_70~79세,"5,172",507,260,253,417,230,236,345,381,226,235,264,364,213,414,524,303
2020년04월_남_80~89세,"2,457",254,119,154,207,104,109,228,192,141,118,117,147,79,168,194,126
2020년04월_남_90~99세,257,19,21,12,22,10,11,22,26,9,20,13,18,6,9,17,22
2020년04월_남_100세 이상,12,4,0,0,2,0,0,0,0,1,0,0,1,0,0,3,1
2020년04월_여_총인구수,"52,724","3,741","1,655","1,441","2,785","2,012","2,261","2,269","2,569","1,490","1,809","2,369","4,222","2,729","4,021","9,991","7,360"
2020년04월_여_연령구간인구수,"52,724","3,741","1,655","1,441","2,785","2,012","2,261","2,269","2,569","1,490","1,809","2,369","4,222","2,729","4,021","9,991","7,360"
2020년04월_여_0~9세,"2,929",123,62,32,93,73,113,55,79,39,40,94,215,186,161,725,839
2020년04월_여_10~19세,"4,126",214,50,70,141,93,188,105,161,82,45,162,381,295,265,"1,048",826
2020년04월_여_20~29세,"5,150",201,112,70,163,146,170,113,152,93,74,268,411,383,387,"1,527",880
2020년04월_여_30~39세,"4,605",198,91,78,150,123,191,114,144,57,94,163,386,252,322,"1,174","1,068"
2020년04월_여_40~49세,"6,463",363,103,85,211,230,239,157,218,114,180,298,565,387,473,"1,568","1,272"
2020년04월_여_50~59세,"9,019",698,269,212,454,470,443,404,416,233,362,394,700,421,760,"1,673","1,110"
2020년04월_여_60~69세,"8,881",829,357,299,654,434,379,508,524,318,472,415,737,395,731,"1,193",636
2020년04월_여_70~79세,"6,203",597,297,281,462,259,276,391,439,274,287,331,495,223,564,644,383
2020년04월_여_80~89세,"4,589",452,278,265,389,153,218,359,377,244,221,203,283,161,319,373,294
2020년04월_여_90~99세,712,62,31,46,65,30,43,59,52,33,31,39,44,26,37,64,50
2020년04월_여_100세 이상,47,4,5,3,3,1,1,4,7,3,3,2,5,0,2,2,2
