,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2021년07월_계_총인구수,"337,946","30,992","24,660","29,459","18,784","29,073","28,711","38,290","32,615","19,042","10,442","13,658","24,117","17,980","20,123"
2021년07월_계_연령구간인구수,"337,946","30,992","24,660","29,459","18,784","29,073","28,711","38,290","32,615","19,042","10,442","13,658","24,117","17,980","20,123"
2021년07월_계_0~9세,"19,912","1,208",993,"1,828","1,185","2,690","1,808","2,447","2,749",732,418,797,"1,171",675,"1,211"
2021년07월_계_10~19세,"23,134","1,396","1,359","1,839","1,710","1,976","1,912","2,616","2,819","1,052",699,785,"2,020","1,213","1,738"
2021년07월_계_20~29세,"56,185","6,164","4,448","4,579","2,238","4,191","3,692","5,265","3,818","2,196","3,279","3,434","5,404","4,694","2,783"
2021년07월_계_30~39세,"49,206","5,463","3,198","4,160","2,229","5,187","4,436","6,282","4,966","2,144","1,481","2,120","2,928","2,123","2,489"
2021년07월_계_40~49세,"49,362","4,119","2,993","4,269","2,999","4,767","4,087","6,204","5,742","2,398","1,284","1,656","3,427","2,312","3,105"
2021년07월_계_50~59세,"52,264","4,606","3,788","4,831","3,207","4,237","4,857","5,955","4,964","3,239","1,213","1,927","3,515","2,563","3,362"
2021년07월_계_60~69세,"47,136","4,266","3,955","4,266","2,787","3,360","4,314","5,500","4,375","3,806",983,"1,547","3,009","2,171","2,797"
2021년07월_계_70~79세,"27,478","2,497","2,580","2,478","1,575","1,757","2,438","2,882","2,260","2,334",675,921,"1,806","1,450","1,825"
2021년07월_계_80~89세,"11,751","1,141","1,194","1,080",774,803,"1,046",997,804,"1,006",358,416,735,685,712
2021년07월_계_90~99세,"1,439",127,143,122,77,96,118,132,109,130,51,52,99,89,94
2021년07월_계_100세 이상,79,5,9,7,3,9,3,10,9,5,1,3,3,5,7
2021년07월_남_총인구수,"167,252","15,661","12,648","14,800","9,048","14,077","13,965","19,022","16,313","9,498","4,981","6,522","12,007","8,962","9,748"
2021년07월_남_연령구간인구수,"167,252","15,661","12,648","14,800","9,048","14,077","13,965","19,022","16,313","9,498","4,981","6,522","12,007","8,962","9,748"
2021년07월_남_0~9세,"10,222",617,508,943,606,"1,377",902,"1,269","1,409",383,214,407,617,342,628
2021년07월_남_10~19세,"11,732",720,713,919,839,"1,008",957,"1,339","1,514",552,328,385,963,621,874
2021년07월_남_20~29세,"27,639","2,865","2,411","2,328","1,140","1,915","1,852","2,472","1,966","1,163","1,534","1,475","2,880","2,312","1,326"
2021년07월_남_30~39세,"25,398","2,834","1,775","2,124","1,140","2,459","2,270","3,250","2,502","1,161",784,"1,097","1,569","1,199","1,234"
2021년07월_남_40~49세,"25,423","2,258","1,641","2,275","1,434","2,469","2,053","3,219","2,922","1,248",625,858,"1,683","1,184","1,554"
2021년07월_남_50~59세,"26,522","2,502","2,020","2,493","1,568","2,080","2,380","2,981","2,494","1,648",633,946,"1,759","1,330","1,688"
2021년07월_남_60~69세,"22,839","2,202","1,915","2,151","1,291","1,644","2,033","2,651","2,099","1,883",433,756,"1,425","1,029","1,327"
2021년07월_남_70~79세,"12,442","1,159","1,165","1,117",672,797,"1,104","1,393","1,069","1,038",285,404,804,633,802
2021년07월_남_80~89세,"4,624",466,463,425,332,298,387,403,308,386,131,180,270,283,292
2021년07월_남_90~99세,391,37,36,24,25,27,26,44,26,36,13,13,37,28,19
2021년07월_남_100세 이상,20,1,1,1,1,3,1,1,4,0,1,1,0,1,4
2021년07월_여_총인구수,"170,694","15,331","12,012","14,659","9,736","14,996","14,746","19,268","16,302","9,544","5,461","7,136","12,110","9,018","10,375"
2021년07월_여_연령구간인구수,"170,694","15,331","12,012","14,659","9,736","14,996","14,746","19,268","16,302","9,544","5,461","7,136","12,110","9,018","10,375"
2021년07월_여_0~9세,"9,690",591,485,885,579,"1,313",906,"1,178","1,340",349,204,390,554,333,583
2021년07월_여_10~19세,"11,402",676,646,920,871,968,955,"1,277","1,305",500,371,400,"1,057",592,864
2021년07월_여_20~29세,"28,546","3,299","2,037","2,251","1,098","2,276","1,840","2,793","1,852","1,033","1,745","1,959","2,524","2,382","1,457"
2021년07월_여_30~39세,"23,808","2,629","1,423","2,036","1,089","2,728","2,166","3,032","2,464",983,697,"1,023","1,359",924,"1,255"
2021년07월_여_40~49세,"23,939","1,861","1,352","1,994","1,565","2,298","2,034","2,985","2,820","1,150",659,798,"1,744","1,128","1,551"
2021년07월_여_50~59세,"25,742","2,104","1,768","2,338","1,639","2,157","2,477","2,974","2,470","1,591",580,981,"1,756","1,233","1,674"
2021년07월_여_60~69세,"24,297","2,064","2,040","2,115","1,496","1,716","2,281","2,849","2,276","1,923",550,791,"1,584","1,142","1,470"
2021년07월_여_70~79세,"15,036","1,338","1,415","1,361",903,960,"1,334","1,489","1,191","1,296",390,517,"1,002",817,"1,023"
2021년07월_여_80~89세,"7,127",675,731,655,442,505,659,594,496,620,227,236,465,402,420
2021년07월_여_90~99세,"1,048",90,107,98,52,69,92,88,83,94,38,39,62,61,75
2021년07월_여_100세 이상,59,4,8,6,2,6,2,9,5,5,0,2,3,4,3
