카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동
2020년10월_계_총인구수,"380,821","111,738","46,014","22,846","9,281","14,900","1,502","2,612","43,332","61,144","67,452"
2020년10월_계_연령구간인구수,"380,821","111,738","46,014","22,846","9,281","14,900","1,502","2,612","43,332","61,144","67,452"
2020년10월_계_0~9세,"35,404","11,311","3,842","1,388",474,"1,062",43,139,"4,048","4,895","8,202"
2020년10월_계_10~19세,"33,799","8,799","4,956","1,836",631,"1,202",65,207,"3,910","5,653","6,540"
2020년10월_계_20~29세,"45,060","13,473","5,496","2,815",976,"1,130",115,183,"5,749","7,810","7,313"
2020년10월_계_30~39세,"58,094","20,179","6,157","2,730",962,"1,447",91,224,"6,525","8,444","11,335"
2020년10월_계_40~49세,"66,426","19,810","8,160","3,584","1,355","2,391",156,373,"7,326","10,544","12,727"
2020년10월_계_50~59세,"63,295","17,166","7,849","4,558","1,826","2,540",264,499,"7,398","11,243","9,952"
2020년10월_계_60~69세,"47,366","12,710","5,695","3,386","1,742","2,881",380,501,"5,089","7,835","7,147"
2020년10월_계_70~79세,"21,830","5,857","2,631","1,622",831,"1,554",235,299,"2,329","3,389","3,083"
2020년10월_계_80~89세,"8,197","2,084","1,074",800,406,590,133,156,821,"1,147",986
2020년10월_계_90~99세,"1,248",331,149,107,69,96,20,29,120,163,164
2020년10월_계_100세 이상,102,18,5,20,9,7,0,2,17,21,3
2020년10월_남_총인구수,"194,783","56,660","23,919","12,169","5,108","7,585",776,"1,397","22,047","30,993","34,129"
2020년10월_남_연령구간인구수,"194,783","56,660","23,919","12,169","5,108","7,585",776,"1,397","22,047","30,993","34,129"
2020년10월_남_0~9세,"18,213","5,869","2,017",699,245,534,21,68,"2,118","2,459","4,183"
2020년10월_남_10~19세,"17,294","4,542","2,496",958,339,642,37,109,"1,973","2,821","3,377"
2020년10월_남_20~29세,"23,846","7,053","2,913","1,561",568,622,62,98,"3,033","4,144","3,792"
2020년10월_남_30~39세,"30,290","10,513","3,270","1,531",549,738,45,125,"3,359","4,513","5,647"
2020년10월_남_40~49세,"35,114","10,550","4,318","1,928",818,"1,315",87,211,"3,791","5,451","6,645"
2020년10월_남_50~59세,"32,286","8,340","4,233","2,548","1,025","1,300",142,286,"3,784","5,601","5,027"
2020년10월_남_60~69세,"23,759","6,147","2,979","1,812",965,"1,399",206,281,"2,556","3,903","3,511"
2020년10월_남_70~79세,"10,581","2,777","1,263",800,427,786,112,145,"1,106","1,626","1,539"
2020년10월_남_80~89세,"3,093",784,401,299,150,225,56,69,301,430,378
2020년10월_남_90~99세,280,79,28,26,20,22,8,5,20,42,30
2020년10월_남_100세 이상,27,6,1,7,2,2,0,0,6,3,0
2020년10월_여_총인구수,"186,038","55,078","22,095","10,677","4,173","7,315",726,"1,215","21,285","30,151","33,323"
2020년10월_여_연령구간인구수,"186,038","55,078","22,095","10,677","4,173","7,315",726,"1,215","21,285","30,151","33,323"
2020년10월_여_0~9세,"17,191","5,442","1,825",689,229,528,22,71,"1,930","2,436","4,019"
2020년10월_여_10~19세,"16,505","4,257","2,460",878,292,560,28,98,"1,937","2,832","3,163"
2020년10월_여_20~29세,"21,214","6,420","2,583","1,254",408,508,53,85,"2,716","3,666","3,521"
2020년10월_여_30~39세,"27,804","9,666","2,887","1,199",413,709,46,99,"3,166","3,931","5,688"
2020년10월_여_40~49세,"31,312","9,260","3,842","1,656",537,"1,076",69,162,"3,535","5,093","6,082"
2020년10월_여_50~59세,"31,009","8,826","3,616","2,010",801,"1,240",122,213,"3,614","5,642","4,925"
2020년10월_여_60~69세,"23,607","6,563","2,716","1,574",777,"1,482",174,220,"2,533","3,932","3,636"
2020년10월_여_70~79세,"11,249","3,080","1,368",822,404,768,123,154,"1,223","1,763","1,544"
2020년10월_여_80~89세,"5,104","1,300",673,501,256,365,77,87,520,717,608
2020년10월_여_90~99세,968,252,121,81,49,74,12,24,100,121,134
2020년10월_여_100세 이상,75,12,4,13,7,5,0,2,11,18,3
