카테고리,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2021년12월_계_총인구수,"51,638,809","9,509,458","3,350,380","2,385,412","2,948,375","1,441,611","1,452,251","1,121,592","371,895","13,565,450","1,538,492","1,597,427","2,119,257","1,786,855","1,832,803","2,626,609","3,314,183","676,759"
2021년12월_계_연령구간인구수,"51,638,809","9,509,458","3,350,380","2,385,412","2,948,375","1,441,611","1,452,251","1,121,592","371,895","13,565,450","1,538,492","1,597,427","2,119,257","1,786,855","1,832,803","2,626,609","3,314,183","676,759"
2021년12월_계_0~9세,"3,760,350","583,683","219,611","167,823","217,384","114,065","107,548","92,018","47,063","1,099,927","100,971","116,975","162,726","119,673","123,712","178,515","250,669","57,987"
2021년12월_계_10~19세,"4,709,316","756,136","266,105","218,537","271,131","152,404","142,175","109,990","45,794","1,321,005","133,885","146,411","200,673","170,128","163,148","221,964","319,461","70,369"
2021년12월_계_20~29세,"6,655,923","1,422,277","415,549","308,921","391,051","206,472","209,397","137,422","38,510","1,798,269","175,424","194,415","238,297","206,579","193,735","276,021","362,661","80,923"
2021년12월_계_30~39세,"6,723,435","1,439,279","405,300","284,865","402,091","181,189","189,669","144,891","61,719","1,900,447","162,817","190,607","259,565","182,181","178,428","279,475","379,886","81,026"
2021년12월_계_40~49세,"8,166,792","1,480,780","502,391","372,555","481,066","236,167","231,018","183,954","72,764","2,296,173","219,422","237,327","325,419","259,675","252,254","377,180","527,396","111,251"
2021년12월_계_50~59세,"8,635,211","1,507,194","554,768","419,444","510,969","235,764","240,017","207,056","48,876","2,274,844","264,586","270,874","340,591","298,654","312,463","454,427","579,779","114,905"
2021년12월_계_60~69세,"7,164,712","1,285,922","548,878","342,291","399,128","172,124","190,514","155,775","33,522","1,669,601","260,158","241,697","299,801","268,393","284,871","433,047","494,113","84,877"
2021년12월_계_70~79세,"3,715,084","695,800","298,128","177,828","179,244","94,547","92,390","63,024","14,775","773,573","132,627","120,068","172,067","170,337","191,022","244,151","249,720","45,783"
2021년12월_계_80~89세,"1,835,481","295,009","123,791","82,781","82,853","42,636","43,199","24,119","7,557","374,488","76,586","69,193","104,173","95,991","115,490","140,963","131,422","25,230"
2021년12월_계_90~99세,"264,544","41,735","15,457","10,122","13,041","6,066","6,155","3,276","1,288","55,363","11,658","9,592","15,528","14,839","17,216","20,313","18,682","4,213"
2021년12월_계_100세 이상,"7,961","1,643",402,245,417,177,169,67,27,"1,760",358,268,417,405,464,553,394,195
2021년12월_남_총인구수,"25,746,684","4,618,040","1,639,044","1,175,632","1,476,373","713,015","724,626","576,217","185,678","6,827,298","774,332","810,672","1,083,366","888,994","922,221","1,323,661","1,668,338","339,177"
2021년12월_남_연령구간인구수,"25,746,684","4,618,040","1,639,044","1,175,632","1,476,373","713,015","724,626","576,217","185,678","6,827,298","774,332","810,672","1,083,366","888,994","922,221","1,323,661","1,668,338","339,177"
2021년12월_남_0~9세,"1,927,798","299,764","112,744","85,980","111,554","58,516","55,295","47,302","23,984","562,739","51,606","59,729","83,319","61,472","63,098","91,921","128,993","29,782"
2021년12월_남_10~19세,"2,431,349","387,691","137,079","113,890","139,390","78,857","73,527","57,743","23,081","678,063","69,604","76,037","104,165","88,061","84,416","116,463","166,472","36,810"
2021년12월_남_20~29세,"3,491,682","684,530","215,370","164,484","203,834","107,781","109,664","77,588","19,728","947,823","98,744","108,354","131,774","111,771","108,408","156,417","202,593","42,819"
2021년12월_남_30~39세,"3,472,711","718,763","207,947","149,452","208,279","92,783","99,378","77,145","30,131","983,619","85,867","101,877","139,987","94,160","93,924","149,655","198,989","40,755"
2021년12월_남_40~49세,"4,150,248","733,371","253,509","183,962","246,522","117,383","115,072","94,084","36,831","1,168,232","112,385","122,922","173,385","133,465","134,387","196,384","271,358","56,996"
2021년12월_남_50~59세,"4,366,299","742,757","270,303","205,369","255,130","116,983","119,967","105,062","25,581","1,152,627","136,544","139,540","180,799","155,109","168,369","235,784","296,690","59,685"
2021년12월_남_60~69세,"3,508,745","607,114","258,914","162,849","197,657","82,025","92,406","78,393","16,596","830,282","129,786","121,418","150,583","132,849","144,081","215,957","245,713","42,122"
2021년12월_남_70~79세,"1,683,401","316,508","134,692","78,079","82,211","42,016","42,139","30,110","6,870","352,810","59,795","54,663","79,071","76,144","85,149","110,147","112,084","20,913"
2021년12월_남_80~89세,"654,228","116,524","45,094","29,339","28,963","15,333","15,747","8,218","2,606","137,676","27,366","24,012","36,574","32,655","36,917","46,691","41,890","8,623"
2021년12월_남_90~99세,"58,851","10,637","3,330","2,197","2,749","1,316","1,405",568,263,"13,079","2,566","2,081","3,644","3,254","3,422","4,181","3,497",662
2021년12월_남_100세 이상,"1,372",381,62,31,84,22,26,4,7,348,69,39,65,54,50,61,59,10
2021년12월_여_총인구수,"25,892,125","4,891,418","1,711,336","1,209,780","1,472,002","728,596","727,625","545,375","186,217","6,738,152","764,160","786,755","1,035,891","897,861","910,582","1,302,948","1,645,845","337,582"
2021년12월_여_연령구간인구수,"25,892,125","4,891,418","1,711,336","1,209,780","1,472,002","728,596","727,625","545,375","186,217","6,738,152","764,160","786,755","1,035,891","897,861","910,582","1,302,948","1,645,845","337,582"
