카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020년07월_계_총인구수,"218,954","14,797","36,035","13,615","11,175","6,298","14,167","14,537","4,457","4,807","2,695","17,313","54,002","14,788","10,268"
2020년07월_계_연령구간인구수,"218,954","14,797","36,035","13,615","11,175","6,298","14,167","14,537","4,457","4,807","2,695","17,313","54,002","14,788","10,268"
2020년07월_계_0~9세,"19,354",999,"3,451","1,055",812,324,"1,407","1,273",159,189,70,"1,025","7,025",972,593
2020년07월_계_10~19세,"23,630","1,412","4,523","1,134",852,790,"1,829","1,246",258,242,124,"1,558","7,900",950,812
2020년07월_계_20~29세,"29,739","1,569","4,928","1,649","1,287",728,"2,030","2,509",397,403,193,"2,801","6,720","3,017","1,508"
2020년07월_계_30~39세,"30,686","1,531","5,186","1,801","1,264",652,"2,272","2,570",358,399,145,"2,239","8,502","2,413","1,354"
2020년07월_계_40~49세,"34,844","2,076","6,776","1,943","1,619",737,"1,865","2,106",514,502,255,"2,616","10,470","1,864","1,501"
2020년07월_계_50~59세,"35,155","2,555","5,458","2,543","2,173","1,100","1,921","2,006",883,919,462,"3,062","7,778","2,345","1,950"
2020년07월_계_60~69세,"24,948","2,340","3,263","1,979","1,666","1,027","1,520","1,483",940,994,650,"2,337","3,409","1,829","1,511"
2020년07월_계_70~79세,"12,982","1,418","1,565",990,914,579,833,881,552,673,402,"1,129","1,420",917,709
2020년07월_계_80~89세,"6,620",796,782,433,496,312,421,388,353,417,342,492,680,419,289
2020년07월_계_90~99세,932,90,98,82,88,48,63,70,41,63,48,50,96,57,38
2020년07월_계_100세 이상,64,11,5,6,4,1,6,5,2,6,4,4,2,5,3
2020년07월_남_총인구수,"113,271","7,537","18,877","7,163","5,680","3,384","7,727","7,418","2,398","2,533","1,388","8,586","26,982","8,341","5,257"
2020년07월_남_연령구간인구수,"113,271","7,537","18,877","7,163","5,680","3,384","7,727","7,418","2,398","2,533","1,388","8,586","26,982","8,341","5,257"
2020년07월_남_0~9세,"9,966",513,"1,741",533,416,170,713,663,89,91,41,533,"3,634",515,314
2020년07월_남_10~19세,"12,448",745,"2,342",638,448,475,"1,018",618,138,131,65,800,"4,148",498,384
2020년07월_남_20~29세,"16,816",939,"2,902",897,701,389,"1,233","1,258",248,233,113,"1,493","3,547","2,069",794
2020년07월_남_30~39세,"16,419",810,"2,756",970,650,389,"1,290","1,365",231,244,91,"1,234","4,103","1,502",784
2020년07월_남_40~49세,"18,003","1,077","3,484","1,067",854,430,"1,068","1,151",301,304,160,"1,277","5,025","1,016",789
2020년07월_남_50~59세,"18,258","1,325","2,923","1,336","1,105",610,"1,039","1,069",484,509,240,"1,444","3,980","1,203",991
2020년07월_남_60~69세,"12,716","1,159","1,694","1,063",850,531,804,744,503,528,342,"1,099","1,710",918,771
2020년07월_남_70~79세,"5,986",657,721,468,430,266,390,395,262,327,195,526,601,436,312
2020년07월_남_80~89세,"2,416",281,293,171,202,114,150,140,129,155,126,166,216,166,107
2020년07월_남_90~99세,225,27,21,18,24,10,20,13,13,9,14,14,17,15,10
2020년07월_남_100세 이상,18,4,0,2,0,0,2,2,0,2,1,0,1,3,1
2020년07월_여_총인구수,"105,683","7,260","17,158","6,452","5,495","2,914","6,440","7,119","2,059","2,274","1,307","8,727","27,020","6,447","5,011"
2020년07월_여_연령구간인구수,"105,683","7,260","17,158","6,452","5,495","2,914","6,440","7,119","2,059","2,274","1,307","8,727","27,020","6,447","5,011"
2020년07월_여_0~9세,"9,388",486,"1,710",522,396,154,694,610,70,98,29,492,"3,391",457,279
2020년07월_여_10~19세,"11,182",667,"2,181",496,404,315,811,628,120,111,59,758,"3,752",452,428
2020년07월_여_20~29세,"12,923",630,"2,026",752,586,339,797,"1,251",149,170,80,"1,308","3,173",948,714
2020년07월_여_30~39세,"14,267",721,"2,430",831,614,263,982,"1,205",127,155,54,"1,005","4,399",911,570
2020년07월_여_40~49세,"16,841",999,"3,292",876,765,307,797,955,213,198,95,"1,339","5,445",848,712
2020년07월_여_50~59세,"16,897","1,230","2,535","1,207","1,068",490,882,937,399,410,222,"1,618","3,798","1,142",959
2020년07월_여_60~69세,"12,232","1,181","1,569",916,816,496,716,739,437,466,308,"1,238","1,699",911,740
2020년07월_여_70~79세,"6,996",761,844,522,484,313,443,486,290,346,207,603,819,481,397
2020년07월_여_80~89세,"4,204",515,489,262,294,198,271,248,224,262,216,326,464,253,182
2020년07월_여_90~99세,707,63,77,64,64,38,43,57,28,54,34,36,79,42,28
2020년07월_여_100세 이상,46,7,5,4,4,1,4,3,2,4,3,4,1,2,2
