,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2020년04월_계_총인구수,"55,021","21,410","2,269","2,730","2,799","2,579","2,474","2,888","1,847","3,410","2,561","3,129","2,003","2,237","2,685"
2020년04월_계_연령구간인구수,"55,021","21,410","2,269","2,730","2,799","2,579","2,474","2,888","1,847","3,410","2,561","3,129","2,003","2,237","2,685"
2020년04월_계_0~9세,"2,805","1,868",56,92,87,76,59,85,54,85,74,79,54,58,78
2020년04월_계_10~19세,"4,284","2,648",109,104,206,128,153,125,58,161,112,145,81,113,141
2020년04월_계_20~29세,"4,426","2,392",149,177,165,149,182,160,79,203,162,217,132,132,127
2020년04월_계_30~39세,"4,036","2,201",124,153,141,146,128,140,103,175,171,176,109,126,143
2020년04월_계_40~49세,"6,440","3,258",199,266,254,226,261,241,168,313,262,315,190,216,271
2020년04월_계_50~59세,"9,239","3,418",419,522,476,435,448,463,299,611,503,563,313,373,396
2020년04월_계_60~69세,"9,410","2,691",468,526,519,524,441,633,403,667,524,637,418,433,526
2020년04월_계_70~79세,"8,383","1,778",416,518,593,514,487,614,341,696,467,557,391,433,578
2020년04월_계_80~89세,"5,189",986,286,321,322,334,274,374,304,424,255,382,271,293,363
2020년04월_계_90~99세,773,162,41,50,35,45,40,48,37,69,30,56,44,59,57
2020년04월_계_100세 이상,36,8,2,1,1,2,1,5,1,6,1,2,0,1,5
2020년04월_남_총인구수,"27,155","10,561","1,168","1,393","1,379","1,270","1,195","1,401",904,"1,683","1,299","1,506","1,019","1,076","1,301"
2020년04월_남_연령구간인구수,"27,155","10,561","1,168","1,393","1,379","1,270","1,195","1,401",904,"1,683","1,299","1,506","1,019","1,076","1,301"
2020년04월_남_0~9세,"1,482",975,29,48,43,44,37,46,26,45,44,41,25,34,45
2020년04월_남_10~19세,"2,305","1,416",60,62,122,61,88,57,36,85,56,68,56,53,85
2020년04월_남_20~29세,"2,490","1,319",97,102,96,88,94,87,49,121,88,121,83,73,72
2020년04월_남_30~39세,"2,170","1,083",75,92,81,88,71,85,64,104,103,99,63,72,90
2020년04월_남_40~49세,"3,685","1,650",138,171,160,136,157,159,109,199,178,184,130,136,178
2020년04월_남_50~59세,"5,027","1,693",253,319,264,251,250,266,181,336,281,301,177,212,243
2020년04월_남_60~69세,"4,638","1,292",245,262,252,255,210,308,192,350,271,326,217,216,242
2020년04월_남_70~79세,"3,562",755,188,219,243,229,201,276,144,289,193,227,175,188,235
2020년04월_남_80~89세,"1,656",349,78,108,110,105,78,110,93,140,81,131,86,84,103
2020년04월_남_90~99세,138,29,5,10,8,13,9,6,10,13,4,8,7,8,8
2020년04월_남_100세 이상,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020년04월_여_총인구수,"27,866","10,849","1,101","1,337","1,420","1,309","1,279","1,487",943,"1,727","1,262","1,623",984,"1,161","1,384"
2020년04월_여_연령구간인구수,"27,866","10,849","1,101","1,337","1,420","1,309","1,279","1,487",943,"1,727","1,262","1,623",984,"1,161","1,384"
2020년04월_여_0~9세,"1,323",893,27,44,44,32,22,39,28,40,30,38,29,24,33
2020년04월_여_10~19세,"1,979","1,232",49,42,84,67,65,68,22,76,56,77,25,60,56
2020년04월_여_20~29세,"1,936","1,073",52,75,69,61,88,73,30,82,74,96,49,59,55
2020년04월_여_30~39세,"1,866","1,118",49,61,60,58,57,55,39,71,68,77,46,54,53
2020년04월_여_40~49세,"2,755","1,608",61,95,94,90,104,82,59,114,84,131,60,80,93
2020년04월_여_50~59세,"4,212","1,725",166,203,212,184,198,197,118,275,222,262,136,161,153
2020년04월_여_60~69세,"4,772","1,399",223,264,267,269,231,325,211,317,253,311,201,217,284
2020년04월_여_70~79세,"4,821","1,023",228,299,350,285,286,338,197,407,274,330,216,245,343
2020년04월_여_80~89세,"3,533",637,208,213,212,229,196,264,211,284,174,251,185,209,260
2020년04월_여_90~99세,635,133,36,40,27,32,31,42,27,56,26,48,37,51,49
2020년04월_여_100세 이상,34,8,2,1,1,2,1,4,1,5,1,2,0,1,5
