,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020년11월_계_총인구수,"343,377","31,122","25,011","30,194","19,206","29,156","29,356","38,702","33,060","20,181","10,457","13,635","24,326","18,478","20,493"
2020년11월_계_연령구간인구수,"343,377","31,122","25,011","30,194","19,206","29,156","29,356","38,702","33,060","20,181","10,457","13,635","24,326","18,478","20,493"
2020년11월_계_0~9세,"20,916","1,293","1,035","1,890","1,255","2,745","1,850","2,558","2,913",822,460,803,"1,268",724,"1,300"
2020년11월_계_10~19세,"23,758","1,423","1,400","1,939","1,727","1,976","2,021","2,639","2,837","1,110",710,781,"2,073","1,294","1,828"
2020년11월_계_20~29세,"56,374","6,092","4,421","4,666","2,384","4,023","3,875","5,302","3,881","2,398","3,172","3,253","5,328","4,730","2,849"
2020년11월_계_30~39세,"50,251","5,335","3,269","4,384","2,317","5,312","4,497","6,327","5,185","2,275","1,458","2,184","3,031","2,154","2,523"
2020년11월_계_40~49세,"50,836","4,249","3,150","4,344","3,063","4,724","4,294","6,409","5,777","2,595","1,328","1,703","3,526","2,453","3,221"
2020년11월_계_50~59세,"53,377","4,689","3,858","4,920","3,298","4,303","4,973","6,087","4,964","3,556","1,227","1,945","3,547","2,595","3,415"
2020년11월_계_60~69세,"46,345","4,129","3,920","4,221","2,709","3,266","4,215","5,413","4,325","3,791",981,"1,532","2,926","2,184","2,733"
2020년11월_계_70~79세,"28,155","2,596","2,629","2,537","1,610","1,864","2,488","2,868","2,284","2,452",703,962,"1,822","1,522","1,818"
2020년11월_계_80~89세,"11,485","1,136","1,152","1,107",759,805,"1,002",924,767,"1,009",346,402,685,694,697
2020년11월_계_90~99세,"1,570",154,150,141,73,107,120,148,110,145,60,60,108,93,101
2020년11월_계_100세 이상,310,26,27,45,11,31,21,27,17,28,12,10,12,35,8
2020년11월_남_총인구수,"170,088","15,792","12,847","15,152","9,242","14,122","14,258","19,234","16,555","10,090","4,998","6,594","12,071","9,190","9,943"
2020년11월_남_연령구간인구수,"170,088","15,792","12,847","15,152","9,242","14,122","14,258","19,234","16,555","10,090","4,998","6,594","12,071","9,190","9,943"
2020년11월_남_0~9세,"10,725",665,544,976,638,"1,385",932,"1,308","1,520",420,244,413,658,360,662
2020년11월_남_10~19세,"12,018",752,722,962,848,"1,022","1,004","1,346","1,517",581,336,390,972,658,908
2020년11월_남_20~29세,"28,080","2,910","2,418","2,378","1,204","1,872","1,936","2,544","2,023","1,279","1,496","1,435","2,838","2,367","1,380"
2020년11월_남_30~39세,"25,948","2,788","1,823","2,276","1,157","2,522","2,288","3,263","2,587","1,228",773,"1,137","1,622","1,217","1,267"
2020년11월_남_40~49세,"26,236","2,328","1,721","2,272","1,489","2,447","2,180","3,342","2,955","1,367",653,877,"1,735","1,257","1,613"
2020년11월_남_50~59세,"26,866","2,513","2,029","2,521","1,609","2,099","2,419","3,000","2,486","1,808",618,974,"1,751","1,334","1,705"
2020년11월_남_60~69세,"22,384","2,097","1,893","2,128","1,263","1,592","1,985","2,623","2,072","1,867",436,747,"1,367","1,018","1,296"
2020년11월_남_70~79세,"12,739","1,209","1,196","1,147",677,844,"1,119","1,384","1,067","1,107",291,420,828,651,799
2020년11월_남_80~89세,"4,543",471,450,437,327,298,362,373,297,384,131,179,254,296,284
2020년11월_남_90~99세,455,51,44,41,25,30,23,43,26,45,18,16,41,25,27
2020년11월_남_100세 이상,94,8,7,14,5,11,10,8,5,4,2,6,5,7,2
2020년11월_여_총인구수,"173,289","15,330","12,164","15,042","9,964","15,034","15,098","19,468","16,505","10,091","5,459","7,041","12,255","9,288","10,550"
2020년11월_여_연령구간인구수,"173,289","15,330","12,164","15,042","9,964","15,034","15,098","19,468","16,505","10,091","5,459","7,041","12,255","9,288","10,550"
2020년11월_여_0~9세,"10,191",628,491,914,617,"1,360",918,"1,250","1,393",402,216,390,610,364,638
2020년11월_여_10~19세,"11,740",671,678,977,879,954,"1,017","1,293","1,320",529,374,391,"1,101",636,920
2020년11월_여_20~29세,"28,294","3,182","2,003","2,288","1,180","2,151","1,939","2,758","1,858","1,119","1,676","1,818","2,490","2,363","1,469"
2020년11월_여_30~39세,"24,303","2,547","1,446","2,108","1,160","2,790","2,209","3,064","2,598","1,047",685,"1,047","1,409",937,"1,256"
2020년11월_여_40~49세,"24,600","1,921","1,429","2,072","1,574","2,277","2,114","3,067","2,822","1,228",675,826,"1,791","1,196","1,608"
2020년11월_여_50~59세,"26,511","2,176","1,829","2,399","1,689","2,204","2,554","3,087","2,478","1,748",609,971,"1,796","1,261","1,710"
2020년11월_여_60~69세,"23,961","2,032","2,027","2,093","1,446","1,674","2,230","2,790","2,253","1,924",545,785,"1,559","1,166","1,437"
2020년11월_여_70~79세,"15,416","1,387","1,433","1,390",933,"1,020","1,369","1,484","1,217","1,345",412,542,994,871,"1,019"
2020년11월_여_80~89세,"6,942",665,702,670,432,507,640,551,470,625,215,223,431,398,413
2020년11월_여_90~99세,"1,115",103,106,100,48,77,97,105,84,100,42,44,67,68,74
2020년11월_여_100세 이상,216,18,20,31,6,20,11,19,12,24,10,4,7,28,6
