,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년09월_계_총인구수,"548,694","23,437","14,493","8,367","27,023","13,694","17,316","31,200","29,047","23,275","16,544","32,027","21,597","43,423","16,127","76,378","37,314","20,100","11,176","35,832","19,456","18,274","12,594"
2021년09월_계_연령구간인구수,"548,694","23,437","14,493","8,367","27,023","13,694","17,316","31,200","29,047","23,275","16,544","32,027","21,597","43,423","16,127","76,378","37,314","20,100","11,176","35,832","19,456","18,274","12,594"
2021년09월_계_0~9세,"37,607","1,536",544,365,"1,996",582,"1,285","1,891","1,698","1,238",845,"1,346","2,123","4,708",550,"8,515","2,731","1,121",321,"2,134",806,694,578
2021년09월_계_10~19세,"53,202","1,973",692,531,"2,204",919,"1,601","3,393","2,808","2,355","1,313","2,297","2,173","8,335","1,096","8,362","4,472","1,420",555,"3,385","1,258","1,172",888
2021년09월_계_20~29세,"76,639","2,770","2,315","1,284","4,072","2,255","2,398","4,879","4,587","4,018","2,440","6,972","2,487","4,305","1,737","8,959","4,988","3,383","1,118","4,847","2,812","2,436","1,577"
2021년09월_계_30~39세,"63,663","2,659","1,860",918,"3,657","1,717","2,133","3,221","3,263","2,526","2,074","3,722","2,901","4,209","1,211","10,762","3,701","2,868",984,"3,746","2,176","1,918","1,437"
2021년09월_계_40~49세,"86,200","3,491","1,774","1,071","3,958","1,863","2,702","4,981","4,400","3,548","2,280","4,361","3,959","10,509","2,171","13,660","6,021","2,565","1,199","4,957","2,619","2,318","1,793"
2021년09월_계_50~59세,"101,716","4,072","2,534","1,472","5,028","2,690","3,351","6,711","6,425","5,145","3,448","6,317","3,704","6,317","2,956","11,950","6,973","3,777","2,135","7,194","3,696","3,362","2,459"
2021년09월_계_60~69세,"77,246","3,912","2,531","1,398","3,843","2,266","2,338","3,814","3,736","2,786","2,796","4,089","2,715","3,034","3,244","8,662","5,149","3,094","2,703","6,011","3,421","3,481","2,223"
2021년09월_계_70~79세,"35,029","2,083","1,512",877,"1,595",963,"1,060","1,578","1,415","1,092",950,"1,884","1,060","1,358","2,063","3,755","2,127","1,253","1,408","2,294","1,789","1,856","1,057"
2021년09월_계_80~89세,"15,492",855,664,415,600,395,402,658,655,513,363,925,416,551,984,"1,556","1,004",540,656,"1,122",790,925,503
2021년09월_계_90~99세,"1,839",79,61,36,68,43,45,71,58,52,34,113,57,89,112,193,142,76,96,140,86,109,79
2021년09월_계_100세 이상,61,7,6,0,2,1,1,3,2,2,1,1,2,8,3,4,6,3,1,2,3,3,0
2021년09월_남_총인구수,"270,482","11,381","7,076","4,075","13,176","6,766","8,528","15,640","14,624","11,685","8,383","16,458","10,667","21,306","7,729","37,489","18,257","9,949","5,360","17,380","9,593","8,740","6,220"
2021년09월_남_연령구간인구수,"270,482","11,381","7,076","4,075","13,176","6,766","8,528","15,640","14,624","11,685","8,383","16,458","10,667","21,306","7,729","37,489","18,257","9,949","5,360","17,380","9,593","8,740","6,220"
2021년09월_남_0~9세,"19,273",736,291,204,967,280,670,984,881,657,441,711,"1,046","2,403",309,"4,361","1,390",594,169,"1,112",415,354,298
2021년09월_남_10~19세,"27,554",929,340,277,"1,143",474,831,"1,814","1,491","1,200",676,"1,171","1,046","4,240",568,"4,375","2,466",769,295,"1,753",650,584,462
2021년09월_남_20~29세,"40,735","1,404","1,092",645,"2,019","1,179","1,276","2,613","2,510","2,170","1,336","3,713","1,324","2,356",963,"4,772","2,765","1,759",644,"2,623","1,429","1,274",869
2021년09월_남_30~39세,"33,421","1,388",978,488,"1,889",975,"1,109","1,685","1,774","1,373","1,177","2,243","1,483","1,878",672,"5,264","1,829","1,618",548,"1,965","1,220","1,053",812
2021년09월_남_40~49세,"41,837","1,792",983,552,"1,934",932,"1,304","2,320","2,086","1,654","1,129","2,253","1,973","4,765","1,124","6,634","2,709","1,264",644,"2,302","1,372","1,179",932
2021년09월_남_50~59세,"49,090","2,038","1,292",713,"2,378","1,265","1,610","3,298","3,076","2,491","1,611","3,221","1,822","3,425","1,478","5,648","3,259","1,720",978,"3,235","1,770","1,581","1,181"
2021년09월_남_60~69세,"37,184","1,844","1,193",652,"1,853","1,091","1,095","1,908","1,935","1,473","1,425","2,038","1,298","1,418","1,493","4,128","2,472","1,477","1,246","2,915","1,595","1,578","1,057"
2021년09월_남_70~79세,"15,660",944,650,370,752,424,490,760,622,477,450,804,509,603,797,"1,710",970,558,646,"1,064",825,784,451
2021년09월_남_80~89세,"5,313",295,247,165,224,132,132,241,236,180,132,281,155,196,300,550,362,172,167,378,300,329,139
2021년09월_남_90~99세,407,11,9,9,16,14,11,16,13,10,6,23,9,21,25,46,35,18,23,33,17,23,19
2021년09월_남_100세 이상,8,0,1,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0
2021년09월_여_총인구수,"278,212","12,056","7,417","4,292","13,847","6,928","8,788","15,560","14,423","11,590","8,161","15,569","10,930","22,117","8,398","38,889","19,057","10,151","5,816","18,452","9,863","9,534","6,374"
2021년09월_여_연령구간인구수,"278,212","12,056","7,417","4,292","13,847","6,928","8,788","15,560","14,423","11,590","8,161","15,569","10,930","22,117","8,398","38,889","19,057","10,151","5,816","18,452","9,863","9,534","6,374"
2021년09월_여_0~9세,"18,334",800,253,161,"1,029",302,615,907,817,581,404,635,"1,077","2,305",241,"4,154","1,341",527,152,"1,022",391,340,280
2021년09월_여_10~19세,"25,648","1,044",352,254,"1,061",445,770,"1,579","1,317","1,155",637,"1,126","1,127","4,095",528,"3,987","2,006",651,260,"1,632",608,588,426
2021년09월_여_20~29세,"35,904","1,366","1,223",639,"2,053","1,076","1,122","2,266","2,077","1,848","1,104","3,259","1,163","1,949",774,"4,187","2,223","1,624",474,"2,224","1,383","1,162",708
2021년09월_여_30~39세,"30,242","1,271",882,430,"1,768",742,"1,024","1,536","1,489","1,153",897,"1,479","1,418","2,331",539,"5,498","1,872","1,250",436,"1,781",956,865,625
2021년09월_여_40~49세,"44,363","1,699",791,519,"2,024",931,"1,398","2,661","2,314","1,894","1,151","2,108","1,986","5,744","1,047","7,026","3,312","1,301",555,"2,655","1,247","1,139",861
2021년09월_여_50~59세,"52,626","2,034","1,242",759,"2,650","1,425","1,741","3,413","3,349","2,654","1,837","3,096","1,882","2,892","1,478","6,302","3,714","2,057","1,157","3,959","1,926","1,781","1,278"
2021년09월_여_60~69세,"40,062","2,068","1,338",746,"1,990","1,175","1,243","1,906","1,801","1,313","1,371","2,051","1,417","1,616","1,751","4,534","2,677","1,617","1,457","3,096","1,826","1,903","1,166"
2021년09월_여_70~79세,"19,369","1,139",862,507,843,539,570,818,793,615,500,"1,080",551,755,"1,266","2,045","1,157",695,762,"1,230",964,"1,072",606
2021년09월_여_80~89세,"10,179",560,417,250,376,263,270,417,419,333,231,644,261,355,684,"1,006",642,368,489,744,490,596,364
2021년09월_여_90~99세,"1,432",68,52,27,52,29,34,55,45,42,28,90,48,68,87,147,107,58,73,107,69,86,60
2021년09월_여_100세 이상,53,7,5,0,1,1,1,2,2,2,1,1,0,7,3,3,6,3,1,2,3,2,0
