,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2020년05월_계_총인구수,"209,873","30,198","12,764","10,540","10,929","16,779","18,211","7,712","17,109","16,546","17,543","14,788","36,754"
2020년05월_계_연령구간인구수,"209,873","30,198","12,764","10,540","10,929","16,779","18,211","7,712","17,109","16,546","17,543","14,788","36,754"
2020년05월_계_0~9세,"15,178","2,768","1,151",539,786,"1,329","1,604",249,795,810,"1,104","1,328","2,715"
2020년05월_계_10~19세,"16,737","3,633","1,597",755,993,"1,282","1,131",425,921,695,"1,065","1,161","3,079"
2020년05월_계_20~29세,"26,396","3,287","1,341","1,211","1,283","1,898","2,268",841,"2,455","3,443","2,018","1,706","4,645"
2020년05월_계_30~39세,"27,921","3,439","1,342","1,134","1,268","2,301","3,123",790,"2,117","3,248","2,449","1,950","4,760"
2020년05월_계_40~49세,"32,001","5,584","2,423","1,438","1,627","2,519","2,606","1,050","2,321","2,304","2,354","2,292","5,483"
2020년05월_계_50~59세,"34,610","4,780","1,977","1,723","1,934","2,769","2,819","1,369","2,958","2,346","2,810","2,552","6,573"
2020년05월_계_60~69세,"31,672","3,581","1,620","1,797","1,728","2,682","2,486","1,597","3,112","2,083","3,049","2,243","5,694"
2020년05월_계_70~79세,"17,818","2,189",917,"1,274",901,"1,424","1,527","1,006","1,751","1,161","1,888","1,133","2,647"
2020년05월_계_80~89세,"6,627",825,354,574,358,519,558,343,606,415,719,368,988
2020년05월_계_90~99세,832,109,33,88,50,48,81,37,69,33,76,48,160
2020년05월_계_100세 이상,81,3,9,7,1,8,8,5,4,8,11,7,10
2020년05월_남_총인구수,"101,258","14,628","6,120","4,970","5,381","8,214","8,734","3,670","8,213","7,868","8,514","7,256","17,690"
2020년05월_남_연령구간인구수,"101,258","14,628","6,120","4,970","5,381","8,214","8,734","3,670","8,213","7,868","8,514","7,256","17,690"
2020년05월_남_0~9세,"7,723","1,438",546,285,394,673,820,127,385,410,566,694,"1,385"
2020년05월_남_10~19세,"8,636","1,930",758,393,553,685,550,214,461,355,575,590,"1,572"
2020년05월_남_20~29세,"13,442","1,707",717,592,712,"1,030","1,119",443,"1,175","1,452","1,075",921,"2,499"
2020년05월_남_30~39세,"13,971","1,619",623,580,651,"1,159","1,553",418,"1,106","1,630","1,284",942,"2,406"
2020년05월_남_40~49세,"15,705","2,589","1,180",714,783,"1,243","1,315",519,"1,181","1,209","1,231","1,153","2,588"
2020년05월_남_50~59세,"16,326","2,362",964,807,907,"1,279","1,331",635,"1,422","1,106","1,332","1,230","2,951"
2020년05월_남_60~69세,"14,613","1,640",767,806,829,"1,247","1,116",739,"1,412",976,"1,362","1,056","2,663"
2020년05월_남_70~79세,"8,121",961,420,556,413,677,699,441,822,549,797,531,"1,255"
2020년05월_남_80~89세,"2,510",353,137,208,132,205,213,125,228,170,273,128,338
2020년05월_남_90~99세,191,28,6,27,7,14,15,8,20,9,17,8,32
2020년05월_남_100세 이상,20,1,2,2,0,2,3,1,1,2,2,3,1
2020년05월_여_총인구수,"108,615","15,570","6,644","5,570","5,548","8,565","9,477","4,042","8,896","8,678","9,029","7,532","19,064"
2020년05월_여_연령구간인구수,"108,615","15,570","6,644","5,570","5,548","8,565","9,477","4,042","8,896","8,678","9,029","7,532","19,064"
2020년05월_여_0~9세,"7,455","1,330",605,254,392,656,784,122,410,400,538,634,"1,330"
2020년05월_여_10~19세,"8,101","1,703",839,362,440,597,581,211,460,340,490,571,"1,507"
2020년05월_여_20~29세,"12,954","1,580",624,619,571,868,"1,149",398,"1,280","1,991",943,785,"2,146"
2020년05월_여_30~39세,"13,950","1,820",719,554,617,"1,142","1,570",372,"1,011","1,618","1,165","1,008","2,354"
2020년05월_여_40~49세,"16,296","2,995","1,243",724,844,"1,276","1,291",531,"1,140","1,095","1,123","1,139","2,895"
2020년05월_여_50~59세,"18,284","2,418","1,013",916,"1,027","1,490","1,488",734,"1,536","1,240","1,478","1,322","3,622"
2020년05월_여_60~69세,"17,059","1,941",853,991,899,"1,435","1,370",858,"1,700","1,107","1,687","1,187","3,031"
2020년05월_여_70~79세,"9,697","1,228",497,718,488,747,828,565,929,612,"1,091",602,"1,392"
2020년05월_여_80~89세,"4,117",472,217,366,226,314,345,218,378,245,446,240,650
2020년05월_여_90~99세,641,81,27,61,43,34,66,29,49,24,59,40,128
2020년05월_여_100세 이상,61,2,7,5,1,6,5,4,3,6,9,4,9
